x,train_mean0,train_sd1,test_mean2,test_sd3
0,1.0366668,0.13203532,0.79333335,0.2663331
134138,1.0186666,0.09798635,0.80600005,0.25104782
268276,1.0204667,0.08291928,0.8147333,0.21294385
402414,1.00142,0.09362382,0.81726,0.20164044
536552,1.006278,0.0981596,0.8222007,0.17106041
670690,1.0063168,0.110670134,0.828314,0.13558546
804828,1.0066851,0.10162805,0.8211492,0.13043608
938967,0.9883499,0.10454612,0.84136766,0.11070687
1073105,1.000515,0.10782998,0.85189754,0.10633829
1207243,1.0051302,0.11018019,0.86004114,0.095122054
1341381,1.0126172,0.10647048,0.8617037,0.10282231
1475519,1.027022,0.09602635,0.8688666,0.08833317
1609657,1.0483198,0.11806053,0.8776466,0.08074044
1743796,1.0781546,0.13877542,0.90588206,0.07126912
1877934,1.0863391,0.13046324,0.92529374,0.070449226
2012072,1.0823718,0.11635246,0.9480977,0.073546514
2146210,1.0928013,0.1238133,0.95895463,0.06718319
2280348,1.1255212,0.116403885,0.96539253,0.07391087
2414486,1.1443025,0.1147927,0.9768533,0.06292545
2548625,1.1708722,0.10428988,0.9865013,0.07038044
2682763,1.1904516,0.105287574,0.99718446,0.05862157
2816901,1.1857396,0.08840562,1.005466,0.05193104
2951039,1.2001659,0.086062774,1.0175861,0.056039594
3085177,1.2191492,0.080063075,1.0168275,0.06655606
3219315,1.2295675,0.086133,1.0221447,0.089908905
3353454,1.2482775,0.07521932,1.0409303,0.09219234
3487592,1.2704498,0.06582356,1.0528373,0.07531112
3621730,1.2787381,0.059339684,1.0518868,0.07209948
3755868,1.3171977,0.05644286,1.0700315,0.061363883
3890006,1.3274778,0.050470464,1.0666951,0.055271123
4024144,1.3450636,0.038681656,1.0720254,0.049936805
4158283,1.3438905,0.028946929,1.0891563,0.04108295
4292421,1.3648348,0.0217292,1.1169074,0.049818024
4426559,1.3813511,0.0048570624,1.1182166,0.05190908
4560697,1.4025494,0.01693238,1.1337281,0.061185505
4694835,1.4302945,0.016672952,1.139022,0.055122774
4828973,1.4499317,0.022278901,1.1477866,0.043174848
4963112,1.443272,0.039408896,1.1500078,0.04882924
5097250,1.4659446,0.09078112,1.1463405,0.049948893
5231388,1.4850168,0.04728392,1.1610398,0.028654028
5365526,1.5078486,0.042898595,1.1642691,0.029037742
5499664,1.5147303,0.035326865,1.1661755,0.036978543
5633802,1.5225906,0.029187523,1.1718913,0.029311106
5767940,1.5496649,0.038567115,1.1853689,0.022452936
5902079,1.5773649,0.080138244,1.1971654,0.016393986
6036217,1.581962,0.077809,1.2047821,0.03136329
6170355,1.5930991,0.074082315,1.2159705,0.022683116
6304493,1.6027893,0.0991386,1.2147068,0.03498596
6438631,1.6101769,0.09933474,1.1989027,0.051197052
6572769,1.6108259,0.10879871,1.2123458,0.05757924
6706908,1.62641,0.10045097,1.207778,0.056588512
6841046,1.6514355,0.11611207,1.2273335,0.082469754
6975184,1.6506253,0.11384175,1.2302669,0.07717914
7109322,1.6585628,0.10599661,1.2242402,0.06245495
7243460,1.6793733,0.08445709,1.2241495,0.062361244
7377598,1.7124358,0.12535663,1.2130679,0.048093863
7511737,1.7255257,0.11488183,1.2234278,0.062393118
7645875,1.7486397,0.13251217,1.207085,0.047576774
7780013,1.7284425,0.10950385,1.2400432,0.0520467
7914151,1.7309316,0.09388981,1.2470388,0.07009524
8048289,1.7685051,0.08509617,1.2433349,0.067550115
8182427,1.7786545,0.05187874,1.2510015,0.08532847
8316566,1.7851224,0.039643895,1.267568,0.061481107
8450704,1.8336102,0.08377695,1.2681445,0.07064352
8584842,1.8185825,0.09540307,1.2939967,0.09076063
8718980,1.8227243,0.09867777,1.3002636,0.06327505
8853118,1.8354517,0.09264633,1.2832373,0.066453725
8987256,1.8472399,0.06264466,1.2839136,0.07253228
9121395,1.8298492,0.0730225,1.2765223,0.06889703
9255533,1.8635311,0.10946977,1.29787,0.069735564
9389671,1.8755112,0.08314638,1.3060831,0.057329923
9523809,1.8672934,0.08189966,1.2988081,0.07513643
9657947,1.8742307,0.068076424,1.296594,0.10853242
9792085,1.8598078,0.04253335,1.3116012,0.12140634
9926224,1.8684936,0.056997035,1.3154411,0.10828942
10060362,1.8736442,0.082021445,1.310897,0.096969806
10194500,1.8849465,0.054680776,1.3384739,0.07869295
10328638,1.9111185,0.03854775,1.3449599,0.084990285
10462776,1.9096732,0.01613883,1.3547972,0.076655746
10596914,1.9013726,0.0066699516,1.366984,0.08657915
10731052,1.903902,0.015198909,1.3606191,0.09287435
10865191,1.9191786,0.04930431,1.3655572,0.11174618
10999329,1.9119273,0.026597302,1.3623347,0.10328961
11133467,1.9164013,0.015583008,1.360768,0.07589917
11267605,1.9564279,0.0074125435,1.349358,0.05012102
11401743,1.9964517,0.009595052,1.331422,0.056797594
11535881,2.0181396,0.022961346,1.3256131,0.041479692
11670020,1.9889923,0.01109311,1.3447186,0.033912037
11804158,1.97376,0.022582449,1.3372465,0.034625545
11938296,1.9727173,0.04363939,1.3328553,0.017600143
12072434,1.9911121,0.049558066,1.3339032,0.029646173
12206572,2.023001,0.04830417,1.3075129,0.026069444
12340710,2.0250342,0.026485935,1.3290949,0.036857266
12474849,2.045531,0.034061037,1.3505188,0.058168378
12608987,2.0389776,0.009663488,1.3444668,0.05693296
12743125,2.0437467,0.024603162,1.3433536,0.050273735
12877263,2.0607052,0.039501097,1.3470182,0.06604201
13011401,2.085968,0.045269147,1.367983,0.06346147
13145539,2.0783713,0.049082506,1.3655181,0.047916707
13279678,2.0872009,0.089169376,1.3609663,0.06300275
13413816,2.0721474,0.10718801,1.3448696,0.08024821
13547954,2.073266,0.09680631,1.334716,0.08112699
13682092,2.0922728,0.101719745,1.3322444,0.080776475
13816230,2.0980453,0.10136255,1.3346866,0.08664872
13950368,2.0835743,0.10394408,1.334218,0.09795939
14084507,2.0842168,0.08492976,1.3384628,0.09872867
14218645,2.0651283,0.116005294,1.3432832,0.1086728
14352783,2.0886157,0.11622952,1.3709549,0.1425334
14486921,2.0900874,0.11358587,1.3711926,0.16474548
14621059,2.1190786,0.17109561,1.3887402,0.16744742
14755197,2.1551707,0.17915833,1.4151994,0.17400147
14889336,2.1686537,0.18251885,1.4236795,0.17221709
15023474,2.176455,0.18593647,1.4279782,0.1547543
15157612,2.1718094,0.19912216,1.450847,0.15942904
15291750,2.1956286,0.17999294,1.4630957,0.15790738
15425888,2.194399,0.23728545,1.4441195,0.14348695
15560026,2.2026258,0.20147164,1.4600409,0.17442413
15694164,2.1886966,0.2005478,1.4527035,0.20339143
15828303,2.204827,0.20878033,1.4344331,0.17524564
15962441,2.207344,0.19454123,1.4236565,0.13465774
16096579,2.1996098,0.18227911,1.4556242,0.1427764
16230717,2.2183154,0.18740977,1.4780617,0.13900916
16364855,2.2141507,0.19490805,1.4899222,0.15265541
16498993,2.2207355,0.19090018,1.4862633,0.1581579
16633132,2.2393286,0.14413737,1.4919704,0.16318625
16767270,2.255729,0.13436165,1.4727732,0.12516554
16901408,2.2831564,0.15914673,1.4568294,0.10744257
17035546,2.3078406,0.18362005,1.4594798,0.118386105
17169684,2.3117232,0.18233484,1.4705318,0.13719742
17303822,2.3342178,0.20258215,1.4821453,0.15555918
17437961,2.3407958,0.20948508,1.5029306,0.18611819
17572099,2.348716,0.2137637,1.5283042,0.19918664
17706237,2.3288445,0.23760171,1.5458072,0.21770537
17840375,2.3292935,0.24283141,1.5315598,0.2152756
17974513,2.335364,0.21942493,1.5134039,0.20643568
18108651,2.3431609,0.20432945,1.5127301,0.19493364
18242790,2.3625114,0.20425394,1.5011238,0.15924704
18376928,2.3485937,0.20333119,1.4890114,0.14620121
18511066,2.3630676,0.21889696,1.5007769,0.14063148
18645204,2.4044275,0.17241992,1.5056992,0.1384841
18779342,2.4276514,0.19871765,1.4964627,0.12075203
18913480,2.4355528,0.21271448,1.5198164,0.13000126
19047619,2.4789977,0.26164088,1.5425014,0.09425381
19181757,2.5044312,0.29897588,1.5512513,0.11184961
19315895,2.5116549,0.25744107,1.5597929,0.13360536
19450033,2.531156,0.24258631,1.5584801,0.14520067
19584171,2.541374,0.24057,1.5596322,0.14387901
19718309,2.5282364,0.24626713,1.5523356,0.1280452
19852448,2.5184128,0.2625547,1.5501021,0.10306081
