x,train_mean0,train_sd1,test_mean2,test_sd3
0,0.22666664,0.16862185,0.123333335,0.120968305
134138,0.22033334,0.16580208,0.11766666,0.116242565
268276,0.2083,0.15424225,0.13523333,0.113413945
402414,0.23580332,0.17170222,0.14304332,0.11750523
536552,0.224223,0.16243407,0.148739,0.12512763
670690,0.23513405,0.16808274,0.1568651,0.13240594
804828,0.22995396,0.15400696,0.17951192,0.12556551
938967,0.2242919,0.14495294,0.18456073,0.10824226
1073105,0.23552938,0.13428266,0.19477133,0.11568964
1207243,0.23364311,0.1283857,0.21262753,0.12643817
1341381,0.23827879,0.14102544,0.21236478,0.12048908
1475519,0.23378424,0.14076002,0.20812829,0.11285942
1609657,0.23140581,0.13502933,0.20231546,0.1028489
1743796,0.22426526,0.13419972,0.22641726,0.095865205
1877934,0.2378387,0.14847049,0.23644221,0.11529704
2012072,0.2453882,0.14297141,0.250798,0.13086443
2146210,0.24351603,0.14345348,0.25438485,0.13940889
2280348,0.25416443,0.14921506,0.268613,0.15674677
2414486,0.25508133,0.13222472,0.28441837,0.15424998
2548625,0.25723985,0.12960818,0.29297656,0.13766347
2682763,0.2648492,0.1237283,0.2713456,0.12556031
2816901,0.27503094,0.12937514,0.26954433,0.11994578
2951039,0.2791945,0.13412736,0.2945899,0.13765104
3085177,0.27094173,0.12614335,0.31713092,0.14667234
3219315,0.2851809,0.12856765,0.3310845,0.14874221
3353454,0.30799615,0.121967554,0.3766427,0.1690449
3487592,0.32319653,0.11064,0.39597845,0.21172014
3621730,0.32121024,0.11682038,0.38371393,0.21153885
3755868,0.31675586,0.10077777,0.39267588,0.20374326
3890006,0.30408025,0.10098474,0.40774164,0.20792337
4024144,0.3223389,0.08830101,0.42296743,0.20298156
4158283,0.332105,0.07203776,0.42300403,0.21034789
4292421,0.3438945,0.0713259,0.42370364,0.2169547
4426559,0.36717173,0.076200485,0.42766657,0.19908953
4560697,0.3797879,0.08076616,0.45489994,0.20739013
4694835,0.3838091,0.07691146,0.4500766,0.18631184
4828973,0.40009487,0.0660987,0.46973562,0.19072624
4963112,0.40608537,0.070137724,0.47442874,0.17272048
5097250,0.39981017,0.092645675,0.46998584,0.1432817
5231388,0.39882913,0.10377377,0.45365393,0.1445312
5365526,0.40027955,0.0937289,0.45295522,0.13980156
5499664,0.41091827,0.11572314,0.46799302,0.15109721
5633802,0.41882643,0.1352887,0.45952705,0.1385081
5767940,0.43861046,0.13990514,0.4769077,0.12670219
5902079,0.4587494,0.15744099,0.46055028,0.106742315
6036217,0.45920786,0.14738777,0.4644952,0.1074053
6170355,0.50062037,0.12444544,0.49771237,0.12032134
6304493,0.51289165,0.110427275,0.4989411,0.11662374
6438631,0.52893585,0.11173927,0.49604702,0.10231015
6572769,0.5453756,0.119149335,0.5287757,0.08832786
6706908,0.5605047,0.1129181,0.57156473,0.094026975
