x,train_mean0,train_sd1,test_mean2,test_sd3
0,2.6666667,0.25166115,3.0433333,0.7769384
134138,2.6933334,0.2371357,3.0199997,0.7562407
268276,2.764,0.1716072,3.0623333,0.6764247
402414,2.8419335,0.105737984,3.1371002,0.5665046
536552,2.9064066,0.12548584,3.17639,0.47814116
670690,2.9434328,0.08503517,3.2074177,0.42751613
804828,2.9500895,0.0574817,3.2533426,0.43884233
938967,3.0150805,0.063014075,3.304675,0.4174825
1073105,3.121239,0.057607707,3.380874,0.3780597
1207243,3.2034485,0.030466272,3.472787,0.36451146
1341381,3.2341034,0.02450912,3.5688412,0.3964586
1475519,3.2416933,0.03432657,3.6086242,0.35366085
1609657,3.2541907,0.06501159,3.6144283,0.31298468
1743796,3.312105,0.057722278,3.5763187,0.27853036
1877934,3.389561,0.005378773,3.539687,0.27911243
2012072,3.442605,0.03302564,3.504385,0.2634563
2146210,3.4983444,0.020509396,3.5082798,0.24405289
2280348,3.52851,0.0261565,3.5451183,0.22224408
2414486,3.5489924,0.051981274,3.5439396,0.17685476
2548625,3.5294266,0.030395092,3.5072126,0.20541741
2682763,3.5128171,0.059004497,3.518491,0.21951614
2816901,3.5225353,0.09592458,3.514309,0.1564137
2951039,3.5236151,0.10930389,3.4805443,0.14439954
3085177,3.5379202,0.101910666,3.48349,0.15160029
3219315,3.560795,0.13346866,3.4884746,0.1359057
3353454,3.6157157,0.19502316,3.4662936,0.14041781
3487592,3.635144,0.24927095,3.4096642,0.17149143
3621730,3.6382961,0.27556854,3.3753645,0.15000501
3755868,3.6577997,0.29335725,3.3821614,0.12293548
3890006,3.6853533,0.28132904,3.412612,0.1746533
4024144,3.7168179,0.29313973,3.4290173,0.22127964
4158283,3.765136,0.3191122,3.4194489,0.21923316
4292421,3.7596226,0.31255883,3.4041708,0.18954696
4426559,3.731327,0.25386462,3.3937538,0.20426315
4560697,3.7181942,0.2447358,3.4310448,0.22891895
4694835,3.7240417,0.22010662,3.4779406,0.24907382
4828973,3.690304,0.191545,3.546813,0.27060586
4963112,3.7122736,0.18801141,3.562132,0.29820657
5097250,3.7643795,0.23579162,3.575919,0.28554228
5231388,3.8179417,0.2721372,3.58266,0.26059914
5365526,3.860481,0.28946444,3.634394,0.23903048
5499664,3.8987658,0.3352065,3.6809547,0.23976749
5633802,3.9488895,0.3016861,3.6861928,0.29962
5767940,4.0040007,0.2592467,3.7019064,0.35167757
5902079,4.0402675,0.28311428,3.692716,0.3540403
6036217,4.0505733,0.27001283,3.6911113,0.35138726
6170355,4.0498495,0.21722545,3.673,0.33221102
6304493,4.004865,0.22086632,3.6890333,0.30631083
6438631,3.9743779,0.21498415,3.7501297,0.28614798
6572769,3.9869404,0.23296629,3.775117,0.23804462
6706908,4.014913,0.25099078,3.7876053,0.23379716
6841046,4.0144215,0.2311841,3.7621777,0.23205516
6975184,4.0149794,0.24184051,3.7836273,0.22720754
7109322,4.042148,0.24091639,3.7962644,0.29409796
7243460,3.991267,0.20278198,3.746638,0.31197494
7377598,3.9621403,0.23651163,3.731974,0.30218264
7511737,3.9759262,0.25092122,3.7364433,0.27472836
7645875,4.0316668,0.27145305,3.7527988,0.2567512
7780013,4.0418334,0.26773852,3.7441857,0.26087874
7914151,4.0063167,0.2599299,3.7364337,0.27622828
8048289,3.984352,0.26907253,3.7261238,0.25824186
8182427,3.98925,0.23062173,3.690178,0.23691934
8316566,4.0236583,0.2067403,3.7011604,0.2651126
8450704,4.0446258,0.2111185,3.7610445,0.22650692
8584842,4.0501633,0.20766231,3.8249397,0.19757012
8718980,4.0628133,0.18026479,3.8957794,0.15896
8853118,4.0808654,0.16208673,3.9395344,0.086740345
8987256,4.091446,0.18321854,3.9732475,0.109956965
9121395,4.0566344,0.19632995,4.0202565,0.15209968
9255533,4.074304,0.19938745,4.042564,0.17116977
9389671,4.0645404,0.18973099,4.0259743,0.18245018
9523809,4.0324197,0.19089995,4.020044,0.15949593
9657947,4.0458446,0.1756886,4.038039,0.14354625
9792085,4.0612597,0.12275245,4.0675683,0.17708634
9926224,4.0794673,0.10138035,4.0874786,0.205917
10060362,4.1181874,0.15274319,4.0987306,0.18949856
10194500,4.149702,0.18877926,4.0688577,0.163515
10328638,4.1647315,0.21279542,3.9886386,0.1379666
10462776,4.1449256,0.22552872,3.9831078,0.15922484
10596914,4.1370993,0.28227013,4.0114636,0.19782181
10731052,4.126723,0.29515448,4.036984,0.23514573
10865191,4.1240506,0.30790162,4.0532856,0.2737048
10999329,4.068312,0.331831,4.0546236,0.3374492
11133467,4.0524807,0.28310022,4.0491614,0.40684983
11267605,4.072566,0.3048702,4.0575786,0.4183929
11401743,4.092976,0.2602469,4.0784874,0.34885582
11535881,4.123678,0.20788147,4.0939717,0.2593159
11670020,4.1446443,0.17403625,4.0879083,0.2659167
11804158,4.163513,0.17893514,4.1091175,0.2093976
11938296,4.1348286,0.16951765,4.108206,0.16776885
12072434,4.088679,0.18485668,4.0960517,0.18503813
12206572,4.0714774,0.18958257,4.115113,0.16486189
12340710,4.0929966,0.14779663,4.124602,0.14638712
12474849,4.13703,0.2076103,4.109808,0.1464752
12608987,4.1533275,0.22282217,4.110828,0.22357404
12743125,4.167995,0.2627498,4.1107445,0.23278338
12877263,4.1988616,0.28546602,4.0950036,0.24267891
13011401,4.2189755,0.32876316,4.058503,0.26253405
13145539,4.221411,0.3422036,4.004653,0.21322069
13279678,4.2146034,0.3085269,3.9908543,0.13669015
13413816,4.1974764,0.27409047,4.001769,0.16638327
13547954,4.2153955,0.29366854,3.9925919,0.21363555
13682092,4.2581897,0.3599903,3.9943326,0.25860593
13816230,4.25437,0.39402395,3.9458992,0.2385827
13950368,4.2809334,0.4185621,3.9466429,0.24133998
14084507,4.29384,0.3952262,3.947312,0.20512249
14218645,4.3741226,0.38228324,3.9845808,0.1963944
14352783,4.4300437,0.4142597,4.0171227,0.20366964
14486921,4.4113727,0.41018072,4.0194106,0.21697089
14621059,4.437902,0.43938127,3.9948025,0.23487902
14755197,4.4451118,0.41785482,3.964989,0.28610805
14889336,4.458267,0.40290484,3.9934902,0.3395466
15023474,4.4611073,0.42796534,4.0171413,0.35069716
15157612,4.483663,0.43902314,4.019427,0.3109253
15291750,4.4819636,0.43509424,3.986151,0.31693512
15425888,4.474767,0.3949856,3.9908688,0.35989878
15560026,4.4936237,0.3976974,4.011782,0.3577662
15694164,4.4729276,0.379388,4.041604,0.32444742
15828303,4.4409685,0.34152114,4.0894437,0.27688435
15962441,4.437872,0.29914826,4.1524997,0.32125494
16096579,4.429418,0.29429698,4.114916,0.3236468
16230717,4.428143,0.24777247,4.1044245,0.2470053
16364855,4.448662,0.21062177,4.0926485,0.20666814
16498993,4.4237957,0.24111971,4.0943837,0.21307258
16633132,4.361416,0.24330914,4.064945,0.26060572
