x,train_mean0,train_sd1,test_mean2,test_sd3
0,0.66466665,0.044821966,0.6828,0.07309935
134138,0.6653066,0.04109102,0.6866934,0.06418699
268276,0.6714826,0.037077226,0.6857707,0.05614162
402414,0.67040104,0.03072654,0.6867802,0.04998193
536552,0.67137426,0.028868672,0.68611556,0.04476385
670690,0.67603683,0.024363061,0.6953707,0.041423954
804828,0.6885131,0.027014049,0.6989403,0.037786227
938967,0.7026618,0.025137806,0.7093129,0.0377457
1073105,0.7132756,0.023779308,0.72011495,0.037348557
1207243,0.7299747,0.024686156,0.7370234,0.03451634
1341381,0.74439055,0.027154991,0.7513878,0.030910166
1475519,0.75836486,0.024851596,0.7678623,0.02916581
1609657,0.771235,0.030357677,0.7853827,0.032754652
1743796,0.7857248,0.03046233,0.79925776,0.036538757
1877934,0.8015123,0.030587291,0.8087719,0.035236742
2012072,0.8192277,0.034762517,0.81570816,0.037403133
2146210,0.82998496,0.040217143,0.8324973,0.03826862
2280348,0.84522647,0.040769137,0.8421542,0.032367725
2414486,0.8570905,0.041772496,0.8514587,0.025415394
2548625,0.8703547,0.043049365,0.8595662,0.028785082
2682763,0.8808926,0.046517372,0.8658762,0.028656323
2816901,0.8881766,0.048008747,0.87086195,0.027567105
2951039,0.8984523,0.049084533,0.8814957,0.031293005
3085177,0.91002035,0.04458421,0.8848662,0.03655181
3219315,0.9135917,0.04104732,0.8922329,0.036962494
3353454,0.92203254,0.03751187,0.89964956,0.0466805
3487592,0.9323892,0.04000834,0.90509796,0.048858956
3621730,0.9377369,0.038452424,0.9099214,0.049910106
3755868,0.94340324,0.030306663,0.91348934,0.045410205
3890006,0.9518495,0.03533208,0.911727,0.047078986
4024144,0.96043783,0.034086477,0.9145143,0.05093047
4158283,0.9645408,0.032111924,0.92031616,0.04772793
4292421,0.9674867,0.031578343,0.9276579,0.042559735
4426559,0.9750313,0.031796083,0.9362921,0.04469758
4560697,0.97614145,0.029606996,0.9389562,0.043580342
4694835,0.9758606,0.026503427,0.9494872,0.042037994
4828973,0.9812879,0.028290842,0.9545784,0.045057166
4963112,0.9804391,0.032059956,0.9601473,0.04223556
5097250,0.99014187,0.032917637,0.9589192,0.040441424
5231388,0.9939143,0.025647938,0.9602406,0.041229013
5365526,0.99644285,0.022108395,0.9618831,0.04194532
5499664,0.9949319,0.018425204,0.9676948,0.04034443
5633802,0.9972787,0.024686823,0.9695654,0.041717574
5767940,0.99751085,0.027271926,0.9811821,0.0394316
5902079,1.000053,0.027253702,0.9823572,0.042692367
6036217,1.000861,0.033845164,0.98589474,0.04281741
6170355,1.004855,0.040181156,0.9911986,0.041892566
6304493,1.0071028,0.038117897,0.9889188,0.04686655
6438631,1.015699,0.044894017,0.9879735,0.04400939
6572769,1.0196358,0.047838543,0.9814562,0.04408101
6706908,1.0271922,0.04124735,0.97364384,0.036690027
6841046,1.033593,0.03514146,0.97545284,0.03522799
6975184,1.035327,0.031390656,0.9799742,0.0382866
7109322,1.0367143,0.026474986,0.98035,0.034976885
7243460,1.0363895,0.023056706,0.98508835,0.04406903
7377598,1.0380706,0.027012011,0.9862995,0.0501639
7511737,1.0406768,0.02699047,0.99036294,0.05447605
7645875,1.0404091,0.028000716,0.9851532,0.044722114
7780013,1.0465416,0.026967458,0.9888913,0.0468017
7914151,1.049274,0.028517954,0.98958874,0.04361313
8048289,1.0482799,0.0229395,0.9931898,0.038353413
8182427,1.0527185,0.023961684,0.9983909,0.039513703
8316566,1.0558066,0.01896934,0.99695176,0.03753945
8450704,1.0586528,0.02177013,0.99777657,0.031654567
8584842,1.0694674,0.015124976,0.9996123,0.026199924
8718980,1.0678273,0.00947016,0.99847764,0.031752422
8853118,1.0719512,0.01348052,1.0000699,0.030794317
8987256,1.070556,0.01819231,1.0054095,0.034580976
9121395,1.0763804,0.018269561,1.0070552,0.03338764
9255533,1.0773158,0.02424191,1.0129896,0.032090645
9389671,1.0746775,0.025314957,1.0107174,0.027882133
9523809,1.0789163,0.022875605,1.0109923,0.02929333
9657947,1.0810515,0.025625493,1.010973,0.031875204
9792085,1.0910796,0.025000539,1.0163957,0.03221621
9926224,1.0931449,0.027862508,1.0174495,0.027680678
10060362,1.1009237,0.030881485,1.0198512,0.03369004
10194500,1.1068846,0.03432694,1.0212127,0.031393334
10328638,1.1047028,0.03968925,1.0240513,0.036064662
10462776,1.1112324,0.04612182,1.031593,0.040404085
10596914,1.1167625,0.04458498,1.0297402,0.04131558
10731052,1.1186329,0.04538771,1.0306729,0.037975933
10865191,1.1230229,0.046150584,1.0290322,0.03443441
10999329,1.1314007,0.050866365,1.0310358,0.03083516
11133467,1.1400604,0.052128486,1.0320121,0.034314368
11267605,1.141121,0.05082471,1.0315975,0.03926074
11401743,1.1451291,0.05556312,1.0372244,0.043662436
11535881,1.142536,0.054352395,1.0406352,0.03935498
11670020,1.1477624,0.051065154,1.0527052,0.038753275
11804158,1.1472129,0.048674036,1.0511411,0.04074355
11938296,1.1527983,0.044737596,1.0547204,0.036484025
12072434,1.153865,0.04203034,1.0534083,0.04180786
12206572,1.1539985,0.039235447,1.0574142,0.03788673
12340710,1.1550653,0.04578252,1.0543793,0.037054606
12474849,1.158732,0.04317917,1.0571947,0.039280903
12608987,1.1586455,0.04533247,1.0601686,0.044874728
12743125,1.1605142,0.046005733,1.0643784,0.04336232
12877263,1.1667428,0.04499079,1.0663671,0.04690237
13011401,1.1677085,0.047224402,1.0690104,0.052928388
13145539,1.1708442,0.052338656,1.0711627,0.056062415
13279678,1.1754665,0.047167078,1.0726331,0.051435824
13413816,1.1786132,0.046885967,1.0785564,0.0523165
13547954,1.1818719,0.053679943,1.0774608,0.05123874
13682092,1.1843914,0.056506593,1.0829812,0.053981174
13816230,1.1896588,0.05602048,1.0841098,0.057803314
13950368,1.1961063,0.060485132,1.0934721,0.055538304
14084507,1.2012155,0.0645197,1.0917649,0.05645804
14218645,1.203934,0.059933998,1.0911083,0.056221314
14352783,1.2024604,0.053848337,1.0909575,0.065143295
14486921,1.2066145,0.05518253,1.0959817,0.068434305
14621059,1.2145662,0.052207205,1.1012102,0.06834215
14755197,1.2151763,0.05222513,1.1032091,0.06386482
14889336,1.2229921,0.051038053,1.1044083,0.06243727
15023474,1.2230395,0.052871924,1.1076341,0.063042626
15157612,1.2223355,0.062583484,1.1153373,0.060256314
15291750,1.2246618,0.06807041,1.1154567,0.059551198
15425888,1.2193156,0.0668762,1.1174579,0.06513698
15560026,1.2214507,0.0665697,1.1188587,0.06689747
15694164,1.2255456,0.07002702,1.1246128,0.06353228
15828303,1.227471,0.07585169,1.1208848,0.06717952
15962441,1.2336706,0.07146505,1.124623,0.06691906
16096579,1.2401034,0.07561723,1.1248406,0.07045343
16230717,1.2499064,0.08002302,1.1289566,0.072011404
16364855,1.2542224,0.082938015,1.1311275,0.07015803
16498993,1.2612802,0.083046556,1.141188,0.07244976
16633132,1.2641654,0.08154135,1.1452025,0.07785999
16767270,1.2684156,0.09193049,1.151069,0.07754721
16901408,1.2758273,0.093425706,1.1531221,0.07714503
17035546,1.2825779,0.08749445,1.1578364,0.07358511
17169684,1.2890934,0.09881118,1.1574794,0.07222982
17303822,1.2958373,0.10090099,1.1655581,0.076986134
17437961,1.2962803,0.09994463,1.165669,0.08030244
17572099,1.3015455,0.1067824,1.1743155,0.08849799
17706237,1.3067375,0.098319516,1.1781372,0.09390535
17840375,1.3153172,0.10425887,1.1835233,0.09404057
17974513,1.3183988,0.10857788,1.1817178,0.09806481
18108651,1.3249722,0.10701033,1.1871725,0.09829313
18242790,1.3336881,0.11053294,1.1942286,0.101132594
18376928,1.338346,0.110635415,1.192939,0.11039303
18511066,1.3410047,0.11232138,1.1979651,0.11497193
18645204,1.3425709,0.109573156,1.2004886,0.12307566
18779342,1.3523537,0.116041675,1.2023463,0.12350878
18913480,1.3597317,0.1296123,1.211525,0.12191924
19047619,1.3605719,0.135342,1.2158391,0.11988127
19181757,1.3595947,0.1292094,1.2186952,0.12268756
19315895,1.3658618,0.1220864,1.2159591,0.11411159
19450033,1.3663288,0.12947279,1.2227898,0.115684055
19584171,1.3726026,0.13060644,1.2250174,0.115438804
19718309,1.3764757,0.1299798,1.2256624,0.11914426
19852448,1.3848547,0.1378618,1.233936,0.12186906
19986586,1.3916625,0.14034244,1.235689,0.1317252
20120724,1.3974428,0.14476098,1.2348002,0.13552478
20254862,1.4025253,0.1407896,1.2472,0.13240802
20389000,1.400766,0.13915145,1.2512268,0.13139379
20523138,1.407076,0.14229171,1.260904,0.14960213
20657276,1.4143018,0.13475741,1.2645336,0.15684716
20791415,1.4236847,0.14150555,1.2746935,0.16507012
20925553,1.4284096,0.14117801,1.2739574,0.16416633
21059691,1.434062,0.14655769,1.2805883,0.17065418
21193829,1.4412957,0.15647139,1.2852494,0.17385657
21327967,1.4474727,0.16496523,1.2932044,0.16840631
21462105,1.4612721,0.1666186,1.3021907,0.17618167
21596244,1.4716649,0.16912363,1.3045049,0.1860154
21730382,1.4766049,0.17405511,1.3078543,0.18498729
21864520,1.4726645,0.18156993,1.3198956,0.1845418
21998658,1.4841179,0.18527402,1.3162526,0.18674001
22132796,1.486906,0.19678308,1.3181072,0.1837576
22266934,1.4909755,0.20062456,1.32659,0.19003274
22401073,1.5036778,0.19935432,1.3324908,0.18706116
22535211,1.50867,0.19987443,1.3419085,0.18002324
22669349,1.5143229,0.2022829,1.3425843,0.17731413
22803487,1.5268373,0.20177232,1.3496456,0.18409579
22937625,1.5358201,0.20274591,1.3569344,0.18026721
23071763,1.5411448,0.21020477,1.3697743,0.18208672
23205902,1.5476836,0.21614794,1.3678368,0.18434115
23340040,1.5497018,0.21693008,1.3664931,0.1903529
23474178,1.5551449,0.22029428,1.3709637,0.19137098
23608316,1.5573105,0.22010267,1.3761873,0.1987876
23742454,1.5671526,0.21308172,1.3821551,0.19973698
23876592,1.5773306,0.20933962,1.395553,0.20106532
24010731,1.5859842,0.19775546,1.3952109,0.20243394
24144869,1.5895725,0.19091079,1.406983,0.20004839
24279007,1.5949751,0.18862067,1.4120048,0.19790924
24413145,1.5964242,0.18912122,1.4265909,0.19317675
24547283,1.6007951,0.19705902,1.4280385,0.20353681
24681421,1.6135287,0.20026962,1.4345547,0.20222919
24815560,1.6186692,0.20148541,1.4462191,0.19908424
24949698,1.6263356,0.20116611,1.447877,0.2079923
25083836,1.6280752,0.20448121,1.4608628,0.210231
25217974,1.6301211,0.20450912,1.4618164,0.21753307
25352112,1.6464556,0.19521849,1.470808,0.2292373
25486250,1.6637033,0.1999984,1.4747806,0.22539896
25620389,1.6725196,0.2049285,1.4800491,0.23219992
25754527,1.6697341,0.20370603,1.4868708,0.234768
25888665,1.6802007,0.19560166,1.4912771,0.24259731
26022803,1.6805539,0.20366228,1.4875894,0.24435544
26156941,1.6844053,0.20690125,1.4951903,0.2416514
26291079,1.6866446,0.20166403,1.4983245,0.23714797
26425217,1.6919934,0.20278086,1.506332,0.2348439
26559356,1.6945273,0.20551303,1.5118588,0.23182584
26693494,1.6932212,0.2015008,1.5140861,0.22940628
26827632,1.6977524,0.20057538,1.5160108,0.23474188
26961770,1.6972171,0.20420645,1.5075297,0.23153925
27095908,1.6994553,0.20406507,1.5145367,0.23528315
27230046,1.6955498,0.2025666,1.5147495,0.23863646
27364185,1.6948748,0.19940206,1.516208,0.22948967
27498323,1.6957871,0.1930721,1.5123072,0.2239697
27632461,1.7022084,0.18235007,1.5079831,0.20967224
27766599,1.7032275,0.17831226,1.5049847,0.20277844
27900737,1.6999847,0.18279926,1.5131394,0.20256153
28034875,1.7028662,0.17128532,1.5171856,0.1995149
28169014,1.7113795,0.1744444,1.5232135,0.20354195
28303152,1.723548,0.18519618,1.5262122,0.21064189
28437290,1.7289667,0.18515462,1.5314442,0.20607106
28571428,1.7299498,0.18575928,1.5335797,0.21057983
28705566,1.7289149,0.18707691,1.543395,0.20567037
28839704,1.7281433,0.18685576,1.5494555,0.2153207
28973843,1.7273155,0.18196289,1.5429498,0.20735598
29107981,1.7268239,0.18124813,1.5416015,0.19655676
29242119,1.7265148,0.16483073,1.5323213,0.17898226
29376257,1.7241834,0.15588576,1.5326358,0.17264394
29510395,1.7303249,0.1595819,1.5433722,0.16705647
29644533,1.7318125,0.15982988,1.5441016,0.16553882
29778672,1.7381111,0.15796871,1.546518,0.16585582
29912810,1.7386465,0.15111582,1.5541595,0.1674964
30046948,1.7443819,0.14731415,1.5590369,0.16228805
30181086,1.7551436,0.14679846,1.5661198,0.16543631
30315224,1.7703625,0.14670168,1.5770677,0.16267316
30449362,1.7811928,0.14359732,1.5901476,0.17005518
30583501,1.7828069,0.14166455,1.5979195,0.1553859
30717639,1.7851528,0.14640915,1.6030741,0.16018343
30851777,1.7965041,0.15500309,1.6166067,0.16109625
30985915,1.8047737,0.1552433,1.6238393,0.16008547
31120053,1.8108429,0.1552731,1.6399218,0.17665021
31254191,1.8186251,0.14637804,1.6490498,0.1723795
31388329,1.823856,0.14261323,1.6440645,0.16734083
31522468,1.827937,0.14406505,1.6490449,0.1691897
31656606,1.8289565,0.14598393,1.6614603,0.15988234
31790744,1.8249274,0.14005257,1.6700875,0.1607796
31924882,1.8249947,0.12928091,1.6687721,0.16064425
32059020,1.836842,0.123501986,1.6707882,0.15584542
32193158,1.8428243,0.123222485,1.672736,0.15936394
32327297,1.8478351,0.123446204,1.668249,0.14210148
32461435,1.8467048,0.12097692,1.6698507,0.13802071
32595573,1.8548476,0.12817004,1.6672788,0.13296984
32729711,1.8608161,0.123972744,1.665791,0.13087799
32863849,1.8608545,0.11411779,1.6720384,0.11596118
32997987,1.8569956,0.10808413,1.6807812,0.119424835
33132126,1.8566827,0.100583814,1.6807297,0.12388926
33266264,1.8476143,0.08255879,1.6813766,0.11336751
33400402,1.8421062,0.069630474,1.6828789,0.11030235
33534540,1.8422555,0.06592083,1.6859642,0.099767976
33668678,1.8413233,0.06541894,1.6850079,0.0878123
33802816,1.8361775,0.05954965,1.6805071,0.08794428
33936955,1.8318796,0.055022247,1.6789495,0.072246425
34071093,1.8335983,0.04532788,1.6750813,0.07064243
34205231,1.8326517,0.037392043,1.6655731,0.06349073
34339369,1.829053,0.035533387,1.662309,0.064414255
34473507,1.8221612,0.03454729,1.6582648,0.046060156
34607645,1.8238384,0.02773223,1.6537315,0.036987435
34741784,1.8287611,0.03314364,1.6586517,0.026437877
34875922,1.8260584,0.04158451,1.6670132,0.0153296245
35010060,1.820839,0.03795169,1.6619784,0.019074421
35144198,1.823595,0.03996273,1.6609405,0.030481948
35278336,1.8240088,0.039375417,1.6710063,0.04231801
35412474,1.8280746,0.041931026,1.6784922,0.039475054
35546613,1.8386937,0.044455424,1.6776696,0.03756581
35680751,1.8467177,0.053128477,1.6797161,0.035372294
35814889,1.8515124,0.05793858,1.6810111,0.042153396
35949027,1.8546811,0.05575713,1.6895232,0.050754305
36083165,1.8637062,0.05805023,1.6941975,0.047811754
36217303,1.8682289,0.054452885,1.699471,0.048022937
36351441,1.8718859,0.063409634,1.7043505,0.054391067
36485580,1.8856173,0.06899383,1.709582,0.060504377
36619718,1.8973756,0.076663114,1.7058372,0.06083844
36753856,1.9022512,0.08753439,1.7143999,0.048689898
36887994,1.9096793,0.0962499,1.72008,0.054962132
37022132,1.918538,0.10417716,1.7301253,0.06558532
37156270,1.9291109,0.112007566,1.7364861,0.073285624
37290409,1.932933,0.110930175,1.741424,0.08445606
37424547,1.9386663,0.10438309,1.7570149,0.10009879
37558685,1.9481996,0.104217626,1.7586199,0.102718085
37692823,1.9512329,0.097639054,1.7675179,0.10555594
37826961,1.9515896,0.10007966,1.7782327,0.10762173
37961099,1.947257,0.087703295,1.7804095,0.10605922
38095238,1.9491981,0.07858193,1.7834883,0.11583495
38229376,1.9478649,0.06707127,1.7818193,0.11683878
38363514,1.9388782,0.06256686,1.7786908,0.10559645
38497652,1.9337772,0.067054436,1.7809283,0.10060176
38631790,1.9414792,0.067393914,1.7879953,0.09054858
38765928,1.9411579,0.061689053,1.7897959,0.097059354
38900067,1.9448019,0.072812036,1.7852827,0.10175498
39034205,1.9468819,0.07887845,1.7805012,0.09674936
39168343,1.9449002,0.07208492,1.7865177,0.099368334
39302481,1.9512768,0.06420835,1.7980925,0.10512668
39436619,1.9536957,0.062548466,1.8038698,0.10683742
39570757,1.9460993,0.061359327,1.8141494,0.104863524
39704896,1.9494228,0.06450803,1.8220011,0.09965419
39839034,1.9679203,0.068875045,1.8204542,0.09894066
39973172,1.9751282,0.07901273,1.8221954,0.09655605
40107310,1.9834286,0.072854795,1.8360958,0.088436656
40241448,1.9898725,0.074174486,1.8374729,0.08709844
40375586,1.9978851,0.07102345,1.8519788,0.08429967
40509725,2.0061233,0.081957705,1.8509542,0.0779996
40643863,2.0195906,0.08430817,1.8479654,0.07207153
40778001,2.023885,0.08054426,1.8588754,0.07726792
40912139,2.0314295,0.089534685,1.8751879,0.072589256
41046277,2.0312998,0.09806851,1.8935356,0.062719405
41180415,2.03081,0.086248755,1.888662,0.06753329
41314553,2.0337021,0.07988332,1.9008356,0.069946535
41448692,2.0357983,0.060955837,1.9054855,0.066610396
41582830,2.0374854,0.04576784,1.9126568,0.06313136
41716968,2.0520034,0.038499523,1.9167112,0.062200278
41851106,2.0532162,0.031703584,1.9100666,0.048093043
