x,train_mean0,train_sd1,test_mean2,test_sd3
0,1.9233335,0.6217985,2.4566667,0.49973333
134138,1.9036669,0.60796577,2.4306667,0.4841584
268276,1.8806334,0.5783808,2.4122667,0.46491018
402414,1.8452368,0.534105,2.3933733,0.4670689
536552,1.8113798,0.4809428,2.3813694,0.4290467
670690,1.7842417,0.44504857,2.338899,0.43433833
804828,1.7661508,0.39224127,2.3113425,0.43195498
938967,1.7605357,0.35948348,2.2815416,0.4219344
1073105,1.780149,0.32357943,2.2453873,0.42558506
1207243,1.7964673,0.28206226,2.2365153,0.40977028
1341381,1.8241539,0.24540894,2.2108638,0.38780442
1475519,1.8520718,0.18970804,2.2067773,0.36342883
1609657,1.8575314,0.15733512,2.2174332,0.34468427
1743796,1.8661116,0.1554365,2.2133563,0.29926115
1877934,1.8718337,0.14941256,2.2060206,0.27625987
2012072,1.8806504,0.16070141,2.1860855,0.27529135
2146210,1.9272519,0.13436177,2.1671436,0.29165527
2280348,1.9741935,0.112673715,2.1730957,0.31274807
2414486,2.0231075,0.12512505,2.1994529,0.32240185
2548625,2.0437968,0.13883609,2.2568407,0.298485
2682763,2.0340836,0.17714429,2.3008235,0.2901523
2816901,2.0440087,0.21215762,2.3370745,0.27750567
2951039,2.0482743,0.23819956,2.367367,0.29775012
3085177,2.070114,0.26794305,2.3889637,0.30758595
3219315,2.1284356,0.30545345,2.404734,0.31753254
3353454,2.164592,0.29118836,2.4119272,0.3158978
3487592,2.2221327,0.26668638,2.421068,0.27301285
3621730,2.2652528,0.2513782,2.441961,0.22664556
3755868,2.3217278,0.22048783,2.4790983,0.18837842
3890006,2.3838882,0.19408545,2.509855,0.1764524
4024144,2.4168327,0.17670245,2.5388696,0.17618264
4158283,2.438483,0.12263699,2.5386493,0.17121452
4292421,2.449301,0.08089034,2.5107844,0.16531844
4426559,2.460371,0.0337007,2.5080392,0.13541174
4560697,2.472334,0.043233123,2.5412352,0.13902071
4694835,2.484434,0.07690185,2.5767787,0.118163876
4828973,2.5229905,0.07571565,2.6117673,0.089666985
4963112,2.5450246,0.08836245,2.6312573,0.07490105
5097250,2.5821888,0.046638973,2.609465,0.054577146
5231388,2.6183035,0.01993572,2.6115184,0.041919213
5365526,2.6741397,0.04420362,2.6143665,0.017727563
5499664,2.7143924,0.068719536,2.6109297,0.015749142
5633802,2.7166197,0.07679072,2.6095035,0.044873416
5767940,2.7016246,0.07738793,2.589553,0.027930502
5902079,2.7017956,0.07026349,2.5972645,0.031700466
6036217,2.714949,0.048695743,2.6092045,0.06625336
6170355,2.767121,0.036966063,2.6422844,0.111041546
6304493,2.8194091,0.03057406,2.6567225,0.118171826
6438631,2.9038012,0.066979386,2.654717,0.11749798
6572769,2.9457543,0.07694574,2.644912,0.12139773
6706908,2.9695122,0.07720749,2.6357539,0.11560581
6841046,2.9838943,0.056798715,2.6388452,0.0799257
6975184,2.973505,0.034583356,2.634961,0.0587709
7109322,2.9498212,0.07054438,2.6271315,0.04867286
7243460,2.9258392,0.13460027,2.6084182,0.085017815
7377598,2.8979218,0.16334149,2.5949097,0.12606414
7511737,2.8731296,0.16056593,2.5824187,0.14656287
7645875,2.8644836,0.16230556,2.5671768,0.18135335
7780013,2.8513682,0.16337566,2.588126,0.17860147
7914151,2.8582315,0.18298341,2.59998,0.18803392
8048289,2.8767416,0.1921396,2.6136487,0.19320431
8182427,2.8784008,0.23025443,2.6136172,0.20316434
8316566,2.881894,0.24573232,2.6365888,0.2415179
8450704,2.915038,0.25465444,2.66793,0.25436208
8584842,2.9565341,0.2835973,2.6888034,0.28001714
8718980,3.0018806,0.29687223,2.731923,0.2810868
8853118,3.048026,0.32277453,2.7960644,0.26966643
8987256,3.0675566,0.3649226,2.8304577,0.22944203
9121395,3.066468,0.37062106,2.866745,0.17940429
9255533,3.063821,0.38842425,2.9044044,0.1403668
9389671,3.0804389,0.4247055,2.9106305,0.11264104
9523809,3.1023948,0.47823113,2.9355671,0.15360245
9657947,3.1544888,0.54246676,2.9596775,0.1916452
9792085,3.2017066,0.5624981,2.9987097,0.27176377
9926224,3.2478693,0.5625155,3.0005052,0.3383585
10060362,3.2974157,0.5571358,3.0147884,0.38157645
10194500,3.3213406,0.5287615,3.035309,0.39015996
10328638,3.3688734,0.53555983,3.0401115,0.3277813
10462776,3.3986528,0.51901793,3.0631006,0.27248198
10596914,3.4557874,0.4681002,3.0637903,0.24257772
10731052,3.4975421,0.42005974,3.0737448,0.22824359
10865191,3.533121,0.36720255,3.0733702,0.2559908
10999329,3.5754757,0.31694147,3.0590334,0.28453955
