x,train_mean0,train_sd1,test_mean2,test_sd3
0,5.5,0.36055523,4.4666667,0.321455
134138,5.5333333,0.3007213,4.463333,0.25482008
268276,5.5699997,0.29127494,4.523667,0.26459262
402414,5.609667,0.27936453,4.5846334,0.22671753
536552,5.5987,0.20684879,4.6928368,0.20184162
670690,5.65883,0.1957886,4.75022,0.11462895
804828,5.6329465,0.12184002,4.8118644,0.10164535
938967,5.6396523,0.06928285,4.907345,0.10959697
1073105,5.6723537,0.123278774,5.039943,0.1412786
1207243,5.7084517,0.16624258,5.105949,0.13437028
1341381,5.8176064,0.18552724,5.2020206,0.11012913
1475519,5.8991795,0.09342195,5.2918186,0.11618383
1609657,5.8892617,0.05612167,5.312637,0.13178967
1743796,5.9670014,0.06005664,5.3280396,0.042554565
1877934,6.043635,0.049968716,5.4385695,0.10251885
2012072,6.0892715,0.01861508,5.5080457,0.14527518
2146210,6.157011,0.056171514,5.5839076,0.10598591
2280348,6.224643,0.1224829,5.65885,0.077877894
2414486,6.255512,0.14699985,5.6729655,0.121097185
2548625,6.3299613,0.13406458,5.6956687,0.18294373
2682763,6.3469644,0.19475727,5.7494354,0.15735808
2816901,6.328935,0.09929593,5.7644916,0.2116802
2951039,6.3393745,0.116051316,5.8380427,0.2162517
3085177,6.3854375,0.08199517,5.9409046,0.21117489
3219315,6.400227,0.06611114,5.980148,0.20007898
3353454,6.4135375,0.051974114,5.9821324,0.16716838
3487592,6.4155173,0.045454785,6.0305862,0.1450961
3621730,6.4539657,0.07294691,6.1141944,0.17372325
3755868,6.4752355,0.06767128,6.139442,0.21022215
3890006,6.537712,0.114027575,6.155498,0.22348166
4024144,6.5939407,0.10741021,6.239948,0.20108776
4158283,6.6112137,0.1255478,6.2526193,0.23762292
4292421,6.6534257,0.14766772,6.280691,0.28803813
4426559,6.688083,0.2005094,6.3292885,0.3570282
4560697,6.7192745,0.19134358,6.3696923,0.39311984
4694835,6.757347,0.24424255,6.3927236,0.3851702
4828973,6.8149457,0.26117483,6.4467845,0.38450643
4963112,6.8967843,0.22546603,6.4521065,0.4058784
5097250,6.923773,0.2587688,6.5068955,0.37683293
5231388,6.998062,0.29690185,6.4895396,0.4078191
5365526,7.048256,0.23722462,6.510586,0.3774544
5499664,7.0967636,0.25875354,6.559527,0.32937256
5633802,7.1004205,0.29262123,6.610241,0.29374343
5767940,7.163712,0.28408918,6.595884,0.27860838
5902079,7.1873403,0.3224916,6.646295,0.25173494
6036217,7.2552733,0.28170535,6.7049994,0.2725853
