x,train_mean0,train_sd1,test_mean2,test_sd3
0,1.1733333,0.10263206,1.2466667,0.24110855
134138,1.1613332,0.09287274,1.252,0.22397317
268276,1.1772,0.102458425,1.2761333,0.21038958
402414,1.2048134,0.094815485,1.2751867,0.19488178
536552,1.2289987,0.092572145,1.2723346,0.19680275
670690,1.2527655,0.06976444,1.2797679,0.14428572
804828,1.2401556,0.076180756,1.2851244,0.12880802
938967,1.2648066,0.07608703,1.3079453,0.11753492
1073105,1.2896594,0.098851755,1.3211508,0.093647845
1207243,1.2820268,0.1115992,1.3343691,0.099752024
1341381,1.3151574,0.09940844,1.3455988,0.08896832
1475519,1.3303083,0.06730854,1.3470389,0.09473358
1609657,1.3686109,0.04413109,1.3750018,0.115106106
1743796,1.3724165,0.04818979,1.3661681,0.090788156
1877934,1.3891748,0.05731688,1.3675513,0.08456251
2012072,1.410924,0.057259183,1.3781295,0.09298705
2146210,1.4238316,0.065921426,1.3756499,0.11116607
2280348,1.4407817,0.08414528,1.3947515,0.074406296
2414486,1.4573702,0.07098744,1.3979431,0.06769553
2548625,1.4616331,0.065529555,1.4041487,0.082211934
2682763,1.4694699,0.058976613,1.4077339,0.06903835
2816901,1.4765229,0.06894126,1.4102939,0.07945903
2951039,1.4968705,0.041994017,1.4225979,0.06521054
3085177,1.5091835,0.038381778,1.4430046,0.10117596
3219315,1.5222651,0.04674901,1.4420376,0.09640005
3353454,1.5367054,0.05607726,1.4318337,0.10123401
3487592,1.5410348,0.033384424,1.4233171,0.075029865
3621730,1.5602646,0.027196413,1.4183187,0.07512807
3755868,1.5542382,0.04193159,1.4124869,0.09660074
3890006,1.5381476,0.04711933,1.4045715,0.10394908
4024144,1.5329996,0.041290108,1.4107809,0.10881872
4158283,1.5336996,0.023933018,1.4037029,0.09804493
4292421,1.5483297,0.026176568,1.390666,0.107016824
4426559,1.5701634,0.036151957,1.3902661,0.0800143
4560697,1.5718137,0.028629793,1.3805728,0.057871252
4694835,1.561299,0.05186843,1.3771821,0.065816574
4828973,1.5671691,0.04503256,1.3827972,0.06686454
4963112,1.5537857,0.048625953,1.3691841,0.061420985
5097250,1.568407,0.045031145,1.3615991,0.05637597
5231388,1.5855664,0.04749395,1.3661059,0.05069859
5365526,1.5950097,0.041667283,1.3808285,0.060062468
5499664,1.6135087,0.04537508,1.4060789,0.05226231
5633802,1.6208245,0.037498664,1.4034714,0.05090173
5767940,1.620742,0.015293686,1.403124,0.06199458
5902079,1.6286678,0.0026270174,1.4068117,0.06567523
6036217,1.6264677,0.028379358,1.3861305,0.04705373
6170355,1.6471542,0.016915765,1.3735175,0.034896318
6304493,1.6384388,0.009655276,1.3861656,0.035620436
6438631,1.6612616,0.016791187,1.3948826,0.06506893
6572769,1.6418022,0.05196642,1.396061,0.08098025
6706908,1.6662885,0.064238556,1.3757881,0.057690933
6841046,1.6756597,0.059342775,1.3655428,0.038897038
6975184,1.6807604,0.06674646,1.3376551,0.04263186
7109322,1.6600176,0.07507155,1.3292228,0.024784988
7243460,1.6833493,0.082992174,1.3096339,0.052376874
7377598,1.7050142,0.065338455,1.3113371,0.024407843
7511737,1.7191796,0.062479153,1.3088702,0.025916275
7645875,1.716595,0.0630834,1.3033165,0.012321365
7780013,1.7169355,0.071670644,1.3003181,0.018952107
7914151,1.7172419,0.08481763,1.2902863,0.013610924
8048289,1.7141844,0.07348156,1.286591,0.02022356
8182427,1.7107658,0.0661334,1.2739319,0.027515618
8316566,1.7056894,0.04501657,1.2958721,0.025902
8450704,1.7177871,0.059622712,1.3082849,0.04049442
8584842,1.718675,0.05300128,1.298123,0.013199638
8718980,1.7281408,0.07092232,1.3009773,0.018828562
8853118,1.7253267,0.07239395,1.3095464,0.029061278
8987256,1.7407941,0.07741685,1.3125917,0.0034709624
9121395,1.7793814,0.08728646,1.3133326,0.022048406
9255533,1.7967767,0.088515684,1.326666,0.03171058
9389671,1.8010988,0.09358506,1.318666,0.033929057
9523809,1.784989,0.122820415,1.3161327,0.03844959
9657947,1.7944902,0.10750959,1.2978529,0.03386617
9792085,1.8097078,0.12696709,1.2914008,0.06645958
9926224,1.8220702,0.13013268,1.3109275,0.07194324
10060362,1.8371967,0.13958822,1.305168,0.04648903
10194500,1.8541436,0.14151056,1.2779846,0.015538578
