x,train_mean0,train_sd1,test_mean2,test_sd3
0,-1.3233334,0.34195513,-1.9166666,0.3317127
134138,-1.3573333,0.333671,-1.94,0.31788832
268276,-1.3589333,0.30077574,-1.8916668,0.3092732
402414,-1.3233733,0.2640038,-1.8751665,0.25214577
536552,-1.2903694,0.25854212,-1.80765,0.2282609
670690,-1.2636658,0.23434052,-1.735885,0.18137178
804828,-1.2266326,0.23052706,-1.6596298,0.15300068
938967,-1.171636,0.23885801,-1.6286669,0.14261138
1073105,-1.0878056,0.26000303,-1.5461334,0.1343138
1207243,-1.0180252,0.27776888,-1.4861869,0.16592814
1341381,-0.9612226,0.29221806,-1.4252348,0.1408007
1475519,-0.88010025,0.31295815,-1.3707113,0.14884508
1609657,-0.80775696,0.34305096,-1.3079735,0.17664939
1743796,-0.7413146,0.35323855,-1.2518429,0.17579636
1877934,-0.6538498,0.36061338,-1.1636585,0.24147372
2012072,-0.58679813,0.3787002,-1.095626,0.24552639
2146210,-0.5051183,0.37923658,-1.05473,0.29526794
2280348,-0.42993984,0.36512285,-1.0202571,0.28808114
2414486,-0.35261253,0.36625275,-0.95323133,0.30695388
2548625,-0.25535128,0.3856364,-0.8849082,0.31446162
2682763,-0.18714947,0.41490537,-0.8037507,0.32546324
2816901,-0.111767866,0.4284156,-0.7330424,0.3312583
2951039,-0.0052577555,0.4445134,-0.64507145,0.3474725
3085177,0.0579347,0.45650062,-0.5638976,0.3766765
3219315,0.1468079,0.4494903,-0.5108412,0.37430438
3353454,0.20346044,0.49125674,-0.41875708,0.41756338
3487592,0.30044773,0.50747865,-0.3312147,0.4177019
3621730,0.38540295,0.50909215,-0.23742656,0.43711215
3755868,0.46786264,0.512749,-0.16801725,0.4296497
3890006,0.5800764,0.52990615,-0.09454885,0.43278348
4024144,0.64873546,0.5229162,-0.017427305,0.44530874
4158283,0.7321952,0.49014834,0.09031543,0.4481716
4292421,0.8303091,0.48929974,0.14761722,0.46390584
4426559,0.92894477,0.48332685,0.2408555,0.5076915
4560697,1.027717,0.5006984,0.35776997,0.5220516
4694835,1.1189452,0.5104304,0.4476596,0.5249155
4828973,1.2017174,0.5045516,0.513227,0.5253305
4963112,1.2502123,0.49236965,0.5675709,0.5445265
5097250,1.3328577,0.50666755,0.6371472,0.5481468
5231388,1.4289054,0.51637834,0.72509915,0.5598219
5365526,1.4950148,0.5332801,0.82092255,0.55688715
5499664,1.59618,0.5810307,0.9178303,0.57435775
5633802,1.6812286,0.56222284,0.96338063,0.59148276
5767940,1.7911059,0.5872033,1.0600425,0.58702815
5902079,1.9146619,0.616775,1.1187049,0.5775926
