x,train_mean0,train_sd1,test_mean2,test_sd3
0,4.0,0.6557437,3.5333335,0.75055546
134138,4.0033336,0.63137406,3.5366669,0.73907626
268276,3.9963334,0.57359946,3.5063334,0.71431977
402414,3.9100335,0.5377736,3.3990333,0.63122255
536552,3.8790302,0.49143162,3.35913,0.54226243
670690,3.8444602,0.44394156,3.33655,0.48828405
804828,3.7733479,0.371214,3.3162286,0.45847636
938967,3.606013,0.35268328,3.257939,0.4415963
1073105,3.5054114,0.3198305,3.2621453,0.45016298
1207243,3.4348705,0.28453463,3.252597,0.44613075
1341381,3.37805,0.26894107,3.2440042,0.42820436
1475519,3.3369114,0.2818961,3.1562703,0.38064343
1609657,3.3432205,0.28105733,3.1106434,0.35935488
1743796,3.3722317,0.3072112,3.0629127,0.3097994
1877934,3.3916752,0.31209877,3.0532877,0.29244772
2012072,3.3891745,0.31501803,3.0146255,0.31387436
2146210,3.3969238,0.33844393,2.9998295,0.34768972
2280348,3.4105644,0.326356,3.0031803,0.34163308
2414486,3.4061747,0.32988447,3.012862,0.3580707
2548625,3.4122238,0.38695514,2.9549093,0.3717699
2682763,3.434335,0.41535422,2.916085,0.40407833
2816901,3.4642346,0.41969994,2.89781,0.40538803
2951039,3.4911444,0.40906838,2.8846958,0.4138735
3085177,3.52203,0.3688909,2.8395593,0.42892453
3219315,3.5564938,0.31811506,2.8156033,0.44785836
3353454,3.6008446,0.2439627,2.804043,0.4710966
3487592,3.6174266,0.19416703,2.7903054,0.5172065
3621730,3.5856838,0.1677216,2.7479417,0.55442345
3755868,3.5671158,0.16470338,2.7364807,0.56757885
3890006,3.5537374,0.17645873,2.7528324,0.5663455
4024144,3.5416968,0.21192509,2.7375495,0.5353999
4158283,3.5475273,0.27611464,2.7437944,0.47395003
4292421,3.5627747,0.31836584,2.759415,0.41941002
4426559,3.573164,0.33180022,2.7568066,0.37854782
4560697,3.5658474,0.34545717,2.7411263,0.31578362
4694835,3.5425959,0.35511297,2.7436802,0.24455386
4828973,3.5150032,0.31091073,2.7226455,0.21913482
4963112,3.4801695,0.26115987,2.700381,0.23085967
5097250,3.4688194,0.23295821,2.680343,0.22958826
5231388,3.4352705,0.21295032,2.6723087,0.2468379
5365526,3.43841,0.19570419,2.6850777,0.28129277
5499664,3.4412358,0.21331099,2.7065697,0.31803712
5633802,3.4704456,0.22394003,2.7392464,0.33183792
5767940,3.5067346,0.20008789,2.7586548,0.34988678
5902079,3.5393944,0.16885664,2.7894561,0.35038304
6036217,3.5687883,0.14063273,2.813844,0.3285575
6170355,3.5852425,0.12904266,2.8424594,0.30956653
6304493,3.596718,0.13544543,2.8648803,0.3118219
6438631,3.6037133,0.16676705,2.8817255,0.30565342
6572769,3.6066751,0.18310936,2.9002197,0.28433084
6706908,3.569341,0.18673187,2.9068642,0.2900856
6841046,3.5624068,0.20538853,2.9028447,0.28609014
6975184,3.5394995,0.23271888,2.9058933,0.24878567
7109322,3.5355499,0.2786601,2.9086373,0.22450246
7243460,3.5486612,0.33442304,2.8944404,0.19615068
7377598,3.5471287,0.37438577,2.8883295,0.14892244
7511737,3.5357492,0.3669739,2.91283,0.15605244
7645875,3.5188408,0.3706509,2.9382136,0.21131669
7780013,3.4802902,0.34664392,2.9677258,0.27033356
7914151,3.438928,0.31034386,2.9876196,0.30359048
8048289,3.3717015,0.29251894,2.9588578,0.3231572
8182427,3.3245316,0.25661758,2.9196389,0.3459169
8316566,3.278745,0.23376076,2.8576748,0.34145355
8450704,3.2275372,0.23538804,2.8219073,0.36683166
8584842,3.20145,0.2525352,2.7863834,0.41120917
8718980,3.2313051,0.27036524,2.7644117,0.4546362
8853118,3.2781746,0.2956997,2.7413037,0.48334163
8987256,3.320357,0.30042452,2.7471733,0.50063926
9121395,3.361655,0.31750578,2.7457893,0.5302131
9255533,3.355489,0.31206232,2.7445438,0.5596631
9389671,3.3332736,0.26828766,2.736756,0.5755681
9523809,3.3199463,0.232183,2.729747,0.59914035
