x,train_mean0,train_sd1,test_mean2,test_sd3
0,3.1333332,0.28867513,2.8999999,0.36055517
134138,3.17,0.31432465,2.9166667,0.33560893
268276,3.2329998,0.34992567,2.9950001,0.24393238
402414,3.3597,0.37673712,3.1221666,0.19785288
536552,3.4770632,0.39628035,3.2566166,0.18937653
670690,3.6826904,0.29811096,3.3942883,0.25573748
804828,3.8044212,0.18329772,3.5148594,0.32428843
938967,3.8439791,0.14388464,3.5933735,0.3350971
1073105,3.9462478,0.11086445,3.7073696,0.3103202
1207243,4.0849566,0.09936214,3.8466327,0.31211135
1341381,4.209794,0.14854953,4.058636,0.34237558
1475519,4.3688145,0.1953947,4.2061057,0.30544627
1609657,4.5519333,0.27038833,4.3288283,0.30139813
1743796,4.6967397,0.2868738,4.432613,0.28968218
1877934,4.830399,0.31324682,4.5126843,0.279446
2012072,4.9540257,0.32408002,4.598082,0.28163666
2146210,5.061957,0.34025246,4.7082744,0.21834114
2280348,5.205761,0.2791885,4.767447,0.1797926
2414486,5.2885184,0.2561481,4.797369,0.09915552
2548625,5.359667,0.19403924,4.8676324,0.10253853
2682763,5.4903665,0.16694945,4.9308686,0.14890292
2816901,5.564663,0.18047427,4.9977818,0.10354393
2951039,5.65153,0.16995527,5.0746703,0.13082726
3085177,5.773044,0.1864884,5.09387,0.061019413
3219315,5.8257394,0.1481743,5.1511497,0.026627386
3353454,5.9064984,0.17698511,5.179368,0.008893847
3487592,5.919182,0.1675223,5.168098,0.04456339
3621730,5.9472637,0.12485441,5.204622,0.024297373
3755868,5.9758706,0.12043633,5.227493,0.007909246
3890006,5.991617,0.07823034,5.24141,0.044950657
4024144,6.0691223,0.07111839,5.2939353,0.042913858
4158283,6.1488767,0.118917644,5.387876,0.0076225037
4292421,6.2206554,0.15810142,5.4024215,0.031286553
4426559,6.2785897,0.17774408,5.4355125,0.10129111
4560697,6.3340645,0.12581368,5.4719615,0.06994973
4694835,6.3573246,0.120434605,5.468098,0.04166438
4828973,6.3682594,0.16247323,5.464622,0.11949352
4963112,6.4114327,0.15029815,5.428159,0.19160968
5097250,6.4236226,0.17290284,5.375344,0.1532607
5231388,6.441261,0.16417296,5.374476,0.102371626
5365526,6.433801,0.15475577,5.4036956,0.06696897
5499664,6.447088,0.15628332,5.393326,0.048494644
5633802,6.4690456,0.15345053,5.3806596,0.08514664
5767940,6.4821415,0.14293587,5.3792605,0.083653644
5902079,6.52726,0.12748049,5.3713346,0.11599469
6036217,6.5478673,0.097146235,5.314201,0.14611663
6170355,6.543081,0.090980284,5.306114,0.14591907
6304493,6.6354394,0.09422871,5.3488364,0.14781238
6438631,6.685229,0.15272598,5.393953,0.110934496
6572769,6.6733727,0.16629909,5.3978906,0.09742148
6706908,6.7327023,0.17814022,5.4481015,0.11477075
6841046,6.8094316,0.1813715,5.4866242,0.09615107
6975184,6.8118224,0.17623451,5.5079627,0.108273596
7109322,6.823973,0.18728404,5.5338326,0.090832025
7243460,6.828242,0.18310498,5.520449,0.11704903
7377598,6.8454185,0.15933423,5.541738,0.12462927
7511737,6.837543,0.16366687,5.5175643,0.11590409
7645875,6.867122,0.20058031,5.5158076,0.11126699
7780013,6.8770766,0.24272045,5.544227,0.14274009
7914151,6.916035,0.24875714,5.5231376,0.14617161
8048289,6.9277654,0.19177546,5.4608235,0.09079036
8182427,6.974989,0.19844323,5.4147415,0.06512609
8316566,6.960823,0.22906786,5.389934,0.08731982
8450704,7.0014076,0.24219255,5.404274,0.1063005
8584842,7.0612664,0.22607918,5.4138465,0.13630973
8718980,7.0718064,0.227486,5.425795,0.11574709
8853118,7.071293,0.13596648,5.416549,0.10622357
8987256,7.07083,0.16388543,5.3982277,0.10122903
9121395,7.1237473,0.14166006,5.3784046,0.10981808
9255533,7.121372,0.15743223,5.390564,0.14058378
9389671,7.172569,0.19088654,5.404841,0.12848231
9523809,7.1753116,0.16792294,5.401024,0.08629228
9657947,7.1977806,0.16164932,5.434255,0.04182752
9792085,7.2113357,0.16774969,5.427496,0.05787619
9926224,7.2035356,0.13766687,5.4480796,0.034311574
10060362,7.216516,0.14630623,5.4632716,0.045046058
10194500,7.244864,0.13167566,5.4536114,0.019854374
10328638,7.2203774,0.074924275,5.4515834,0.028706651
10462776,7.2216735,0.113358505,5.4197583,0.040196545
10596914,7.2461724,0.15318206,5.444449,0.015843613
10731052,7.258222,0.17289117,5.4166713,0.048695944
10865191,7.255733,0.1632222,5.395004,0.10529727
10999329,7.2634926,0.20308848,5.378837,0.119921505
11133467,7.2638106,0.20333877,5.414286,0.062400162
11267605,7.270763,0.20585138,5.4461913,0.024085447
11401743,7.2770195,0.22930534,5.4582386,0.039708324
11535881,7.2959847,0.19688688,5.4124146,0.117279686
11670020,7.3163857,0.17620221,5.39784,0.2432144
11804158,7.3280807,0.1312822,5.4280562,0.32221124
11938296,7.3519397,0.10313354,5.4552503,0.2627104
12072434,7.3200784,0.07192802,5.4497256,0.1609465
12206572,7.2947373,0.093005285,5.4080863,0.109122545
12340710,7.3319306,0.09360051,5.4072776,0.111896805
12474849,7.332071,0.078104615,5.403216,0.099527955
12608987,7.332197,0.16887167,5.416228,0.06498515
12743125,7.368977,0.13471964,5.4146056,0.060829975
12877263,7.4220796,0.14079234,5.4164786,0.023621503
13011401,7.436538,0.11630699,5.431497,0.09159388
13145539,7.4562173,0.08226017,5.4216805,0.12509744
13279678,7.4639297,0.10890539,5.4195123,0.15684295
13413816,7.487536,0.12542556,5.407561,0.20036022
13547954,7.465449,0.10149346,5.4168053,0.1596013
13682092,7.465571,0.099424936,5.4717917,0.15929072
13816230,7.479014,0.07128149,5.4746118,0.13619919
13950368,7.4577794,0.03169508,5.5338173,0.09536726
14084507,7.448668,0.048562087,5.537103,0.04201095
14218645,7.473801,0.06996213,5.5100594,0.023997778
14352783,7.4997544,0.05147937,5.4557195,0.03543649
14486921,7.5164456,0.06287178,5.4568143,0.065947704
14621059,7.514801,0.046046875,5.4711328,0.08331886
14755197,7.5633206,0.011068437,5.49402,0.08989829
14889336,7.556989,0.042583887,5.4846177,0.14279088
15023474,7.5646234,0.07910119,5.449489,0.16998234
15157612,7.5581613,0.07391017,5.4745407,0.18560392
15291750,7.5823455,0.067349285,5.497087,0.1826959
15425888,7.6107774,0.019457204,5.5307117,0.15104122
15560026,7.603033,0.05148973,5.5543065,0.13682902
15694164,7.619396,0.07506168,5.5622096,0.116617344
15828303,7.6274567,0.059918508,5.5859885,0.12622398
15962441,7.6747108,0.03290656,5.590723,0.086502776
16096579,7.6972404,0.091127686,5.558317,0.058113582
16230717,7.704182,0.08929359,5.5358186,0.07776177
16364855,7.6804314,0.07754399,5.528904,0.062182855
16498993,7.649054,0.051703118,5.569347,0.045266945
16633132,7.674149,0.051846374,5.6157455,0.061290078
16767270,7.663401,0.08805224,5.5975037,0.08067276
16901408,7.690394,0.13326868,5.601087,0.059842728
17035546,7.688021,0.08956451,5.614311,0.08734456
17169684,7.7158856,0.101844385,5.56288,0.113701046
17303822,7.694298,0.07831671,5.546592,0.11231487
17437961,7.6748676,0.066798866,5.5385995,0.06646311
17572099,7.6740475,0.111601666,5.5314064,0.024828104
17706237,7.69331,0.120147094,5.5215993,0.0482695
17840375,7.6873116,0.05637429,5.482773,0.08125836
17974513,7.6719136,0.07095774,5.4578285,0.101036735
18108651,7.671389,0.12895334,5.4687123,0.16712517
18242790,7.664251,0.14742246,5.4051747,0.16963284
18376928,7.704492,0.13708423,5.3913236,0.22290616
18511066,7.710709,0.17277727,5.415525,0.19205338
18645204,7.689638,0.17878093,5.443972,0.19838962
18779342,7.667341,0.20240472,5.4662414,0.17902711
18913480,7.6872735,0.19325525,5.442951,0.19395174
19047619,7.705213,0.1946234,5.418656,0.1947637
19181757,7.664692,0.15794802,5.4134574,0.20119753
19315895,7.6582227,0.13940006,5.415445,0.11053996
19450033,7.625734,0.14624712,5.4139,0.107366
19584171,7.6598268,0.12774841,5.4325104,0.12980986
19718309,7.633844,0.11729417,5.4559255,0.12986742
19852448,7.6871266,0.13610074,5.4903336,0.14070523
19986586,7.68508,0.138741,5.4813,0.13418527
20120724,7.706572,0.14915618,5.516503,0.14931092
20254862,7.7059155,0.11805307,5.5415196,0.1693507
20389000,7.70199,0.1304221,5.5240345,0.15303323
20523138,7.6817913,0.10739104,5.5282974,0.13375019
20657276,7.700279,0.12784511,5.5121346,0.17359342
20791415,7.6935844,0.13190745,5.5409207,0.21183833
20925553,7.657559,0.0809028,5.5534954,0.18460515
21059691,7.6518035,0.08387237,5.5514793,0.17458113
21193829,7.676623,0.11940053,5.5396647,0.17777513
21327967,7.6456275,0.08629079,5.479032,0.17290495
21462105,7.6510644,0.078230225,5.4777946,0.17554867
21596244,7.669291,0.11754453,5.480016,0.14514488
21730382,7.635696,0.22118078,5.4953475,0.08434114
21864520,7.642126,0.19106972,5.502479,0.032100096
21998658,7.66458,0.20573391,5.532232,0.0432838
22132796,7.6814556,0.23240668,5.5423417,0.064054914
22266934,7.69331,0.2055194,5.5514407,0.028476795
22401073,7.727312,0.19067614,5.51963,0.021384241
22535211,7.704581,0.17271169,5.4943337,0.034327913
22669349,7.7174563,0.13179174,5.5449004,0.03924471
22803487,7.749044,0.13196304,5.56041,0.0560578
22937625,7.7608066,0.14727695,5.544369,0.038835976
23071763,7.734726,0.13890275,5.5832653,0.079791695
23205902,7.7245865,0.18119434,5.604939,0.12395192
23340040,7.765461,0.14783224,5.5911117,0.14486969
23474178,7.782248,0.13872877,5.645334,0.18059705
23608316,7.7940235,0.15871564,5.704134,0.19579692
23742454,7.814621,0.15487246,5.7237206,0.18291883
23876592,7.7631593,0.18677528,5.6713486,0.16647553
24010731,7.7768435,0.18978195,5.6742134,0.14218217
24144869,7.7458253,0.19463238,5.6634593,0.12365606
24279007,7.741243,0.17271928,5.6637797,0.12396437
24413145,7.7071185,0.22569768,5.6140685,0.090002105
24547283,7.71974,0.20648926,5.575995,0.059173778
24681421,7.697766,0.24208848,5.598395,0.05066677
24815560,7.7013226,0.21286777,5.5618896,0.047195856
24949698,7.7045236,0.2332448,5.549034,0.12875558
25083836,7.730738,0.16570805,5.5241303,0.09185254
25217974,7.704331,0.118124366,5.498384,0.075784475
25352112,7.673898,0.08721344,5.525212,0.033412162
25486250,7.729841,0.102594726,5.5460243,0.026893383
25620389,7.7268577,0.08462961,5.558089,0.122382395
25754527,7.7341714,0.07369732,5.538946,0.12955041
25888665,7.754088,0.12652837,5.541719,0.09579462
26022803,7.772012,0.12903726,5.5775466,0.080412984
26156941,7.8281446,0.11924966,5.6197915,0.041902553
26291079,7.831997,0.13694674,5.6311455,0.035088092
26425217,7.8554635,0.08215263,5.638031,0.011895419
26559356,7.893251,0.10624923,5.657562,0.02743363
26693494,7.883925,0.12111878,5.6618056,0.055326737
26827632,7.885533,0.0851193,5.6356254,0.08019349
26961770,7.860313,0.046606928,5.618729,0.030453818
27095908,7.8276153,0.07095738,5.5901895,0.0043922463
27230046,7.8648534,0.10117318,5.6078377,0.04894073
27364185,7.858368,0.09851296,5.577053,0.09218315
27498323,7.8358645,0.10862918,5.556015,0.07525921
27632461,7.838945,0.0926102,5.5370803,0.09785056
27766599,7.845051,0.073943414,5.566705,0.15864941
27900737,7.827212,0.11238483,5.550035,0.15821765
28034875,7.8044906,0.091230035,5.551698,0.13595146
28169014,7.8040414,0.076384455,5.606528,0.11307414
28303152,7.8236375,0.061355602,5.6092086,0.10413909
28437290,7.7979407,0.10030309,5.6216216,0.082972266
28571428,7.8114796,0.1349412,5.6127925,0.06811365
28705566,7.8236656,0.13587737,5.6115136,0.05149131
28839704,7.861299,0.1219991,5.657028,0.10120539
28973843,7.8318353,0.13772671,5.661326,0.12596719
29107981,7.8386517,0.14034165,5.668526,0.17656012
29242119,7.844786,0.1560536,5.64834,0.15559885
29376257,7.860308,0.1338576,5.6535068,0.15745017
29510395,7.854277,0.10031757,5.664822,0.1270311
29644533,7.855516,0.12880525,5.665007,0.10147567
29778672,7.866632,0.1472225,5.668506,0.062111616
29912810,7.9033012,0.1552634,5.644989,0.024121294
30046948,7.8663044,0.12542534,5.5971565,0.03256549
30181086,7.899675,0.088406146,5.607441,0.037678294
30315224,7.88304,0.091357976,5.6400304,0.060532242
30449362,7.868069,0.08033078,5.602694,0.0845316
30583501,7.8445954,0.13794991,5.6024246,0.14685602
30717639,7.846803,0.2129783,5.648848,0.15981781
30851777,7.848789,0.22439644,5.6439643,0.18759154
30985915,7.880577,0.19192526,5.596234,0.17632674
31120053,7.8891854,0.20513166,5.566611,0.1881461
31254191,7.876934,0.16934997,5.5199494,0.20538674
31388329,7.862574,0.15745151,5.5712876,0.15087326
31522468,7.856317,0.10699796,5.600826,0.11281336
31656606,7.8540177,0.09453286,5.5840764,0.12133399
31790744,7.84195,0.09873471,5.5756683,0.12336593
31924882,7.8310876,0.063085616,5.651436,0.10614725
32059020,7.7979794,0.09046426,5.699625,0.07152268
32193158,7.814848,0.10196923,5.689663,0.078350075
32327297,7.8133636,0.14703715,5.68403,0.086826205
32461435,7.8186936,0.10455711,5.7022934,0.07044375
32595573,7.8434906,0.10978189,5.6987305,0.046190355
32729711,7.8891416,0.06758473,5.6488576,0.055880193
32863849,7.890228,0.09141352,5.687305,0.041919596
32997987,7.854538,0.052962437,5.7219086,0.039013833
33132126,7.8990846,0.10790864,5.7030506,0.07589168
33266264,7.909176,0.11531858,5.6927457,0.073554754
33400402,7.868258,0.11015707,5.683471,0.052096605
33534540,7.878099,0.14773725,5.6184573,0.107939124
33668678,7.8902893,0.17789859,5.609945,0.09637226
33802816,7.8945937,0.19633192,5.6189504,0.09020424
33936955,7.875134,0.19227067,5.6170554,0.13407753
34071093,7.8809543,0.1487779,5.652016,0.16074595
34205231,7.8795257,0.14412312,5.660148,0.12365017
34339369,7.87824,0.12691216,5.7008,0.11842577
34473507,7.8804154,0.10195007,5.69072,0.09027909
34607645,7.8757076,0.096979536,5.708315,0.0392094
34741784,7.8848033,0.115399286,5.7241497,0.002606805
34875922,7.8963227,0.045735646,5.698401,0.030955812
35010060,7.8700237,0.041479904,5.6718946,0.025308058
35144198,7.849688,0.040426232,5.671372,0.027866313
35278336,7.8280525,0.024328627,5.694235,0.022958474
35412474,7.815248,0.008057556,5.651478,0.04579935
35546613,7.7903895,0.03492852,5.602997,0.055297606
35680751,7.8313503,0.05110036,5.6093636,0.044137545
35814889,7.8515487,0.045177076,5.6117606,0.03158623
35949027,7.836394,0.0077890097,5.660584,0.058638036
36083165,7.849421,0.02682186,5.6678596,0.10737588
