x,train_mean0,train_sd1,test_mean2,test_sd3
0,2.4666667,0.550757,2.3999999,0.36055517
134138,2.5366666,0.49095148,2.4333332,0.369098
268276,2.5563333,0.43038392,2.4233334,0.33252412
402414,2.6040332,0.38243544,2.4343333,0.2543126
536552,2.6636298,0.3441919,2.4242334,0.1938508
670690,2.7039337,0.3040077,2.5151434,0.15310815
804828,2.7268734,0.2825654,2.5602958,0.15300351
938967,2.770853,0.21450411,2.610933,0.11874961
1073105,2.7837677,0.120368324,2.606506,0.13535817
1207243,2.7887242,0.05045614,2.6358557,0.16003302
1341381,2.8631852,0.019953668,2.6789367,0.11220798
1475519,2.9035332,0.01239534,2.6643763,0.09563775
1609657,2.9198465,0.063823126,2.7046053,0.043471254
1743796,2.9545286,0.060707387,2.7208116,0.027778128
1877934,3.0157425,0.13039719,2.7587302,0.03186321
2012072,2.994168,0.122109696,2.7795238,0.04727689
2146210,2.9980848,0.054954067,2.8315716,0.035441898
2280348,3.0316095,0.08643642,2.8584144,0.04100987
2414486,3.0851152,0.08929868,2.9092398,0.06541763
2548625,3.0932705,0.10320382,2.9683158,0.03920168
2682763,3.0939434,0.12847082,2.9814842,0.08356464
2816901,3.1578825,0.17096007,2.9900024,0.11858837
2951039,3.2054274,0.15857854,3.0043354,0.15096399
3085177,3.2048848,0.15775844,2.9505684,0.18856378
3219315,3.2143962,0.17278428,2.9888449,0.18491538
3353454,3.189623,0.12809238,3.0166273,0.12757549
3487592,3.1839943,0.14169896,3.0049646,0.13609898
3621730,3.1722615,0.19932832,3.0144682,0.08172344
3755868,3.1650352,0.2102445,2.9663544,0.06274712
3890006,3.158532,0.23155437,2.9463856,0.08312689
4024144,3.146012,0.2295212,3.0050805,0.09627201
4158283,3.1647441,0.14797918,2.9912393,0.08473273
4292421,3.1682694,0.11586136,2.9954484,0.06328792
4426559,3.1681097,0.11004848,3.0225706,0.025156517
4560697,3.1912985,0.0644047,3.0703132,0.072544895
4694835,3.2455018,0.05058272,3.063282,0.06654009
4828973,3.2809517,0.042625587,3.0836208,0.10514475
4963112,3.28619,0.025649425,3.0385916,0.12247154
5097250,3.3009043,0.07729444,3.0513992,0.11773241
5231388,3.4208138,0.07194702,3.0429258,0.097676374
5365526,3.395399,0.07501768,3.0286334,0.11896012
5499664,3.3758593,0.07663136,3.0224369,0.11552508
5633802,3.3882732,0.098693796,3.030193,0.1010816
5767940,3.412779,0.09486338,3.030507,0.15206712
5902079,3.424835,0.067011006,2.9941227,0.1240824
6036217,3.4490178,0.13365965,3.0247107,0.09632813
6170355,3.4507828,0.1718749,2.9989064,0.09300095
6304493,3.4490378,0.17483944,2.9456823,0.07455611
6438631,3.440801,0.19655141,2.9744475,0.09490217
6572769,3.4600537,0.1588584,2.9536693,0.09741123
6706908,3.5040486,0.17901433,2.9883025,0.0799158
6841046,3.506977,0.20585,2.9994724,0.088970535
6975184,3.502946,0.19261953,2.9661915,0.09751434
7109322,3.4893181,0.18646075,2.9395726,0.10616854
7243460,3.5237198,0.16242833,2.9489486,0.12070317
7377598,3.4780142,0.1510908,2.9507205,0.09619077
7511737,3.4935462,0.20617269,2.9256485,0.06121361
7645875,3.4641914,0.21890594,2.8897502,0.054730017
7780013,3.474439,0.19872151,2.9074419,0.04997602
7914151,3.4769952,0.23755439,2.8566978,0.06753054
8048289,3.4692955,0.1538114,2.8843613,0.042324584
8182427,3.4756994,0.17540169,2.8792584,0.033863947
8316566,3.4447963,0.15839803,2.8513327,0.03793371
8450704,3.4769833,0.16751696,2.8428662,0.028929802
8584842,3.462618,0.20495851,2.8185794,0.058035485
8718980,3.5096896,0.1198618,2.7867215,0.071713686
8853118,3.5087206,0.11071987,2.8180494,0.06351752
8987256,3.5145152,0.052595146,2.7662442,0.08795388
9121395,3.4497306,0.041967556,2.7429533,0.12415077
9255533,3.521424,0.033287454,2.7586582,0.10272333
9389671,3.5226152,0.068258494,2.7594588,0.10700837
9523809,3.5436869,0.06361032,2.7901795,0.09533143
9657947,3.6026516,0.07673007,2.8078282,0.120674305
9792085,3.5590532,0.06615457,2.8103788,0.10908332
