x,train_mean0,train_sd1,test_mean2,test_sd3
0,4.9,0.4582576,4.7000003,0.8185354
134138,4.8766665,0.53463393,4.6766667,0.75301635
268276,4.825667,0.5150808,4.7223334,0.6584075
402414,4.806433,0.4723379,4.7634335,0.6001965
536552,4.859123,0.4511673,4.743757,0.5629029
670690,4.8798776,0.4475602,4.7027144,0.54826456
804828,4.8718896,0.4371183,4.682443,0.50810397
938967,4.8480344,0.4077478,4.6808653,0.4423934
1073105,4.809898,0.32431766,4.6894455,0.4032631
1207243,4.812241,0.25551778,4.6838346,0.38781187
1341381,4.827684,0.226675,4.688784,0.3939505
1475519,4.8649154,0.2373127,4.659906,0.36946467
1609657,4.8850904,0.260495,4.630582,0.3627193
1743796,4.923248,0.22168921,4.667524,0.28765208
1877934,4.9875903,0.2083229,4.6941047,0.18943438
2012072,5.0321646,0.23872563,4.738027,0.11916027
2146210,5.052281,0.18402562,4.767558,0.085635014
2280348,5.010386,0.14628233,4.767469,0.08601184
2414486,4.942681,0.11557042,4.807389,0.09946786
2548625,4.895079,0.110176675,4.7833166,0.10000378
2682763,4.878905,0.14431632,4.7616515,0.123316005
2816901,4.8576813,0.19360796,4.7654862,0.10715899
2951039,4.8352466,0.1892805,4.7956047,0.11149321
3085177,4.8683887,0.1547123,4.8227105,0.11825497
3219315,4.944883,0.16934931,4.830439,0.0664353
3353454,4.9670615,0.217477,4.8140626,0.021571063
3487592,4.997022,0.2617105,4.802656,0.030214
3621730,5.00732,0.2675723,4.7890573,0.05984456
3755868,4.9965878,0.29385018,4.7968183,0.07317624
3890006,5.006929,0.28087986,4.8204694,0.12348188
4024144,5.0495696,0.2938554,4.861756,0.14136177
4158283,5.087946,0.297679,4.9055805,0.14201178
4292421,5.092485,0.22219175,4.8916893,0.15978664
4426559,5.0599027,0.14276874,4.849187,0.15435614
4560697,4.997246,0.15555292,4.8442683,0.115632035
4694835,5.0208545,0.16758573,4.846508,0.116260074
4828973,5.0621023,0.18457605,4.8418574,0.13831167
4963112,5.065892,0.18263549,4.8610044,0.13567986
5097250,5.0559697,0.13050532,4.901571,0.13624492
5231388,5.0370393,0.119075485,4.941414,0.15518723
5365526,5.066669,0.09878973,5.010606,0.17281063
5499664,5.073335,0.10036981,5.039545,0.1899344
5633802,5.089335,0.107479736,5.0022573,0.22715272
5767940,5.1370683,0.11918398,5.0253644,0.19878455
5902079,5.170028,0.10619828,5.066162,0.15572456
6036217,5.209692,0.11822122,5.0595455,0.11391406
6170355,5.225389,0.12167033,5.0669246,0.089166485
6304493,5.249517,0.1019674,5.083565,0.15663977
6438631,5.291232,0.12383294,5.088542,0.24297562
6572769,5.295442,0.11249417,5.063021,0.2654677
6706908,5.2825646,0.09506221,5.0833855,0.24168964
6841046,5.290975,0.093769,5.095047,0.21750374
6975184,5.308544,0.1385169,5.1322093,0.18287687
7109322,5.3276896,0.15942685,5.1523213,0.19770141
7243460,5.3515873,0.15305433,5.127089,0.15975153
7377598,5.3464284,0.14610846,5.137714,0.11499298
7511737,5.345119,0.16034566,5.153942,0.06904205
7645875,5.3339405,0.17371303,5.1418815,0.04734958
7780013,5.3205466,0.08952716,5.1376934,0.012630664
7914151,5.345158,0.072162636,5.163924,0.03313284
8048289,5.3873096,0.08894706,5.200865,0.024046095
8182427,5.428579,0.021216445,5.2574453,0.019392727
