x,train_mean0,train_sd1,test_mean2,test_sd3
0,1.12,0.14798649,1.3533334,0.24906489
134138,1.1079999,0.13420875,1.3376666,0.2643564
268276,1.1088667,0.1240421,1.3179001,0.26496187
402414,1.1009799,0.13559593,1.3207767,0.24065776
536552,1.103882,0.15886885,1.3313656,0.20570773
670690,1.1051604,0.18198891,1.3248957,0.20033678
804828,1.1159778,0.1972356,1.3230728,0.19864795
938967,1.12438,0.20682147,1.325099,0.19245683
1073105,1.1396085,0.22303501,1.3305889,0.20414492
1207243,1.1596478,0.24144875,1.3218633,0.21903753
1341381,1.168683,0.24773265,1.3280104,0.22282355
1475519,1.2128147,0.24429625,1.336876,0.20717485
1609657,1.2678666,0.24467066,1.341855,0.20999335
1743796,1.3060799,0.24307343,1.3693362,0.24115407
1877934,1.3328053,0.26505625,1.3980694,0.25631222
2012072,1.351858,0.27047092,1.4372624,0.26128864
2146210,1.4000055,0.290076,1.4898695,0.26027283
2280348,1.4896717,0.30698282,1.5412159,0.2726832
2414486,1.5410379,0.2992901,1.6010942,0.26783776
2548625,1.5772673,0.30842978,1.6573181,0.2611626
2682763,1.5922073,0.29477596,1.6965863,0.25807244
2816901,1.6389866,0.29579693,1.7029277,0.26321408
2951039,1.6834213,0.30031142,1.7236351,0.26617467
3085177,1.725079,0.28127688,1.7696047,0.21359968
3219315,1.7605711,0.25429463,1.8249778,0.19954982
3353454,1.7885141,0.23766986,1.8601465,0.22317414
3487592,1.7696627,0.24171995,1.8737985,0.23207983
3621730,1.7643629,0.24808674,1.9087521,0.26267844
3755868,1.76926,0.2397397,1.9318768,0.2947391
3890006,1.800334,0.23695202,1.9630226,0.31061995
4024144,1.8376341,0.2187009,2.0060537,0.30427924
4158283,1.8865372,0.24290808,2.068115,0.31680968
4292421,1.932217,0.2735066,2.1103032,0.34171695
4426559,1.9679952,0.28634828,2.1229398,0.38461962
4560697,2.0138624,0.26201606,2.0943124,0.38466114
4694835,2.0508096,0.19941323,2.0742145,0.367739
4828973,2.0920618,0.15578532,2.09246,0.34450224
4963112,2.1238556,0.08241022,2.157214,0.3382002
5097250,2.134137,0.040287063,2.2168257,0.3293387
5231388,2.1393898,0.04081297,2.2298098,0.31362703
5365526,2.1481173,0.049507678,2.238829,0.24620709
5499664,2.1663058,0.030096266,2.2506125,0.18870401
5633802,2.205675,0.01536193,2.2505512,0.13872315
5767940,2.2374408,0.024051936,2.2378294,0.13589267
5902079,2.2703636,0.047184598,2.2280464,0.13457486
6036217,2.287994,0.06150232,2.2405753,0.11181991
6170355,2.3331945,0.054995805,2.2348511,0.099831216
6304493,2.372875,0.07987388,2.237366,0.07744921
6438631,2.3879209,0.088416696,2.2336292,0.029751288
6572769,2.4007957,0.07607886,2.245933,0.024168005
6706908,2.4007158,0.08088269,2.2690065,0.042213906
6841046,2.3959777,0.08454848,2.294439,0.043057293
6975184,2.3810465,0.09622641,2.3149953,0.034820277
7109322,2.4046087,0.11039302,2.293829,0.03356912
7243460,2.4131477,0.13105889,2.290446,0.03273229
7377598,2.4301662,0.1569421,2.3104017,0.03338918
7511737,2.438483,0.18850681,2.3273613,0.021070162
7645875,2.4536345,0.20847002,2.3379586,0.026998306
7780013,2.4556046,0.20463918,2.3498294,0.054008983
7914151,2.4513774,0.19000073,2.3491797,0.06231767
8048289,2.440573,0.18636663,2.3455951,0.06661476
8182427,2.4651823,0.16448541,2.3423688,0.062299278
8316566,2.4983308,0.13402328,2.347132,0.050447762
8450704,2.5074978,0.12989372,2.3740854,0.04041153
8584842,2.5010815,0.12991828,2.4166768,0.032235615
8718980,2.51064,0.13414118,2.439676,0.06402876
8853118,2.5172427,0.13839377,2.4357083,0.10881687
8987256,2.5435183,0.1523573,2.4151373,0.13829961
9121395,2.570833,0.14123045,2.3982904,0.13376078
9255533,2.59475,0.11303965,2.382128,0.1285588
9389671,2.6269414,0.07724697,2.3912485,0.116219416
9523809,2.664914,0.030187653,2.3927903,0.12151741
9657947,2.685756,0.0092955595,2.3948448,0.09671236
9792085,2.6751804,0.034719758,2.4136937,0.067054294
9926224,2.659329,0.05210262,2.4199908,0.051313497
10060362,2.6577294,0.073208906,2.4426584,0.050505847
10194500,2.6642897,0.10160266,2.4647262,0.060500033
10328638,2.6828606,0.13677803,2.4959202,0.09075434
10462776,2.7215748,0.15801059,2.5269947,0.083211005
10596914,2.758084,0.17300722,2.5342953,0.08879809
10731052,2.7889423,0.17260313,2.5415323,0.120625
10865191,2.8347147,0.20897564,2.5567124,0.14327344
10999329,2.8522432,0.26442224,2.603708,0.1841188
11133467,2.8326855,0.29873383,2.633004,0.18079476
11267605,2.8020837,0.29529846,2.6633701,0.1725816
11401743,2.7745419,0.28318083,2.6706994,0.17833579
11535881,2.7837543,0.28236696,2.6549628,0.19620086
11670020,2.7820456,0.24411835,2.6578,0.19383146
11804158,2.7921743,0.24224934,2.6530201,0.20729622
11938296,2.7746236,0.24037205,2.6453848,0.19129948
12072434,2.7408278,0.20783477,2.6408463,0.19010058
12206572,2.7254117,0.17218952,2.6334283,0.18969207
12340710,2.731537,0.11506743,2.638752,0.1838467
12474849,2.7553835,0.07560365,2.6632102,0.15284161
12608987,2.7711785,0.05932769,2.6865559,0.12921116
12743125,2.7860606,0.0650034,2.7132337,0.120282926
12877263,2.787121,0.07840427,2.7212436,0.1112023
13011401,2.8004093,0.14404438,2.708786,0.083387926
13145539,2.8143682,0.18828082,2.6869075,0.04699694
13279678,2.8382647,0.19645318,2.6642168,0.043819994
13413816,2.8304384,0.16830689,2.6491282,0.087291345
13547954,2.8240612,0.15649523,2.6532154,0.14928758
13682092,2.8313217,0.15222049,2.6615608,0.17558362
13816230,2.8358562,0.18692046,2.6650712,0.17575377
13950368,2.841604,0.22548714,2.6698973,0.16727744
14084507,2.8261101,0.24952964,2.6535742,0.15535034
14218645,2.8118324,0.25145432,2.6542168,0.16427381
14352783,2.7776492,0.22916777,2.6537952,0.21368732
14486921,2.7542174,0.22025077,2.6580822,0.23399417
14621059,2.7481291,0.19841672,2.6466074,0.2150035
14755197,2.7683163,0.19673914,2.6259468,0.1437137
14889336,2.790818,0.22858007,2.611352,0.08818671
15023474,2.8037364,0.26733834,2.6118834,0.085430026
15157612,2.7870293,0.2992714,2.6240284,0.12127472
15291750,2.786993,0.29844165,2.6402922,0.137912
15425888,2.7932937,0.301409,2.6585963,0.12356749
15560026,2.810631,0.32575527,2.66307,0.08933227
15694164,2.8132346,0.30772838,2.6987631,0.07240524
15828303,2.8102446,0.272937,2.7262201,0.057693552
15962441,2.8178866,0.20396326,2.7449315,0.042878143
16096579,2.839431,0.1371544,2.726105,0.050147846
