x,train_mean0,train_sd1,test_mean2,test_sd3
0,3.3666668,0.6110101,3.7,0.29999995
134138,3.32,0.53702897,3.6733334,0.2596793
268276,3.338,0.5327326,3.616,0.23321873
402414,3.3075333,0.45074007,3.5710666,0.20066646
536552,3.30678,0.3991673,3.57396,0.14848676
670690,3.326102,0.35344076,3.5265644,0.13562562
804828,3.3934917,0.3044229,3.5572407,0.16626616
938967,3.4408092,0.29912865,3.5681837,0.18410711
1073105,3.4667284,0.21724531,3.611365,0.19675358
1207243,3.5500555,0.1771906,3.6302288,0.19348486
1341381,3.57505,0.17033619,3.677206,0.1750691
1475519,3.6608782,0.1380328,3.6928186,0.18571681
1609657,3.7247906,0.14244609,3.71687,0.23052417
1743796,3.7656448,0.13774538,3.7285163,0.2543843
1877934,3.8490803,0.11028872,3.7623317,0.25995126
2012072,3.8708389,0.063740596,3.8427649,0.21369193
2146210,3.9070883,0.1445556,3.8718216,0.16436946
2280348,3.9263794,0.11730225,3.8479729,0.17119177
2414486,3.9370747,0.099307984,3.8965092,0.16957746
2548625,3.9600341,0.068733916,3.8968582,0.17805518
2682763,3.9740307,0.11185985,3.8871725,0.15058607
2816901,3.9832942,0.12118693,3.9517882,0.07352761
2951039,4.044965,0.091959625,3.9232762,0.07193971
3085177,4.060468,0.14148946,3.974282,0.1120968
3219315,4.1244216,0.1727594,4.0235205,0.06376383
3353454,4.1753125,0.1346959,4.054502,0.057755947
3487592,4.2011147,0.15136465,4.0690517,0.022924948
3621730,4.2110033,0.11557526,4.1854796,0.030521493
3755868,4.2565694,0.105037026,4.196932,0.06025188
3890006,4.274246,0.14520082,4.220572,0.04706821
4024144,4.3468213,0.08364276,4.228515,0.06142488
4158283,4.362139,0.12786004,4.2556634,0.042424016
4292421,4.3759255,0.10580492,4.2934303,0.081951715
4426559,4.418333,0.16585177,4.280754,0.065795526
4560697,4.4164996,0.193559,4.3160114,0.03550021
4694835,4.451516,0.15538178,4.337744,0.04356513
4828973,4.483031,0.118189394,4.310636,0.094970986
4963112,4.531395,0.10843658,4.302906,0.13640371
5097250,4.541589,0.11257121,4.3159485,0.14353207
5231388,4.53743,0.11617433,4.367687,0.10330525
5365526,4.5703535,0.14308555,4.417585,0.087385274
5499664,4.5599847,0.10078394,4.4624934,0.11233035
5633802,4.6006527,0.06382059,4.476244,0.10676452
5767940,4.643921,0.026841527,4.5319524,0.14610709
5902079,4.6528625,0.058053628,4.5187573,0.08353967
6036217,4.6375756,0.047130797,4.5268817,0.067776054
6170355,4.6404853,0.08380525,4.5708604,0.09850789
6304493,4.63977,0.048914634,4.657108,0.05271362
6438631,4.6757927,0.07841812,4.6680636,0.041618694
6572769,4.651547,0.053063102,4.7045903,0.07728754
6706908,4.673059,0.012048176,4.6574645,0.0576919
6841046,4.7024198,0.04044386,4.6617184,0.0691679
6975184,4.755511,0.014345281,4.66888,0.17156892
7109322,4.803293,0.008533859,4.688658,0.23941633
7243460,4.842964,0.032571115,4.683126,0.29996645
7377598,4.8320007,0.12607591,4.7048135,0.25640568
7511737,4.8154674,0.08501121,4.6976657,0.30274594
7645875,4.7905874,0.102773055,4.707899,0.2701738
7780013,4.801529,0.05405216,4.6837754,0.18263772
7914151,4.844709,0.10204422,4.5987315,0.23321724
8048289,4.8169045,0.120518945,4.6621914,0.18596478
8182427,4.7618814,0.15206648,4.669306,0.20112851
8316566,4.765693,0.17070617,4.6423755,0.22460063
8450704,4.8024573,0.23184311,4.6148047,0.253537
8584842,4.7555447,0.26344216,4.576657,0.29072666
8718980,4.756657,0.32269627,4.5923247,0.29881063
8853118,4.7843246,0.3503074,4.616426,0.28213817
8987256,4.765892,0.40615743,4.5947833,0.29533735
9121395,4.6993027,0.327767,4.5886383,0.33371153
9255533,4.699373,0.32744113,4.5597744,0.40165877
9389671,4.7261024,0.34466416,4.5304637,0.3671203
9523809,4.720158,0.3702341,4.580751,0.4082419
9657947,4.7448096,0.4808001,4.519342,0.3909729
9792085,4.720328,0.5165571,4.4907413,0.40531436
9926224,4.7049623,0.5216027,4.4516673,0.408545
10060362,4.691133,0.49052772,4.389834,0.49431235
10194500,4.6920195,0.46889874,4.3508506,0.5251287
10328638,4.7194843,0.47254378,4.3357654,0.5221774
10462776,4.7142024,0.4457669,4.3288555,0.52999777
10596914,4.689449,0.3901637,4.32597,0.5573435
10731052,4.6871705,0.32630152,4.313373,0.56630635
10865191,4.6984534,0.23382924,4.3720355,0.60095537
10999329,4.7119417,0.21599358,4.3848324,0.56081486
11133467,4.7274137,0.28063613,4.376349,0.54026425
11267605,4.728006,0.24558875,4.3720474,0.52980995
11401743,4.7518716,0.27392608,4.3248425,0.5721726
11535881,4.7466846,0.303268,4.2723584,0.5103481
11670020,4.7553496,0.33386075,4.2951226,0.45060545
11804158,4.7964816,0.3111291,4.268944,0.38879183
11938296,4.7735,0.23886801,4.2720494,0.37991264
