x,train_mean0,train_sd1,test_mean2,test_sd3
0,4.35,0.69735205,4.276667,0.116761886
134138,4.352333,0.66494983,4.3160005,0.117115185
268276,4.3384337,0.6403636,4.309734,0.082853295
402414,4.3289237,0.613447,4.295427,0.06823246
536552,4.3103642,0.5569228,4.289884,0.061505105
670690,4.319328,0.4749648,4.2982287,0.032657668
804828,4.3430614,0.4168559,4.312739,0.026343752
938967,4.3620887,0.40626752,4.347132,0.06131522
1073105,4.375547,0.3810579,4.339752,0.08016239
1207243,4.3663254,0.34770083,4.3591104,0.08659831
1341381,4.3656926,0.348958,4.3855324,0.09205408
1475519,4.354457,0.33771732,4.3796463,0.10060618
1609657,4.3443446,0.29347417,4.3560147,0.09102056
1743796,4.3295765,0.2670744,4.3337464,0.07967344
1877934,4.326619,0.2580535,4.326039,0.09149748
2012072,4.3449574,0.23324746,4.335768,0.08791527
2146210,4.3534617,0.18226649,4.364525,0.08468518
2280348,4.368782,0.14701796,4.3824058,0.047992203
2414486,4.37657,0.15220332,4.400165,0.001463504
2548625,4.36958,0.12870474,4.4371486,0.029714607
2682763,4.3669553,0.0918311,4.445434,0.037758365
2816901,4.3789268,0.08225106,4.4245567,0.024736224
2951039,4.378034,0.06813472,4.3924346,0.035932995
3085177,4.3615637,0.07573909,4.3588576,0.050187696
3219315,4.369741,0.10439215,4.339972,0.076790705
3353454,4.361433,0.096461505,4.323308,0.09124857
3487592,4.3576236,0.11851427,4.301644,0.0881199
3621730,4.3705277,0.14191745,4.2964797,0.08756064
3755868,4.385475,0.15241624,4.3144984,0.09192599
3890006,4.3889275,0.14558518,4.3230486,0.0716393
4024144,4.3960347,0.13280398,4.2987437,0.053245608
4158283,4.4017644,0.1277995,4.2748694,0.075020075
4292421,4.406922,0.123126045,4.231049,0.109611094
4426559,4.3868957,0.1138161,4.212944,0.13726611
4560697,4.3572063,0.1125487,4.236983,0.17241074
4694835,4.3361526,0.12003685,4.245951,0.18893576
4828973,4.315537,0.14760052,4.2406898,0.20679997
4963112,4.3079834,0.15499435,4.2369537,0.22914425
5097250,4.3231854,0.16790652,4.2609253,0.21941279
5231388,4.3342,0.15832634,4.287499,0.2220756
5365526,4.3107796,0.15053715,4.296083,0.21817264
5499664,4.2893686,0.14558324,4.3188076,0.20931835
5633802,4.2710986,0.14351463,4.35426,0.17474301
5767940,4.301322,0.11861386,4.3671675,0.1736882
5902079,4.3448567,0.09246734,4.3601174,0.16457711
6036217,4.363704,0.09645082,4.334106,0.16520505
6170355,4.3513336,0.12379907,4.323029,0.16588001
6304493,4.3412004,0.15635906,4.2973924,0.1618796
6438631,4.32108,0.18706954,4.2869864,0.18519846
6572769,4.299972,0.21253593,4.291621,0.19606502
6706908,4.2743087,0.24753432,4.316459,0.2190463
6841046,4.2675443,0.26586717,4.315813,0.24896872
6975184,4.25479,0.29635513,4.2932315,0.29828236
7109322,4.2609773,0.33485436,4.262242,0.33230042
7243460,4.250546,0.37142587,4.2483516,0.34754914
7377598,4.250825,0.40117213,4.247183,0.3492029
7511737,4.2567425,0.42275482,4.256131,0.3608168
7645875,4.2690682,0.43717724,4.2418513,0.3944317
7780013,4.280495,0.4231503,4.214333,0.39284477
7914151,4.2787786,0.41873476,4.203566,0.39267266
8048289,4.267567,0.42911017,4.188543,0.36495382
8182427,4.251144,0.46737966,4.1726885,0.33620793
8316566,4.2686963,0.4665667,4.179086,0.33240575
8450704,4.30616,0.43548566,4.1931777,0.3481537
8584842,4.3288774,0.41162094,4.1955266,0.3313502
8718980,4.35099,0.4149278,4.1866407,0.32977334
8853118,4.379224,0.38028085,4.18231,0.30975294
8987256,4.4229684,0.33480653,4.221079,0.3260861
