x,train_mean0,train_sd1,test_mean2,test_sd3
0,2.8666668,0.064291075,2.89,0.062450055
134138,2.8963335,0.031754304,2.8746665,0.07752644
268276,2.9030333,0.036490858,2.872533,0.081684746
402414,2.9270632,0.0564223,2.88628,0.08120092
536552,2.95969,0.0644754,2.8853188,0.01993419
670690,2.995388,0.060427155,2.95312,0.04210408
804828,3.0491822,0.05941521,2.9561415,0.055095624
938967,3.074931,0.05452478,3.0168607,0.06309738
1073105,3.146438,0.027466321,3.042508,0.075159915
1207243,3.199794,0.05159787,3.055257,0.086929955
1341381,3.2718143,0.016520066,3.086398,0.07300647
1475519,3.3389664,0.02131714,3.103425,0.07801822
1609657,3.40707,0.050426178,3.148749,0.112028316
1743796,3.4410295,0.06299795,3.1968744,0.1649728
1877934,3.5082598,0.045266062,3.220853,0.20802857
2012072,3.5534337,0.093300276,3.3014348,0.22712971
2146210,3.6067572,0.122777745,3.3386247,0.25333557
2280348,3.6584148,0.12253279,3.384429,0.28677616
2414486,3.7365735,0.18863079,3.4166527,0.27498266
2548625,3.823249,0.1962544,3.4783208,0.268
2682763,3.8579242,0.19343518,3.543155,0.33629456
2816901,3.9347985,0.20649014,3.6341732,0.37267932
2951039,3.9929855,0.18432565,3.7224224,0.3690039
3085177,4.069687,0.20430538,3.8035133,0.39353216
3219315,4.164385,0.17311062,3.859162,0.39155233
3353454,4.24528,0.1506276,3.933246,0.361215
3487592,4.3244185,0.1426109,3.9789212,0.29760256
3621730,4.3963094,0.19671929,4.0376964,0.2769296
3755868,4.479679,0.23764747,4.0669265,0.29026484
3890006,4.541378,0.224591,4.1415668,0.30779368
4024144,4.6249065,0.19859123,4.2264104,0.35902065
4158283,4.736416,0.18651094,4.3301024,0.35824892
4292421,4.8307743,0.22202161,4.431759,0.3566806
4426559,4.9350305,0.26040235,4.5612497,0.32846084
4560697,5.030527,0.28345302,4.643458,0.35144508
4694835,5.1564746,0.30559853,4.7064457,0.3399576
4828973,5.2781606,0.2771605,4.802801,0.30719826
4963112,5.4043446,0.21701568,4.877855,0.29216826
5097250,5.5012436,0.17517808,4.944069,0.35035616
5231388,5.5561194,0.17380646,5.0193286,0.31881028
5365526,5.608507,0.14137012,5.1143956,0.3443913
5499664,5.7116566,0.21585879,5.1872897,0.3206036
5633802,5.8061576,0.27743036,5.278894,0.2973912
5767940,5.8752084,0.25751832,5.3700047,0.30292532
5902079,5.9483542,0.24960332,5.4616704,0.31360415
6036217,6.058519,0.18592243,5.5835037,0.32359007
6170355,6.143,0.15802278,5.6831536,0.34751865
6304493,6.222367,0.21497141,5.7408376,0.33183798
6438631,6.2877975,0.21243529,5.7357545,0.30908898
6572769,6.3823504,0.17246048,5.806845,0.3135259
6706908,6.4554486,0.19709489,5.895828,0.28448382
6841046,6.531237,0.14796314,6.012245,0.30063674
6975184,6.599447,0.13311017,6.0310197,0.29181913
7109322,6.586169,0.1613736,6.106585,0.28875855
7243460,6.669885,0.10503331,6.1935925,0.28195325
7377598,6.726563,0.11519266,6.2789006,0.27337456
7511737,6.80024,0.17672357,6.309677,0.353417
7645875,6.9088826,0.14415869,6.3680425,0.32141328
7780013,6.9849944,0.21321516,6.3905716,0.36249757
7914151,7.1461616,0.22636248,6.476848,0.36574128
8048289,7.247213,0.35336056,6.509163,0.39766368
8182427,7.333824,0.39025,6.53558,0.3468171
8316566,7.3147755,0.38135,6.601689,0.33925948
8450704,7.3899646,0.37781236,6.6478534,0.3724121
8584842,7.4683013,0.38639945,6.754068,0.4310165
8718980,7.5104713,0.39195684,6.785661,0.4461989
8853118,7.554091,0.49877706,6.8470955,0.4463599
8987256,7.672682,0.43829757,6.888052,0.3803175
9121395,7.741747,0.49913773,7.0102468,0.41624907
9255533,7.8325725,0.5707629,7.056889,0.50464517
9389671,7.936648,0.5067331,7.1585336,0.50184804
9523809,7.974317,0.4952451,7.180013,0.56690395
9657947,8.156885,0.6015597,7.226679,0.5764088
9792085,8.19553,0.67355454,7.225344,0.569921
9926224,8.261977,0.6570934,7.2854767,0.56755686
10060362,8.32278,0.68420714,7.348596,0.5678475
10194500,8.347835,0.65534365,7.469403,0.5700004
10328638,8.416385,0.7126377,7.4807954,0.4893745
10462776,8.451079,0.7698407,7.5800495,0.5419202
10596914,8.513971,0.8006011,7.6030445,0.47944397
10731052,8.576241,0.79224104,7.5920734,0.4857683
10865191,8.63195,0.8316975,7.634533,0.56654805
10999329,8.720756,0.8887359,7.702413,0.5205431
11133467,8.768346,0.9318199,7.7465043,0.62928593
11267605,8.832179,0.88396394,7.8528543,0.61087096
