x,train_mean0,train_sd1,test_mean2,test_sd3
0,0.21333332,0.026034165,0.18666667,0.07371116
66247,0.21366668,0.022002526,0.18566667,0.076356634
132494,0.21130002,0.0180141,0.18710001,0.07306347
198741,0.20983666,0.015214764,0.18472333,0.06315689
264988,0.21185301,0.015253814,0.18991768,0.05114084
331235,0.21022326,0.010335943,0.19259256,0.045637652
397482,0.21431203,0.0096072145,0.19433331,0.042230193
463729,0.21576972,0.004797991,0.19756664,0.039520197
529976,0.2205261,0.007223573,0.19880998,0.03360677
596223,0.2225846,0.0037674787,0.19859564,0.028419906
662471,0.22510391,0.0043352023,0.20540275,0.029304279
728718,0.23226018,0.005161128,0.20986247,0.026266064
794965,0.23492305,0.009151606,0.21220957,0.023391249
861212,0.23831964,0.0074269776,0.21798861,0.02203882
927459,0.23693211,0.007262033,0.21152307,0.019390585
993706,0.23701668,0.004142374,0.20870411,0.020086424
1059953,0.23620391,0.0059961947,0.21483369,0.017639523
1126200,0.24258351,0.012032696,0.21635032,0.019723048
1192447,0.24765849,0.014547071,0.21804863,0.028202554
1258694,0.25222597,0.013160197,0.22491044,0.019355068
1324942,0.2534478,0.015876107,0.22908606,0.019440308
1391189,0.2617697,0.016926436,0.23017745,0.027345916
1457436,0.2682594,0.017032988,0.23649304,0.02487658
1523683,0.27343348,0.015399437,0.23851041,0.030920736
1589930,0.2747568,0.015125179,0.23865937,0.03277159
1656177,0.2792811,0.017760826,0.24046008,0.030413603
1722424,0.28613076,0.018005844,0.24508075,0.028403139
1788671,0.2866288,0.020555612,0.24123935,0.027859302
1854918,0.2958548,0.022399448,0.2421154,0.029290657
1921165,0.30038044,0.020972839,0.24557054,0.024334861
1987413,0.3044535,0.021679753,0.25601348,0.019565886
2053660,0.3075637,0.018875705,0.25341213,0.025519114
2119907,0.3093629,0.016428284,0.2537376,0.020338088
2186154,0.31364882,0.016697692,0.2543638,0.016725786
2252401,0.3196173,0.01690155,0.2525941,0.016293827
2318648,0.32543334,0.01646855,0.25100136,0.009277695
2384895,0.32944557,0.013559957,0.26156792,0.0065008006
2451142,0.3292788,0.01664794,0.26241112,0.007829615
2517389,0.33135092,0.0152742015,0.25917003,0.014077922
2583636,0.33966026,0.021246158,0.26025298,0.021593895
2649884,0.3410276,0.018224806,0.25856104,0.0312438
2716131,0.34570262,0.015729275,0.2573716,0.033490054
2782378,0.35313234,0.010648577,0.2593011,0.039311994
2848625,0.35548577,0.015092815,0.25503767,0.036584713
2914872,0.3610483,0.012526485,0.2535339,0.039373364
2981119,0.36383235,0.013515101,0.25484717,0.03750704
3047366,0.36856022,0.012782924,0.25736246,0.04223827
3113613,0.3738153,0.015511835,0.25795954,0.045691635
3179860,0.37810048,0.013511753,0.26149693,0.04271343
3246107,0.38195708,0.020557802,0.2640139,0.036334224
3312355,0.383428,0.02335047,0.26094583,0.037895948
3378602,0.388863,0.020488704,0.26051793,0.0325984
3444849,0.39164338,0.022139253,0.26013282,0.034301292
3511096,0.39514574,0.020367816,0.2611195,0.022208516
3577343,0.40063116,0.02103561,0.2623409,0.01744163
3643590,0.40956804,0.025945498,0.26910678,0.027326081
3709837,0.40994453,0.026618036,0.2708628,0.031250995
3776084,0.41450563,0.02773706,0.26744318,0.028945068
3842331,0.41661063,0.024841296,0.27103218,0.04462338
3908578,0.42283845,0.01899448,0.26692897,0.041159086
3974826,0.42866573,0.02487808,0.27223608,0.04762239
4041073,0.4343547,0.028659904,0.2753458,0.03525217
4107320,0.43247476,0.024159426,0.28014454,0.0324691
4173567,0.43256068,0.022663636,0.2781301,0.032246996
4239814,0.4364157,0.028453873,0.27731708,0.029924715
4306061,0.43544078,0.032658786,0.27225205,0.031044066
4372308,0.43878558,0.031223616,0.2706935,0.03415857
4438555,0.44657373,0.028680457,0.2619575,0.029278038
4504802,0.44713855,0.032651156,0.26742843,0.03782596
4571050,0.44753578,0.031233156,0.27168557,0.04191758
4637297,0.45267114,0.0279648,0.2741837,0.039290033
4703544,0.45218182,0.0329578,0.2777653,0.03576719
4769791,0.45840803,0.037582204,0.27832213,0.035427894
4836038,0.4620117,0.03846028,0.27982324,0.038389158
4902285,0.46292165,0.04208248,0.2778409,0.039206967
4968532,0.46651837,0.040890507,0.27772346,0.033466954
5034779,0.47019985,0.042902734,0.27995113,0.03344643
5101026,0.48151317,0.04490616,0.28028938,0.041953135
5167273,0.4855841,0.042222355,0.27492708,0.035287246
5233521,0.48780346,0.045473892,0.2807677,0.04333006
5299768,0.49068975,0.045237496,0.27702427,0.039363068
5366015,0.4899541,0.047065932,0.2789885,0.03554933
5432262,0.4920698,0.04829222,0.28275636,0.039910395
5498509,0.49186286,0.048797425,0.28081402,0.04242566
5564756,0.49878767,0.052317318,0.2833993,0.050154556
5631003,0.50324225,0.051970225,0.28405938,0.052428763
5697250,0.50269586,0.044168584,0.28565344,0.050759956
5763497,0.5066484,0.047988422,0.29608807,0.04841099
5829744,0.5089836,0.05533162,0.29947928,0.045585312
5895992,0.5149741,0.06037831,0.30286467,0.055959534
5962239,0.5165878,0.059867594,0.3025782,0.048664343
6028486,0.521929,0.058952775,0.3073204,0.045842294
6094733,0.522625,0.06374629,0.30458835,0.04688199
6160980,0.5243625,0.06845884,0.30512953,0.054014765
6227227,0.52770406,0.06235066,0.29928324,0.051835626
6293474,0.531267,0.07051829,0.3073549,0.054517176
6359721,0.5383625,0.07501885,0.3042861,0.05190976
6425968,0.53841513,0.073316865,0.30185747,0.048627272
6492215,0.54090697,0.07923327,0.2973384,0.04664036
6558463,0.54048294,0.07671046,0.30027124,0.051010076
6624710,0.535768,0.079793006,0.30657744,0.06524176
6690957,0.5466356,0.08266959,0.31025302,0.06583261
6757204,0.54586095,0.079247065,0.3202277,0.0705113
6823451,0.54560816,0.0802865,0.32553828,0.06605565
6889698,0.550714,0.08039404,0.32298446,0.072058536
6955945,0.55708706,0.078399375,0.330686,0.079010576
7022192,0.56104505,0.08751935,0.32928407,0.08395417
7088439,0.56327385,0.09224172,0.33568898,0.07879158
7154686,0.5701687,0.098504215,0.32878676,0.07687148
7220934,0.57248515,0.10878094,0.32657477,0.06869702
7287181,0.5747922,0.116153315,0.33025062,0.07106598
7353428,0.57542413,0.122594275,0.32955888,0.06546526
7419675,0.58588165,0.12273967,0.333603,0.08172497
7485922,0.5920713,0.12004313,0.33490935,0.08316596
7552169,0.5933086,0.12988801,0.34075177,0.09015658
7618416,0.5976444,0.12922946,0.3386766,0.08986171
7684663,0.59810215,0.13255517,0.3358089,0.08515486
7750910,0.6024031,0.1276851,0.3348947,0.08649646
7817157,0.60449606,0.12889288,0.3300719,0.08589608
7883405,0.60849094,0.1268592,0.33473137,0.08711073
7949652,0.6115307,0.12135269,0.33825824,0.0844694
8015899,0.61615545,0.122376755,0.33876577,0.08113544
8082146,0.62376213,0.12476974,0.3378892,0.09193853
8148393,0.62583035,0.12888977,0.3344336,0.0850228
8214640,0.63035846,0.13582529,0.32532358,0.08147418
8280887,0.6323226,0.13984323,0.33145788,0.08655033
8347134,0.6335347,0.13816835,0.32964543,0.088605784
8413381,0.63840353,0.14326964,0.3316809,0.087152176
8479629,0.6421187,0.1430109,0.3395128,0.08878264
8545876,0.6396846,0.14571795,0.33689484,0.08880694
8612123,0.645494,0.14222783,0.33587205,0.09145494
8678370,0.6525001,0.15198395,0.33595148,0.09560745
8744617,0.65336114,0.15759297,0.33668968,0.09814127
8810864,0.6576917,0.15847747,0.34068736,0.100389816
8877111,0.6600337,0.16082537,0.33928528,0.101583585
8943358,0.661697,0.15746325,0.34469008,0.101201385
9009605,0.66352725,0.16137783,0.34688774,0.10637227
9075852,0.67539674,0.16857032,0.35019898,0.113066256
9142100,0.6806349,0.17630972,0.3485124,0.10678529
9208347,0.68712693,0.18012391,0.35399452,0.10747148
9274594,0.68708086,0.18259797,0.35659504,0.11460332
9340841,0.68581724,0.18186425,0.3666022,0.12339748
9407088,0.67690223,0.17833793,0.365942,0.12553959
9473335,0.6804342,0.17687926,0.36334777,0.1265089
9539582,0.6792796,0.1853533,0.36101303,0.118865125
9605829,0.68001837,0.19250752,0.35724506,0.118831
9672076,0.68257207,0.18837708,0.35652053,0.11729705
9738323,0.69075936,0.20059195,0.36020184,0.1212479
9804571,0.69901675,0.19784336,0.35884833,0.11915063
9870818,0.7013373,0.19637932,0.3702968,0.117925994
9937065,0.7010924,0.19620766,0.36860046,0.11877356
10003312,0.7070944,0.19391635,0.37140706,0.11028986
10069559,0.7162738,0.18780075,0.37726638,0.11558036
10135806,0.72664636,0.19253883,0.38187304,0.116927445
10202053,0.72909284,0.19581941,0.3730191,0.11528097
10268300,0.72662807,0.19735253,0.38271716,0.12618965
10334547,0.732743,0.19567351,0.38611212,0.12549709
10400794,0.7324688,0.19127078,0.38583425,0.12396401
10467042,0.7418885,0.18775564,0.37925085,0.12544395
10533289,0.740033,0.18762846,0.3806591,0.124714844
10599536,0.74191856,0.19160812,0.3819265,0.12924685
10665783,0.7413934,0.19259548,0.3810672,0.13218611
10732030,0.7430318,0.18775088,0.3839605,0.1334502
10798277,0.74817306,0.19562101,0.38889778,0.1457556
10864524,0.7490224,0.19947504,0.38900802,0.13968155
10930771,0.7632313,0.19939741,0.3984405,0.14150192
10997018,0.7643526,0.20359105,0.39659646,0.14880839
11063265,0.7673618,0.21420571,0.3926035,0.1502037
11129513,0.769959,0.20529829,0.39234313,0.14300196
11195760,0.7675186,0.2032665,0.38810882,0.13619502
11262007,0.7703223,0.2019045,0.38496462,0.1295237
11328254,0.7745123,0.20220956,0.3888015,0.13586563
11394501,0.7727277,0.20673575,0.39225468,0.12812927
11460748,0.7741216,0.20594303,0.3920292,0.11582148
11526995,0.778265,0.20902413,0.39382625,0.12373454
11593242,0.78443855,0.21353655,0.40144363,0.1344665
11659489,0.79143906,0.22386293,0.3952993,0.1359417
11725736,0.7948508,0.23000036,0.39976934,0.14234075
11791984,0.80292124,0.23156592,0.39812577,0.14752516
11858231,0.8029625,0.23500139,0.3963132,0.1563525
11924478,0.8025551,0.24084465,0.39968184,0.1603553
11990725,0.8061884,0.24017861,0.39538035,0.16107328
12056972,0.8103474,0.23565762,0.40450898,0.15638794
12123219,0.8107571,0.23676969,0.4110581,0.1621503
12189466,0.8097925,0.24155684,0.40895227,0.16499811
12255713,0.8174799,0.23683235,0.40539038,0.15610284
12321960,0.82128745,0.23600939,0.40551803,0.15618096
12388208,0.82471424,0.23072943,0.41429952,0.14755964
12454455,0.8329095,0.23570284,0.4128696,0.14173634
12520702,0.8360631,0.23594691,0.41524926,0.14926335
12586949,0.8370123,0.24320142,0.41339102,0.1487085
12653196,0.8434221,0.24780783,0.4220519,0.15224437
12719443,0.8478577,0.242627,0.4215134,0.15449074
12785690,0.85729414,0.25456482,0.4230287,0.16411695
12851937,0.8602314,0.26428694,0.42272583,0.16221267
12918184,0.86976385,0.2689839,0.43145326,0.17154093
12984431,0.8765652,0.26637498,0.43430796,0.17488858
13050679,0.87146425,0.2694139,0.4275438,0.16750215
13116926,0.87254006,0.26700622,0.4194561,0.15881602
13183173,0.8718416,0.26445475,0.42451048,0.14497389
13249420,0.8765463,0.27183214,0.42205945,0.14530562
13315667,0.8774473,0.27080825,0.4238535,0.14864138
13381914,0.87714696,0.2753965,0.43680146,0.15918668
13448161,0.8804323,0.26988664,0.43145466,0.14932832
13514408,0.8843891,0.27753916,0.43464255,0.13966405
13580655,0.88583905,0.2729989,0.44484496,0.15330006
13646902,0.8975885,0.27869105,0.43469378,0.14986046
13713150,0.9007185,0.265364,0.42989108,0.15000603
13779397,0.89620215,0.2642714,0.42556867,0.14419171
13845644,0.8993597,0.27660266,0.41267845,0.14279988
13911891,0.9023127,0.28273302,0.4124106,0.15100124
13978138,0.91563696,0.28789315,0.4198362,0.16290475
14044385,0.9221844,0.29388306,0.43051925,0.1711091
14110632,0.91274375,0.2896425,0.427134,0.16356929
14176879,0.9203582,0.29902446,0.4347539,0.16271394
14243126,0.928878,0.29723325,0.43127856,0.16188693
14309373,0.9291013,0.3037169,0.42915067,0.15919258
14375621,0.93130225,0.31235588,0.43556896,0.1623621
14441868,0.93261653,0.3103052,0.43634537,0.15778132
14508115,0.9284659,0.31157443,0.43671083,0.15628912
14574362,0.93395275,0.3151441,0.4403731,0.14425068
14640609,0.9406685,0.31856132,0.44566908,0.15207778
14706856,0.93637943,0.3121137,0.4481022,0.15084144
14773103,0.93296367,0.30322447,0.45595863,0.15848158
14839350,0.9275563,0.30311266,0.4503628,0.15752998
14905597,0.92968947,0.2997138,0.45665982,0.1572632
14971844,0.9337206,0.30741256,0.45466053,0.15983894
15038092,0.9326818,0.3063197,0.44952783,0.15982491
15104339,0.93130255,0.30654305,0.4462417,0.16602407
15170586,0.9332833,0.30739248,0.43528417,0.15758555
15236833,0.9381773,0.3046907,0.4394224,0.1593639
15303080,0.9453595,0.30687526,0.45048022,0.16988173
15369327,0.9479347,0.3039993,0.44409883,0.17631212
15435574,0.9532523,0.31273577,0.44235563,0.18159993
15501821,0.949816,0.30993322,0.43812004,0.17071232
15568068,0.96072334,0.3119098,0.43430805,0.166903
15634315,0.96687317,0.3102037,0.42987725,0.15937786
15700563,0.96929693,0.31138116,0.43322286,0.1591098
15766810,0.9735895,0.31192803,0.43756723,0.15689468
15833057,0.9697861,0.30575475,0.43581048,0.15790296
15899304,0.9739186,0.30528364,0.43856278,0.15625297
15965551,0.97663784,0.31378847,0.43370652,0.15016773
