x,train_mean0,train_sd1,test_mean2,test_sd3
0,0.14,0.08569973,0.22666664,0.18583147
66247,0.14733334,0.09006911,0.22366667,0.16886778
132494,0.15537778,0.09331289,0.22129999,0.16406043
198741,0.1677289,0.09388922,0.23716998,0.15882903
264988,0.17051154,0.088652186,0.22511967,0.15061405
331235,0.17623818,0.09123115,0.23927437,0.15622087
397482,0.18194771,0.09056427,0.2480136,0.1363024
463729,0.19286402,0.0898187,0.24721223,0.1384054
529976,0.19791096,0.08418248,0.23515768,0.1280422
596223,0.20678653,0.0707041,0.24330859,0.1334471
662471,0.21410787,0.061986357,0.25231105,0.10897413
728718,0.23458599,0.065973125,0.25307992,0.11558402
794965,0.2501274,0.067312084,0.24443863,0.09825755
861212,0.27044797,0.058710963,0.25399473,0.103956185
927459,0.27118096,0.05655951,0.26392862,0.09396588
993706,0.28361842,0.058477573,0.2578691,0.10320081
1059953,0.28625658,0.060927678,0.27208218,0.0917766
1126200,0.3026309,0.072081506,0.30120727,0.07576784
1192447,0.32070115,0.061930165,0.30808654,0.059053693
1258694,0.32751992,0.06686828,0.32961127,0.03669958
1324942,0.3433235,0.06482477,0.3683168,0.033148076
1391189,0.36399117,0.06258013,0.37781844,0.058957078
1457436,0.37292537,0.048481405,0.38370326,0.059443135
1523683,0.3924106,0.037640743,0.3966663,0.08826252
1589930,0.40816954,0.044560455,0.39999962,0.079581685
1656177,0.41601923,0.03668431,0.4009997,0.06799184
1722424,0.41463956,0.035068575,0.4178997,0.06753967
1788671,0.42239782,0.03602085,0.43610975,0.07149693
1854918,0.41482472,0.039178606,0.44383207,0.09360104
1921165,0.4307867,0.04389947,0.4414489,0.098152205
1987413,0.43893024,0.028733078,0.455304,0.06843744
2053660,0.46803722,0.035737198,0.45344028,0.041431867
2119907,0.48156682,0.042512357,0.46642956,0.06528795
2186154,0.50941014,0.0445645,0.49345326,0.04787369
2252401,0.5075803,0.041456785,0.5117746,0.055611216
2318648,0.52826667,0.039973725,0.51793045,0.05991586
2384895,0.55666226,0.055732343,0.51313746,0.032871313
2451142,0.5684404,0.06086281,0.5068237,0.054076847
2517389,0.58104086,0.05444416,0.5044747,0.06598633
2583636,0.6007145,0.057636414,0.5230272,0.070939004
2649884,0.62030977,0.04799362,0.51739115,0.072318286
2716131,0.633501,0.047999095,0.5059853,0.058124576
2782378,0.6461509,0.066711366,0.5300535,0.061413717
2848625,0.6703136,0.083261505,0.5397148,0.056179594
2914872,0.68694884,0.068258606,0.54441,0.05068616
2981119,0.70369846,0.06538287,0.55096895,0.07399418
3047366,0.73999524,0.08116252,0.60720545,0.035289913
3113613,0.7491069,0.073097326,0.61315155,0.032437738
3179860,0.77541834,0.059597883,0.6231697,0.014526022
3246107,0.79165435,0.0744098,0.6248527,0.03799744
3312355,0.8257111,0.10166838,0.64503413,0.078870565
3378602,0.8462511,0.103343904,0.6675307,0.07085461
3444849,0.8651816,0.12714195,0.675111,0.065564275
3511096,0.8991079,0.14719895,0.6862666,0.07123282
3577343,0.93764156,0.16757733,0.7176399,0.06905673
3643590,0.95021075,0.17509046,0.73954254,0.12265189
3709837,0.98941183,0.20008501,0.7829216,0.14131302
3776084,1.0213596,0.23370694,0.77896285,0.14165236
3842331,1.0382236,0.24665172,0.82306653,0.1580533
3908578,1.0714012,0.2617005,0.8804266,0.23646086
3974826,1.0995945,0.25502682,0.91238385,0.25848868
4041073,1.1309683,0.2554685,0.9271455,0.24399988
4107320,1.1616493,0.28208417,0.9230976,0.25675163
4173567,1.1898177,0.30643776,0.93545455,0.2829829
4239814,1.2263914,0.32253802,0.97190905,0.27373707
4306061,1.2633079,0.35627457,1.0047182,0.30656877
4372308,1.3066438,0.36474878,1.0235796,0.33984208
4438555,1.3267572,0.3616209,1.0568883,0.3793735
4504802,1.356637,0.35429406,1.0478662,0.39410654
4571050,1.4047512,0.372125,1.1200795,0.4248636
4637297,1.442276,0.37854704,1.1540717,0.44986722
4703544,1.4984928,0.42393097,1.1749978,0.5159322
4769791,1.5481992,0.45269132,1.1931647,0.5291862
4836038,1.5846014,0.48556367,1.2108482,0.5355674
4902285,1.6132523,0.4996053,1.2750968,0.5912972
4968532,1.6429272,0.5127563,1.2935871,0.5957305
5034779,1.674079,0.5467561,1.327895,0.65107614
5101026,1.7281154,0.5613055,1.3624388,0.6855924
5167273,1.7691927,0.55767494,1.4121948,0.69241166
5233521,1.8266068,0.5818702,1.4329754,0.7123271
5299768,1.882835,0.6104787,1.4946779,0.7077754
5366015,1.9258848,0.6435516,1.5572101,0.7506182
5432262,1.9722964,0.6481514,1.6114889,0.7536615
5498509,2.0051777,0.66008097,1.621007,0.75043845
5564756,2.065771,0.69049627,1.6659063,0.7527967
5631003,2.103083,0.7209902,1.7003155,0.7783626
5697250,2.1486635,0.70463437,1.7496172,0.81585073
5763497,2.2206862,0.7409925,1.7683223,0.7755172
5829744,2.2738397,0.8012358,1.7678236,0.7565265
5895992,2.3185668,0.8154385,1.8033743,0.7534713
5962239,2.3670435,0.80731297,1.8523703,0.8138681
6028486,2.3833392,0.7895436,1.8871332,0.8396497
6094733,2.3960052,0.7931039,1.9174198,0.8559711
6160980,2.3976269,0.75410175,1.9350113,0.76996773
6227227,2.419642,0.7639054,1.9755102,0.8080895
6293474,2.4404557,0.77624196,1.9846258,0.8471876
6359721,2.520299,0.8220301,2.0251632,0.87143815
6425968,2.5767136,0.8279846,2.0753136,0.91075975
6492215,2.6244867,0.8318809,2.1537821,0.90433156
6558463,2.6584823,0.8151597,2.1380708,0.9218964
6624710,2.714412,0.81260175,2.132597,0.9233859
6690957,2.726304,0.82285523,2.2373374,1.0071822
6757204,2.7706738,0.8247767,2.241937,1.054895
6823451,2.7929394,0.8236048,2.3220766,1.0952712
6889698,2.8195345,0.83335453,2.400202,1.1175631
6955945,2.8519144,0.86307347,2.4115152,1.1151232
