x,train_mean0,train_sd1,test_mean2,test_sd3
0,2.047778,0.6180285,1.81,0.6582553
66247,2.0677779,0.5997438,1.8243333,0.6181556
132494,2.0802221,0.55315626,1.8315668,0.52934265
198741,2.1114223,0.50153875,1.87041,0.49776718
264988,2.14128,0.45174047,1.9100357,0.55197597
331235,2.1603742,0.41769406,1.9523655,0.51251006
397482,2.1734478,0.39360303,1.9914622,0.4504943
463729,2.185881,0.3455638,2.0376494,0.45525616
529976,2.194626,0.32727107,2.0372179,0.42972538
596223,2.230941,0.28912923,2.0578291,0.36682317
662471,2.2801805,0.27285483,2.068713,0.350104
728718,2.287718,0.2507177,2.0518417,0.3075394
794965,2.3056128,0.22771275,2.0899909,0.23179953
861212,2.3259406,0.20642173,2.098325,0.2331168
927459,2.3621242,0.17165889,2.095826,0.2151295
993706,2.4076893,0.192183,2.0915768,0.20019941
1059953,2.4326982,0.19935088,2.1167524,0.14258514
1126200,2.4522064,0.18655594,2.1137438,0.12934586
1192447,2.4694302,0.1737456,2.1277027,0.17184724
1258694,2.472154,0.15245426,2.1345992,0.1832141
1324942,2.4427161,0.1250404,2.1631393,0.16880643
1391189,2.4314444,0.11041645,2.1531584,0.1994488
1457436,2.4404113,0.09519667,2.1385095,0.22446632
1523683,2.460259,0.11816425,2.112992,0.23120841
1589930,2.4725664,0.16240236,2.1003594,0.2837312
1656177,2.48431,0.19391753,2.1356566,0.33633363
1722424,2.4813232,0.19353199,2.1494243,0.33886635
1788671,2.4728575,0.19521795,2.1408155,0.31528103
1854918,2.465683,0.18969029,2.1774004,0.29303986
1921165,2.4637814,0.18423934,2.2279937,0.20662233
1987413,2.4782922,0.16390666,2.2468607,0.12597322
2053660,2.4803517,0.12947783,2.2661748,0.12305377
2119907,2.4663165,0.10705717,2.2538908,0.10661867
2186154,2.4601295,0.11474926,2.2161684,0.11303085
2252401,2.4655607,0.09628754,2.1588848,0.15168975
2318648,2.455116,0.083354026,2.139663,0.15072934
2384895,2.422382,0.0750113,2.1776965,0.1361754
2451142,2.3915884,0.04744435,2.1882603,0.16106005
2517389,2.4180963,0.040964864,2.190101,0.19928
2583636,2.4431753,0.054405082,2.2430909,0.19809793
2649884,2.442969,0.088206775,2.2831151,0.19726682
2716131,2.4468944,0.092264235,2.2658036,0.18188387
2782378,2.4470937,0.08275822,2.2455566,0.15070668
2848625,2.4516068,0.08103814,2.2483342,0.106905766
2914872,2.4726682,0.07057578,2.2861674,0.114062235
2981119,2.4890683,0.033851177,2.2835505,0.1187393
3047366,2.500828,0.03390512,2.270529,0.113179155
3113613,2.530634,0.04645677,2.2544763,0.055368736
3179860,2.5513484,0.048024222,2.2443619,0.017051777
3246107,2.5622137,0.02817126,2.2419255,0.069892794
3312355,2.589881,0.006823284,2.2554,0.13409652
3378602,2.6014483,0.015241427,2.2805264,0.19850622
3444849,2.588637,0.036892854,2.2598073,0.20562868
3511096,2.5786622,0.04129915,2.2168264,0.15115629
3577343,2.5820181,0.03924939,2.231477,0.084397845
3643590,2.5912607,0.059695628,2.2599962,0.08872383
3709837,2.6101348,0.075555906,2.273663,0.089354195
3776084,2.6142323,0.07916367,2.2649634,0.09448743
3842331,2.614476,0.049664944,2.247134,0.101029426
3908578,2.6288059,0.042744365,2.2487538,0.11121147
3974826,2.6377032,0.032031037,2.201212,0.102311164
4041073,2.6463773,0.026922306,2.2094238,0.08376311
4107320,2.6717396,0.057029672,2.2518148,0.11406598
4173567,2.686899,0.08842393,2.2556334,0.13109462
4239814,2.7203205,0.12728769,2.2467365,0.116471216
4306061,2.7373993,0.12118081,2.2437296,0.07831949
4372308,2.738437,0.1088165,2.26069,0.01819037
4438555,2.7625933,0.098779306,2.3109543,0.058745455
4504802,2.7870007,0.12367988,2.3375256,0.09018175
4571050,2.8123004,0.1536685,2.34844,0.029533502
4637297,2.8327372,0.16394354,2.369929,0.08069073
4703544,2.8013523,0.14555337,2.3989363,0.10392884
4769791,2.788106,0.1312284,2.4160426,0.06195879
4836038,2.7725174,0.13102391,2.4327717,0.035757106
4902285,2.782377,0.14347258,2.4514945,0.06513592
4968532,2.7973616,0.1525097,2.4370115,0.13256288
5034779,2.8124034,0.17112164,2.4263105,0.14565778
5101026,2.8009408,0.16014665,2.3956795,0.12965025
5167273,2.801513,0.15317869,2.3854449,0.09923982
5233521,2.8225842,0.13668376,2.3859003,0.056530833
5299768,2.829548,0.13660961,2.376644,0.062221855
5366015,2.835593,0.11116043,2.3693125,0.105942644
5432262,2.8271449,0.07471699,2.3907146,0.10442299
5498509,2.815097,0.06256638,2.44431,0.101202145
5564756,2.7961428,0.055459853,2.4718788,0.11185583
5631003,2.7903063,0.036759004,2.4850242,0.10637
5697250,2.7911646,0.044019096,2.4848554,0.12322014
5763497,2.8139372,0.057983827,2.4550364,0.13599382
5829744,2.8485432,0.07412208,2.4598658,0.14397874
5895992,2.8580225,0.0838472,2.4475462,0.17086355
5962239,2.8536644,0.102312595,2.4264581,0.1953273
6028486,2.8829648,0.068875946,2.4321456,0.17742686
6094733,2.9145572,0.05001118,2.4529312,0.17554699
6160980,2.9401016,0.036115292,2.4369714,0.16665658
6227227,2.9165356,0.04148507,2.3926075,0.17773846
6293474,2.9173267,0.081750624,2.37268,0.13913931
6359721,2.9130383,0.09865677,2.372412,0.100007154
6425968,2.89629,0.10732682,2.3348377,0.09657374
6492215,2.91455,0.10277383,2.3160205,0.072517686
6558463,2.938984,0.07316468,2.321085,0.064466275
6624710,2.94153,0.063724585,2.3206432,0.05650413
6690957,2.948377,0.066245474,2.371579,0.080396704
6757204,2.9606504,0.070341475,2.4140875,0.07780828
6823451,2.9411411,0.067525655,2.420679,0.06549659
6889698,2.9368048,0.020021139,2.4199445,0.05201282
6955945,2.9642353,0.04291274,2.4606166,0.033958383
7022192,2.9852562,0.026655208,2.5092216,0.04762923
7088439,2.9913971,0.04243134,2.530966,0.056666773
7154686,3.0073688,0.047305774,2.522536,0.048686143
7220934,3.0094097,0.017896991,2.5026157,0.017632848
7287181,3.0195796,0.056363106,2.4823544,0.07986224
7353428,3.0152884,0.069088325,2.4587855,0.09424421
7419675,3.008315,0.07057385,2.4789069,0.04191711
7485922,3.0193722,0.038896617,2.4730163,0.029176777
7552169,3.0075464,0.062472336,2.496048,0.05101429
7618416,2.9967918,0.101705894,2.5181098,0.026935922
7684663,3.0102236,0.10388065,2.530299,0.025088826
7750910,3.0180902,0.07803423,2.5132687,0.017957369
7817157,3.0069478,0.07258237,2.4886086,0.04941997
7883405,3.0054753,0.056716595,2.4517477,0.061058566
7949652,3.01715,0.08340661,2.454573,0.07811073
8015899,3.0176573,0.11374277,2.4871159,0.08220401
8082146,3.0037804,0.11486725,2.5007374,0.07050996
8148393,3.0086243,0.08695983,2.4766636,0.0719585
8214640,3.0084286,0.06517167,2.4386642,0.08250611
8280887,3.0086968,0.06375678,2.464131,0.0940031
8347134,3.0232716,0.09630388,2.5007179,0.06035788
8413381,3.0188332,0.10651935,2.4863126,0.045216557
8479629,3.0209503,0.09148166,2.4753482,0.09409243
8545876,3.0461884,0.13043664,2.4421465,0.08526906
8612123,3.0555696,0.13986212,2.4022653,0.036600024
8678370,3.057124,0.104410574,2.403372,0.033396646
8744617,3.0529668,0.102284394,2.4203682,0.054867785
8810864,3.051337,0.08387582,2.414665,0.13570166
8877111,3.0568702,0.06941396,2.4235315,0.09146139
8943358,3.0458496,0.07318477,2.423845,0.06822824
9009605,3.0297089,0.08000397,2.3651273,0.052319214
9075852,3.0248492,0.061075356,2.421281,0.032560926
9142100,3.0141423,0.0622271,2.4604864,0.07627512
9208347,3.0442836,0.058812696,2.473771,0.045246415
9274594,3.0505219,0.0550996,2.457394,0.072246715
9340841,3.0678031,0.060037494,2.4469879,0.13569857
9407088,3.0874672,0.059417434,2.4316225,0.16367918
9473335,3.0769427,0.048767276,2.4077935,0.119750164
9539582,3.071915,0.055145845,2.4060142,0.07692009
9605829,3.0628347,0.06679686,2.4397461,0.042237192
9672076,3.0607736,0.05049375,2.4594383,0.059031222
9738323,3.0744736,0.0654021,2.4494944,0.047651872
9804571,3.0650263,0.09296279,2.4248784,0.029021448
9870818,3.065746,0.08983433,2.4327238,0.02855245
9937065,3.0746157,0.05169348,2.457785,0.061831273
10003312,3.061821,0.0135541465,2.4103396,0.085995
10069559,3.0724165,0.024448577,2.368639,0.13558076
10135806,3.075175,0.008278648,2.3714416,0.09626197
10202053,3.0679905,0.0077499617,2.403631,0.14234914
10268300,3.0675251,0.045120183,2.381601,0.2021017
10334547,3.077328,0.07344951,2.3817744,0.21282633
10400794,3.068373,0.03989198,2.4032638,0.22172225
10467042,3.0643137,0.04061556,2.4266038,0.24258253
10533289,3.0771046,0.039860334,2.4279435,0.17447671
10599536,3.0837271,0.049134873,2.4288158,0.15013388
10665783,3.0741322,0.041186143,2.4352674,0.11954537
10732030,3.0763857,0.05917702,2.449074,0.060362015
10798277,3.092636,0.045145802,2.4468334,0.056114227
10864524,3.1074836,0.0062047592,2.44715,0.049830403
10930771,3.0949574,0.029825777,2.424435,0.07839711
10997018,3.0843506,0.051687744,2.4163249,0.04462679
11063265,3.0889156,0.059452754,2.439359,0.045157786
11129513,3.088135,0.045529123,2.4154232,0.07247232
11195760,3.104988,0.025810247,2.441881,0.09360338
11262007,3.111045,0.028668609,2.437026,0.08605647
11328254,3.117385,0.046288095,2.40299,0.09321264
11394501,3.132313,0.04248969,2.3930244,0.08321374
11460748,3.128526,0.012062561,2.4060552,0.09112231
11526995,3.1237848,0.03671417,2.44645,0.100069545
11593242,3.1180727,0.077078186,2.4494715,0.087256454
11659489,3.09571,0.10032643,2.4635246,0.12688446
11725736,3.07625,0.085631914,2.4935052,0.13044333
11791984,3.0799587,0.09883139,2.4951546,0.09621319
11858231,3.0834072,0.12651338,2.472306,0.09733185
11924478,3.0651777,0.15162215,2.4530752,0.09443782
11990725,3.0603266,0.17119803,2.473101,0.103687294
12056972,3.0668495,0.16581647,2.459791,0.06356392
12123219,3.0690534,0.15767883,2.4481452,0.073493145
12189466,3.0749257,0.14552756,2.457664,0.07761755
12255713,3.1007664,0.111858726,2.4788978,0.071130686
12321960,3.1223564,0.08928297,2.4516745,0.069392316
12388208,3.1233432,0.05546002,2.4185069,0.05409978
12454455,3.1326754,0.09213022,2.440323,0.0908826
12520702,3.1130745,0.098387145,2.4716241,0.11680673
12586949,3.0992115,0.10499194,2.4974616,0.13447161
12653196,3.0907347,0.10951241,2.4797156,0.1767193
12719443,3.083439,0.13474739,2.4674106,0.18188022
12785690,3.0824287,0.11824493,2.4443362,0.16100991
12851937,3.1081858,0.10373787,2.4589026,0.16352187
12918184,3.1272562,0.12683076,2.478679,0.1583721
12984431,3.1277525,0.13816725,2.4768112,0.10021378
13050679,3.0951996,0.12942488,2.4494631,0.07645765
13116926,3.0690129,0.13703132,2.422517,0.10899476
13183173,3.046445,0.15285993,2.4162652,0.12738258
13249420,3.0323563,0.13341714,2.3923054,0.110285565
13315667,3.0493424,0.10328107,2.381075,0.114319235
13381914,3.062297,0.07454689,2.3809674,0.07437872
13448161,3.0397341,0.058054224,2.3955374,0.091751836
13514408,3.029094,0.08871743,2.3979836,0.14976895
13580655,3.0080738,0.10262363,2.4055185,0.13999233
13646902,2.9982662,0.09294331,2.4256334,0.13065211
13713150,3.0095508,0.080666244,2.4407368,0.13340956
13779397,3.0192623,0.08907432,2.482663,0.1515061
13845644,3.016114,0.09958902,2.4750636,0.17726864
13911891,3.0316136,0.11118788,2.4198904,0.15790094
13978138,3.0635633,0.14296211,2.3722346,0.17021385
14044385,3.0713184,0.14813352,2.3630114,0.19141409
14110632,3.0822973,0.13322861,2.3900435,0.20118164
14176879,3.0826232,0.13929011,2.3677056,0.2558792
14243126,3.0895832,0.10293286,2.3469353,0.23921417
14309373,3.1011803,0.11415664,2.349242,0.18783642
