x,train_mean0,train_sd1,test_mean2,test_sd3
0,0.6868,0.020538548,0.6638666,0.026750218
66247,0.6859022,0.01877256,0.6644133,0.025916204
132494,0.684872,0.01834481,0.6661853,0.024260696
198741,0.6848559,0.017296808,0.66960675,0.023734324
264988,0.68420583,0.016507495,0.6691261,0.020146417
331235,0.6844652,0.013571597,0.6680668,0.019072201
397482,0.6870098,0.010132139,0.67158014,0.013941651
463729,0.68895334,0.010793119,0.6758755,0.01244146
529976,0.69176024,0.010039436,0.6812746,0.0026657635
596223,0.69413525,0.010278108,0.6835737,0.0027430563
662471,0.7008062,0.011412052,0.69022965,0.0017894765
728718,0.70557445,0.008172721,0.6965801,0.003804353
794965,0.71375483,0.0075586834,0.7049887,0.0056888647
861212,0.72131705,0.002998467,0.71943647,0.008806138
927459,0.7305276,0.007680758,0.7237062,0.011895467
993706,0.7384703,0.0143757295,0.73388225,0.02007305
1059953,0.7476411,0.019279974,0.74254733,0.028168105
1126200,0.75829476,0.022770625,0.7490526,0.03308417
1192447,0.77257633,0.029506158,0.7612806,0.035673745
1258694,0.78374535,0.03344127,0.77119255,0.039602757
1324942,0.795762,0.03907,0.7831933,0.04232344
1391189,0.8051324,0.043898683,0.79350066,0.0398059
1457436,0.81476134,0.046535075,0.80516386,0.040184863
1523683,0.8236541,0.045274537,0.8132608,0.039654773
1589930,0.83217764,0.044483747,0.8248947,0.037644513
1656177,0.8410487,0.04321585,0.83128524,0.037486307
1722424,0.8499038,0.044978987,0.83383673,0.029714797
1788671,0.8577934,0.044398364,0.8399597,0.025024483
1854918,0.8673963,0.042074904,0.8494704,0.02959497
1921165,0.87650555,0.03912565,0.8547233,0.023335075
1987413,0.88407713,0.03890145,0.86578435,0.026482634
2053660,0.8909139,0.038904697,0.8738058,0.019937804
2119907,0.9013869,0.0377337,0.88374525,0.015932484
2186154,0.9090615,0.03919607,0.8885841,0.0153608285
2252401,0.9183643,0.03815368,0.89033896,0.02214621
2318648,0.92627454,0.041715816,0.895865,0.018791933
2384895,0.93281597,0.039581593,0.89962524,0.026163075
2451142,0.9405654,0.04080082,0.9012494,0.022019882
2517389,0.94620657,0.04246394,0.90521765,0.02072012
2583636,0.9501682,0.0400622,0.9146559,0.014540593
2649884,0.9565513,0.03568433,0.92397696,0.013755804
2716131,0.9618562,0.040297538,0.9273793,0.021847248
2782378,0.9675372,0.040744927,0.93682796,0.018288378
2848625,0.9763479,0.042110298,0.9407985,0.021240896
2914872,0.980562,0.04510006,0.945932,0.026606258
2981119,0.9844925,0.04482638,0.9481921,0.027065966
3047366,0.99054986,0.044354677,0.95231956,0.03386855
3113613,0.9939659,0.047917888,0.95787424,0.03547014
3179860,1.0028272,0.04438504,0.96542007,0.039875723
3246107,1.0065578,0.04725205,0.9766914,0.043692064
3312355,1.0152042,0.045851126,0.9784889,0.045631953
3378602,1.0248748,0.047716662,0.9822001,0.045955952
3444849,1.0301296,0.051123146,0.98855335,0.035002675
3511096,1.0413699,0.056971874,0.9934047,0.037114993
3577343,1.047504,0.06118132,1.0021843,0.042658255
3643590,1.0575403,0.06649194,1.0063924,0.040337335
3709837,1.0662307,0.0766213,1.0123664,0.042231638
3776084,1.0757675,0.08542103,1.0203565,0.053184282
3842331,1.0820485,0.090358965,1.0249342,0.05327943
3908578,1.0910258,0.09446038,1.036894,0.05771206
3974826,1.101221,0.100156896,1.0469912,0.06811876
4041073,1.1104633,0.10802714,1.0497988,0.078764334
4107320,1.1195192,0.11649323,1.0550056,0.08077178
4173567,1.1329184,0.12016317,1.0593716,0.08247749
4239814,1.1405466,0.12862074,1.069861,0.08876672
4306061,1.1482162,0.13363677,1.0744749,0.09487716
4372308,1.1562701,0.14049314,1.0834274,0.09498251
4438555,1.1663677,0.14468329,1.0897247,0.106029704
4504802,1.1736418,0.15047432,1.0984988,0.112338856
4571050,1.1791444,0.15380375,1.1131688,0.11770103
4637297,1.1864699,0.16221598,1.1179186,0.11781772
4703544,1.197934,0.16949205,1.1177934,0.13017905
4769791,1.2076472,0.1723358,1.1213608,0.13893099
4836038,1.210718,0.17119108,1.1206913,0.14084412
4902285,1.2179307,0.1772227,1.1259421,0.1444889
4968532,1.2233554,0.17894225,1.1293346,0.14881967
5034779,1.2253665,0.17597274,1.1310943,0.15010963
5101026,1.2301809,0.18236648,1.1374116,0.15942429
5167273,1.2370516,0.18008205,1.1430705,0.15952595
5233521,1.2464175,0.18544433,1.15703,0.16889895
5299768,1.253838,0.19143546,1.1621137,0.17208943
5366015,1.263623,0.19289805,1.1664222,0.17299299
5432262,1.2723051,0.19003384,1.1635667,0.17355356
5498509,1.2758123,0.19284217,1.1642634,0.18431187
5564756,1.2819155,0.19269378,1.1728503,0.18264455
5631003,1.2913151,0.19322768,1.1857119,0.19375668
5697250,1.2994546,0.2007181,1.1883141,0.19993286
5763497,1.3070513,0.20975693,1.1991092,0.21414211
5829744,1.3194395,0.21619791,1.2021316,0.22796158
5895992,1.3287,0.22072823,1.2082251,0.23256771
5962239,1.3348255,0.22561994,1.2162559,0.24429159
6028486,1.3398806,0.2320071,1.221817,0.23558679
6094733,1.3430926,0.2376433,1.2233418,0.23338138
6160980,1.3477788,0.24261637,1.2247009,0.23579915
6227227,1.350823,0.24056791,1.2264042,0.24145672
6293474,1.3587185,0.24251801,1.2276438,0.24633996
6359721,1.36162,0.2499931,1.2298127,0.24938175
6425968,1.363578,0.24669534,1.2278581,0.245295
6492215,1.370389,0.23922269,1.233899,0.24250028
6558463,1.3752656,0.24251041,1.2313623,0.25120136
6624710,1.3817791,0.2452792,1.2434126,0.26039553
6690957,1.3860677,0.24835908,1.2464447,0.2579077
6757204,1.393621,0.25264585,1.2569069,0.26216713
6823451,1.4025922,0.25582626,1.2629496,0.26384804
6889698,1.4091374,0.25835666,1.2658945,0.26742515
6955945,1.4148903,0.2643347,1.2679983,0.27388278
7022192,1.42017,0.2632234,1.2685851,0.27363926
7088439,1.4241219,0.27222383,1.2673665,0.2757647
7154686,1.4321985,0.2720259,1.2765899,0.28132406
7220934,1.4363519,0.27997258,1.2742108,0.28347677
7287181,1.4412946,0.2796957,1.2769765,0.28614745
7353428,1.4464539,0.2836617,1.2856255,0.3001068
7419675,1.458635,0.29188737,1.2849962,0.29974273
7485922,1.466456,0.29208294,1.2902565,0.29992688
7552169,1.4678105,0.29332733,1.2884308,0.29648608
7618416,1.4733492,0.29428583,1.289281,0.29812333
7684663,1.473241,0.29362634,1.3006463,0.30582032
7750910,1.4764947,0.2977331,1.3056349,0.30256686
7817157,1.4845072,0.2983376,1.2999914,0.29485565
7883405,1.4911766,0.29958215,1.303419,0.30079785
7949652,1.48969,0.30206898,1.3042237,0.30090907
8015899,1.4909077,0.29769674,1.3088012,0.30511224
8082146,1.4925946,0.30108348,1.3110944,0.30124506
8148393,1.4953928,0.3032349,1.3172516,0.29807
8214640,1.4979647,0.30578265,1.3224597,0.30567414
8280887,1.502737,0.3081589,1.3228137,0.31817248
8347134,1.5063521,0.30654675,1.3211056,0.31861904
8413381,1.5105346,0.30465487,1.323475,0.31026906
8479629,1.5158234,0.3094591,1.3348875,0.31415424
8545876,1.5201387,0.30930388,1.340572,0.32219896
8612123,1.5288315,0.31796485,1.3444881,0.3261468
8678370,1.5320239,0.31981418,1.3544526,0.32766882
8744617,1.5367993,0.31505647,1.3668872,0.33264083
8810864,1.5471102,0.3217728,1.3743452,0.33769014
8877111,1.5578793,0.33105546,1.3844305,0.34440663
8943358,1.560389,0.32673973,1.3815743,0.3444486
9009605,1.5633678,0.31776226,1.3818835,0.34633955
9075852,1.5682621,0.313868,1.3862151,0.34702227
9142100,1.5708847,0.3135677,1.3929001,0.34917435
9208347,1.5772806,0.3083768,1.40229,0.34798008
9274594,1.5889038,0.30461982,1.4077277,0.34216142
9340841,1.5997599,0.30385494,1.4143015,0.34335142
9407088,1.6063572,0.30174574,1.4188713,0.34225687
9473335,1.6137792,0.30667582,1.421971,0.3434696
9539582,1.6205345,0.30763644,1.4192804,0.3408027
9605829,1.6272678,0.31029156,1.4264055,0.34073147
9672076,1.6315187,0.30750185,1.4345517,0.34161112
9738323,1.6406112,0.3039954,1.4422698,0.33580205
9804571,1.6482567,0.30047956,1.4490428,0.34049693
9870818,1.6502799,0.2991037,1.4634317,0.34379175
9937065,1.6554474,0.2928737,1.471262,0.35338917
10003312,1.6567826,0.29277033,1.470589,0.34215313
10069559,1.6609087,0.295899,1.4793968,0.34120178
10135806,1.6664222,0.30391234,1.4849371,0.3466338
10202053,1.6709443,0.29793653,1.4887499,0.34832212
10268300,1.6792321,0.3018162,1.4976082,0.34939852
10334547,1.6879133,0.29871315,1.4949274,0.3498843
10400794,1.6923975,0.29771015,1.5003012,0.34501058
10467042,1.6997222,0.30062342,1.5033377,0.3467232
10533289,1.7008432,0.29596,1.5084572,0.3485739
10599536,1.7031988,0.29539537,1.5091581,0.34901997
10665783,1.709541,0.2958424,1.5161489,0.34321484
10732030,1.7155558,0.29354653,1.5142139,0.33533475
10798277,1.718778,0.2927417,1.5200192,0.32852718
10864524,1.7259802,0.28886095,1.5223373,0.32254386
10930771,1.7356887,0.28534362,1.5247701,0.32635
10997018,1.7435998,0.2887282,1.534133,0.32332602
11063265,1.7468352,0.28702334,1.5427731,0.3240134
11129513,1.7576761,0.2905336,1.549829,0.33356932
11195760,1.7694684,0.28730842,1.5548595,0.3351168
11262007,1.7795659,0.2897956,1.5583735,0.32697982
11328254,1.789547,0.28729272,1.5722827,0.32291293
11394501,1.7947168,0.28348666,1.5771478,0.32613993
11460748,1.7955207,0.2802834,1.5921396,0.3189271
11526995,1.7983462,0.2760954,1.5970322,0.32157657
11593242,1.8003383,0.27691242,1.605729,0.31846127
11659489,1.8064599,0.28164965,1.6104093,0.31247702
11725736,1.8157872,0.2873421,1.6108884,0.30976918
11791984,1.823835,0.28735986,1.6161194,0.31461325
11858231,1.8322959,0.29055393,1.622014,0.31909853
11924478,1.8365151,0.29114485,1.6230125,0.31512317
11990725,1.8421702,0.29784924,1.6180712,0.3183021
12056972,1.8455309,0.29753515,1.6197442,0.31876063
12123219,1.8522178,0.30043802,1.6243297,0.3199531
12189466,1.8582093,0.300595,1.6218433,0.31726617
12255713,1.8576816,0.29363587,1.6273656,0.31898746
12321960,1.8599089,0.29168403,1.6318823,0.3183045
12388208,1.8645668,0.29101828,1.6279874,0.329324
12454455,1.8628789,0.28706324,1.6286553,0.33484793
12520702,1.8670355,0.28594372,1.6374563,0.3324353
12586949,1.870972,0.27923268,1.638404,0.33699203
12653196,1.8704745,0.27356347,1.6433502,0.34300894
12719443,1.8722492,0.27640805,1.6492151,0.33610427
12785690,1.871611,0.277376,1.665707,0.34172755
12851937,1.8752588,0.2879367,1.6759361,0.34297267
12918184,1.8791684,0.2865565,1.6842624,0.34307185
12984431,1.8805403,0.2918052,1.690996,0.34528452
13050679,1.8904462,0.30069986,1.6910299,0.34160244
13116926,1.8912683,0.30709085,1.7006334,0.3590673
13183173,1.8918657,0.31336457,1.7025566,0.36089778
13249420,1.8977503,0.3186764,1.7052742,0.36937293
13315667,1.9052773,0.321621,1.7117201,0.38197285
13381914,1.9078383,0.3270527,1.7106681,0.3798821
13448161,1.9101924,0.33082405,1.7031746,0.37516013
13514408,1.913324,0.3325505,1.7006702,0.3795882
13580655,1.9201471,0.33710304,1.7151499,0.38330728
13646902,1.9226123,0.33847028,1.7241815,0.3919217
13713150,1.9286265,0.34554863,1.7273232,0.39491877
13779397,1.9301816,0.34982297,1.7230974,0.39098415
13845644,1.9318434,0.35497218,1.7280945,0.40207744
13911891,1.9363436,0.35352683,1.7289382,0.4067821
13978138,1.9394022,0.3587102,1.7314978,0.39611763
14044385,1.9447421,0.36072513,1.7358012,0.39299357
14110632,1.9458632,0.3563924,1.734621,0.3804299
14176879,1.9453835,0.35601056,1.7337055,0.3921446
14243126,1.9502052,0.3483528,1.7360549,0.38967523
14309373,1.955709,0.3426256,1.7391428,0.3830977
14375621,1.9574047,0.34267643,1.7455083,0.38436866
14441868,1.9623662,0.34359956,1.7457842,0.38545853
14508115,1.9687786,0.34325835,1.7486857,0.38298973
14574362,1.9767584,0.3461617,1.7567238,0.3880988
14640609,1.9773713,0.33990645,1.7629046,0.3862636
14706856,1.9881009,0.33067328,1.769054,0.38350573
14773103,1.9942595,0.33172786,1.7757486,0.3877288
14839350,1.9989668,0.33023474,1.7812935,0.38482633
14905597,2.0017989,0.33026695,1.7778443,0.37346244
14971844,2.0092323,0.32477725,1.7881263,0.3839664
15038092,2.0192378,0.3290513,1.7905537,0.38766864
15104339,2.0215986,0.32699615,1.7915382,0.38377395
15170586,2.0194519,0.3233577,1.7898244,0.36925104
15236833,2.026431,0.32232618,1.7951084,0.3709594
15303080,2.0300279,0.31719595,1.8024775,0.36774403
15369327,2.0334473,0.32148084,1.8111497,0.3775492
15435574,2.0392,0.3228456,1.8145413,0.37871367
15501821,2.0410802,0.3231217,1.8186206,0.38066104
15568068,2.0449765,0.31853935,1.8078117,0.37414193
15634315,2.0462964,0.31228957,1.807417,0.37053052
15700563,2.0531647,0.31206137,1.8116488,0.36858764
15766810,2.0527146,0.3127797,1.8106971,0.36518818
15833057,2.0597675,0.31188434,1.814734,0.35401854
15899304,2.0624886,0.30874234,1.8117938,0.35841784
15965551,2.0705907,0.30617416,1.8232545,0.36263973
16031798,2.0775006,0.30939588,1.8241423,0.36269525
16098045,2.0764437,0.31291562,1.8273281,0.36919698
16164292,2.081586,0.31510654,1.8279018,0.36851794
16230539,2.0842183,0.31520218,1.843285,0.37108862
16296787,2.0867252,0.31729472,1.8495163,0.37075302
16363034,2.0933015,0.31907022,1.856018,0.35829672
16429281,2.0984247,0.31843328,1.8612427,0.358186
16495528,2.10232,0.3217267,1.865385,0.3561675
16561775,2.106119,0.32200179,1.8644062,0.3594059
16628022,2.1123424,0.32337555,1.8596592,0.36281058
16694269,2.122757,0.3247835,1.8660531,0.35883987
16760516,2.126468,0.31839305,1.8664345,0.36278766
16826763,2.131972,0.31505466,1.8655909,0.36755088
16893010,2.1361039,0.31234202,1.8692185,0.37068576
16959258,2.1398442,0.31454453,1.8699497,0.3590043
17025505,2.1457264,0.31466037,1.8756348,0.35746074
17091752,2.1494205,0.31885543,1.8900312,0.36371192
17157999,2.1556385,0.31819943,1.895228,0.36134848
17224246,2.157941,0.31351447,1.9094652,0.3631604
17290493,2.1675959,0.31554326,1.9149052,0.35843772
17356740,2.1647472,0.3201736,1.9175345,0.35703814
17422987,2.1660411,0.31966224,1.9083277,0.3472153
17489234,2.1665392,0.3197285,1.9011616,0.34773135
17555481,2.166112,0.3264896,1.8969785,0.34303132
17621729,2.1694071,0.32773322,1.8998941,0.34334707
17687976,2.1700575,0.32487044,1.8978513,0.349047
17754223,2.1764917,0.3220601,1.9092393,0.33965427
17820470,2.177047,0.3216569,1.9140754,0.35366455
17886717,2.1791465,0.32242376,1.9132544,0.3499316
17952964,2.1822808,0.3278444,1.910329,0.34900057
18019211,2.1774259,0.32965088,1.9004825,0.34332332
18085458,2.18291,0.32878488,1.8946877,0.3474046
18151705,2.1819077,0.32831675,1.8933921,0.3515113
