x,train_mean0,train_sd1,test_mean2,test_sd3
0,1.2066667,0.008819163,1.36,0.3078961
66247,1.208889,0.023114027,1.3656667,0.30714384
132494,1.2224444,0.02562129,1.3717667,0.28176478
198741,1.253089,0.015495858,1.3752567,0.22121893
264988,1.2804466,0.008053115,1.3670644,0.19814146
331235,1.2878464,0.010948076,1.3613578,0.19713889
397482,1.2958395,0.009439683,1.3548888,0.19876647
463729,1.2847,0.029831246,1.3680667,0.19794214
529976,1.2632301,0.042774055,1.37426,0.19951686
596223,1.2485738,0.06323725,1.3535005,0.18494356
662471,1.256272,0.060869362,1.3461505,0.16324048
728718,1.2737559,0.04881837,1.3278688,0.15488282
794965,1.2989358,0.066945635,1.3160819,0.11639792
861212,1.32082,0.10127352,1.3061404,0.09882559
927459,1.3350712,0.13465306,1.2915263,0.11209461
993706,1.3346753,0.13718836,1.3153737,0.13221866
1059953,1.3475412,0.14246906,1.3311696,0.1190042
1126200,1.3634537,0.12222973,1.3557192,0.12680466
1192447,1.3821083,0.08338614,1.3974806,0.15646443
1258694,1.4111198,0.07063527,1.456066,0.15901735
1324942,1.4324522,0.07246069,1.4991261,0.18310058
1391189,1.4537625,0.08201819,1.5322136,0.2147093
1457436,1.4796084,0.09226095,1.5496588,0.22713327
1523683,1.4983143,0.11205343,1.5786929,0.22470194
1589930,1.512705,0.10348816,1.6044903,0.18677653
1656177,1.5144345,0.09271511,1.6210413,0.16339797
1722424,1.5291022,0.09346904,1.6056038,0.14141285
1788671,1.5490808,0.09455478,1.6313767,0.1380529
1854918,1.5696173,0.096541665,1.671239,0.12920937
1921165,1.5687666,0.08276904,1.6921152,0.11407346
1987413,1.5684456,0.07209502,1.6809038,0.106112696
2053660,1.56949,0.043735247,1.6631466,0.086034276
2119907,1.5740966,0.015656814,1.6581653,0.10342936
2186154,1.571798,0.026387045,1.6553488,0.16792537
2252401,1.5788404,0.00097197917,1.6634804,0.21392886
2318648,1.6079563,0.021189306,1.6987991,0.21016005
2384895,1.6437162,0.04940399,1.6772527,0.20407602
2451142,1.664678,0.06359822,1.6561941,0.21139506
2517389,1.6662102,0.06162061,1.6595746,0.21153834
2583636,1.6857003,0.050772272,1.6802839,0.20221779
2649884,1.6797968,0.055821247,1.7132554,0.208785
2716131,1.6612616,0.049774088,1.7245965,0.18547225
2782378,1.66758,0.037891325,1.7384702,0.16051677
2848625,1.6690441,0.041532557,1.7529565,0.1638025
2914872,1.6745843,0.06661872,1.7503276,0.17333327
2981119,1.6730146,0.085827135,1.7179614,0.19522092
3047366,1.6912688,0.09145701,1.6871653,0.16899349
3113613,1.7003641,0.079616085,1.666782,0.13830717
3179860,1.7032166,0.0652943,1.658104,0.10188164
3246107,1.709006,0.06645812,1.6712936,0.09974788
3312355,1.7017721,0.07286484,1.6751642,0.07228281
3378602,1.6999283,0.05713033,1.7356477,0.09321081
3444849,1.7293798,0.055913154,1.7660829,0.09207592
3511096,1.7731085,0.05690216,1.752808,0.060115036
3577343,1.7965754,0.058784537,1.7531939,0.06299538
3643590,1.8236957,0.07865175,1.7695411,0.08949033
3709837,1.8486595,0.10074001,1.7759204,0.092981055
3776084,1.86846,0.10354582,1.7913284,0.106390975
3842331,1.8799475,0.09828172,1.7775289,0.080689475
3908578,1.8735083,0.09499531,1.8004426,0.057865605
3974826,1.8732686,0.10302607,1.860065,0.11464991
4041073,1.8816084,0.12618878,1.8433919,0.17004214
4107320,1.9027809,0.1368322,1.839386,0.16703264
4173567,1.9233917,0.1399429,1.8694474,0.13205065
4239814,1.9528303,0.17176552,1.875836,0.114418775
4306061,1.9623251,0.19280255,1.9145857,0.10768183
4372308,1.9788704,0.20529656,1.9097939,0.1288674
