x,train_mean0,train_sd1,test_mean2,test_sd3
0,4.3333335,0.4666668,4.6666665,0.40414506
66247,4.3388886,0.42277312,4.6866665,0.36004618
132494,4.3738885,0.39769995,4.778,0.33421984
198741,4.378722,0.39236325,4.7901998,0.3417681
264988,4.4241834,0.35694036,4.75118,0.2976266
331235,4.469543,0.2953745,4.756062,0.2719037
397482,4.5214777,0.30425948,4.780456,0.28471106
463729,4.5482183,0.303488,4.8057437,0.31127453
529976,4.5733967,0.32235402,4.855169,0.3373018
596223,4.6216125,0.2976366,4.9229856,0.38268858
662471,4.6394515,0.25436616,4.9740205,0.3334477
728718,4.676617,0.24997462,4.9832845,0.31701708
794965,4.7189555,0.22434057,5.0349565,0.28011075
861212,4.739282,0.18457289,5.054794,0.2567216
927459,4.763132,0.17070839,5.0693145,0.21210381
993706,4.8057075,0.15561734,5.1057167,0.17159127
1059953,4.8562484,0.1432175,5.148478,0.15988258
1126200,4.8828454,0.16257694,5.136964,0.17046717
1192447,4.8767834,0.14182915,5.179934,0.19332197
1258694,4.9413266,0.14336847,5.245274,0.17758563
1324942,4.9971943,0.12347998,5.367413,0.20705965
1391189,5.0319195,0.09867621,5.420672,0.15812139
1457436,5.072061,0.10600038,5.3952713,0.15320864
1523683,5.069299,0.10569196,5.4624114,0.116625115
1589930,5.1001472,0.11562368,5.4995036,0.14856216
1656177,5.1201324,0.13268425,5.512886,0.1417549
1722424,5.128119,0.115744874,5.5315976,0.08485659
1788671,5.1497517,0.12195803,5.575104,0.097073905
1854918,5.1603317,0.0879738,5.5809274,0.09283828
1921165,5.1809654,0.08968691,5.5728345,0.07722599
1987413,5.206202,0.08040739,5.582218,0.13075316
2053660,5.237804,0.07344921,5.5673294,0.1390422
2119907,5.257357,0.08400495,5.55393,0.10436124
2186154,5.268288,0.08137201,5.565203,0.124795035
2252401,5.289237,0.09786041,5.592016,0.15705757
2318648,5.313647,0.09372229,5.5828147,0.14929245
2384895,5.333393,0.099121585,5.5878663,0.14297566
2451142,5.3544984,0.093709014,5.612413,0.13708004
2517389,5.3757153,0.13589676,5.621172,0.15692556
2583636,5.4092546,0.10902602,5.6457214,0.17907189
2649884,5.42944,0.11344251,5.667816,0.13209325
2716131,5.4187183,0.12629257,5.7010345,0.12080595
2782378,5.442402,0.12046274,5.717598,0.17343715
2848625,5.4559402,0.13398041,5.7425046,0.15586546
2914872,5.452568,0.12544064,5.731588,0.2119025
2981119,5.450645,0.14330623,5.7384286,0.2078016
3047366,5.486691,0.13474816,5.727919,0.15191372
3113613,5.511356,0.17528063,5.7251267,0.118957944
3179860,5.5179977,0.16433075,5.772615,0.1555645
3246107,5.5361977,0.2015514,5.77202,0.1602762
3312355,5.548134,0.20024048,5.768151,0.14925185
3378602,5.537765,0.21772355,5.7980022,0.10438956
3444849,5.548433,0.22390546,5.8082023,0.102574125
3511096,5.5602565,0.21272852,5.8273826,0.07190482
3577343,5.5642304,0.18558426,5.887977,0.06766458
3643590,5.585585,0.19444941,5.889179,0.053281434
3709837,5.601471,0.1615517,5.8502617,0.14729513
3776084,5.61688,0.14406523,5.888569,0.12870589
3842331,5.636303,0.14642246,5.8930454,0.086577825
3908578,5.627117,0.13125122,5.9004073,0.08057569
3974826,5.6232944,0.10490857,5.9103665,0.13302694
4041073,5.6598535,0.10831608,5.905997,0.17069446
4107320,5.649424,0.112206995,5.892063,0.11398678
4173567,5.6989255,0.10581416,5.8961906,0.104651146
4239814,5.7190337,0.10672623,5.8965716,0.10808743
4306061,5.730463,0.101988465,5.920248,0.08202676
