x,train_mean0,train_sd1,test_mean2,test_sd3
0,1.3555555,0.15809049,1.0,0.32186952
66247,1.3446666,0.14558853,1.0273334,0.2999755
132494,1.337089,0.13482806,1.0659333,0.2747738
198741,1.3356022,0.13367285,1.0986733,0.2419982
264988,1.3387088,0.117447995,1.130806,0.19354972
331235,1.3479489,0.110610604,1.152392,0.16732715
397482,1.3591541,0.11891537,1.1818194,0.15868059
463729,1.3590164,0.111998126,1.1943042,0.14914075
529976,1.3580036,0.089317575,1.2048739,0.15990862
596223,1.3737588,0.075567834,1.2470531,0.15736966
662471,1.3850497,0.06369723,1.2650145,0.14551412
728718,1.3954334,0.062007155,1.290513,0.11913151
794965,1.4110012,0.043211207,1.3354617,0.105212875
861212,1.4152346,0.03992252,1.3645822,0.09965149
927459,1.4150443,0.030309247,1.4067907,0.089584164
993706,1.426651,0.04625704,1.4134449,0.09667261
1059953,1.4377637,0.04889933,1.4167671,0.078812845
1126200,1.4404317,0.04815274,1.419757,0.07870998
1192447,1.4443885,0.04560139,1.438448,0.09196276
1258694,1.4588386,0.0531967,1.4412699,0.103038065
1324942,1.4613992,0.04199315,1.427143,0.11728939
1391189,1.465037,0.044013426,1.433762,0.11923834
1457436,1.4723111,0.047675837,1.4410524,0.11420552
1523683,1.4673023,0.053900413,1.4282805,0.08594203
1589930,1.472572,0.04584608,1.4201192,0.08459064
1656177,1.4797592,0.061824124,1.4307739,0.09121282
1722424,1.4848944,0.044324808,1.4263631,0.09038485
1788671,1.4899606,0.040440142,1.4377269,0.11340618
1854918,1.5020757,0.04023821,1.4359541,0.076542616
1921165,1.5112013,0.034816563,1.4083587,0.06299242
1987413,1.5123034,0.034191743,1.4055228,0.06567965
2053660,1.5104065,0.02017805,1.4029707,0.050454363
2119907,1.5166992,0.017364353,1.3920069,0.04161518
2186154,1.524807,0.014444832,1.388806,0.04810123
2252401,1.5367708,0.0074037956,1.3952589,0.049736984
2318648,1.5499825,0.012585953,1.4050664,0.050895352
2384895,1.5605398,0.0152786495,1.4365597,0.05811413
2451142,1.5600414,0.028341962,1.4309038,0.037032887
2517389,1.5700372,0.032928895,1.43248,0.023912434
2583636,1.5750335,0.032388806,1.4465653,0.041505743
2649884,1.5710858,0.041708246,1.4239088,0.037190985
2716131,1.5844216,0.039307896,1.4228512,0.03164321
2782378,1.5922017,0.03498547,1.4178995,0.032182433
2848625,1.6027594,0.043119363,1.4141096,0.03795055
2914872,1.6075945,0.038297754,1.4006987,0.032551646
2981119,1.6250572,0.042735606,1.4179621,0.030705452
3047366,1.6378847,0.045378592,1.4068326,0.022840884
3113613,1.6432076,0.05731799,1.4001493,0.029973827
3179860,1.6393312,0.040868733,1.3921343,0.011771899
3246107,1.6356205,0.0425289,1.3882542,0.006215731
3312355,1.6560583,0.05287995,1.3887621,0.016802253
3378602,1.6382302,0.062667854,1.3992192,0.032107163
3444849,1.6470739,0.08533886,1.363964,0.026972968
3511096,1.6472554,0.07612336,1.344901,0.021697905
3577343,1.6456409,0.07303646,1.3430775,0.021190053
3643590,1.6457435,0.07662574,1.324103,0.032380957
3709837,1.6425024,0.07848628,1.3343595,0.03215451
3776084,1.6480299,0.09716864,1.3369235,0.041422434
3842331,1.6585604,0.09320269,1.3238978,0.05313004
3908578,1.6669265,0.09319204,1.3281747,0.05788986
3974826,1.6757895,0.11179082,1.3193573,0.03997375
4041073,1.6924328,0.11651555,1.3194215,0.03694396
4107320,1.6971895,0.11986182,1.2974793,0.04537637
4173567,1.7072483,0.12981537,1.3257314,0.041730307
4239814,1.7158567,0.13725626,1.3344916,0.06060085
4306061,1.7160488,0.14698578,1.321709,0.059469238
4372308,1.7244439,0.15051752,1.322205,0.0504742
4438555,1.7239996,0.14832856,1.3153177,0.06526304
4504802,1.7349329,0.14186336,1.3031193,0.061719086
4571050,1.7352175,0.12902582,1.3028073,0.06123812
4637297,1.7485846,0.14075466,1.3065265,0.051421024
4703544,1.7548372,0.1407934,1.3152074,0.054735325
4769791,1.7615757,0.13532951,1.3063532,0.06881387
4836038,1.7767515,0.1534446,1.2963846,0.07629627
4902285,1.7888541,0.15381199,1.2767462,0.07158593
4968532,1.7744131,0.14100103,1.2717382,0.09200368
5034779,1.7976385,0.13058811,1.265231,0.099248245
5101026,1.8154302,0.11915419,1.260708,0.096896686
5167273,1.8158871,0.12588525,1.2433038,0.08700486
5233521,1.8216318,0.11199825,1.24964,0.08154325
5299768,1.837913,0.10977152,1.2533427,0.070334114
5366015,1.8272328,0.10133951,1.2473418,0.08105078
5432262,1.8207318,0.096372716,1.2532742,0.073940866
5498509,1.827992,0.09151213,1.2399468,0.07729675
5564756,1.8345261,0.076209396,1.2406188,0.05970773
5631003,1.845518,0.07448215,1.250557,0.07672222
5697250,1.8576328,0.060761765,1.2508346,0.06998136
5763497,1.8636473,0.06162768,1.2364178,0.07514759
5829744,1.8823937,0.050658576,1.2247761,0.07456022
5895992,1.879932,0.043278392,1.2156318,0.07170688
5962239,1.8843833,0.018794144,1.215402,0.07998567
6028486,1.8872784,0.021710312,1.2038617,0.08210383
6094733,1.8907728,0.018560534,1.1968089,0.068870835
6160980,1.9005843,0.03133496,1.1904613,0.08007295
6227227,1.8998593,0.03510128,1.1967485,0.091081105
6293474,1.9034289,0.047514707,1.176407,0.074423656
6359721,1.9055305,0.055848297,1.1780996,0.08377955
6425968,1.9198662,0.055963606,1.1809564,0.09209081
6492215,1.9296575,0.055670824,1.1728607,0.0965595
6558463,1.9291362,0.046115603,1.166908,0.06871484
6624710,1.9217781,0.048937634,1.1495506,0.073443875
6690957,1.9209336,0.03678078,1.1399288,0.076454304
6757204,1.9295069,0.0332982,1.1286026,0.06576684
6823451,1.929223,0.029075112,1.1390756,0.048930533
6889698,1.9203005,0.017403772,1.1311682,0.03503686
6955945,1.9311595,0.028044252,1.1333846,0.04764022
7022192,1.9424881,0.027615948,1.1233795,0.02521938
7088439,1.9477946,0.04852591,1.1023749,0.046045642
7154686,1.9636818,0.046673074,1.116804,0.04268867
7220934,1.9699802,0.046438597,1.0977902,0.04844827
7287181,1.9794267,0.05083203,1.1106781,0.05481348
7353428,1.9865952,0.040116675,1.1209435,0.059195153
7419675,1.995269,0.042609386,1.1215159,0.069622755
7485922,1.998631,0.033318806,1.1140308,0.07639423
7552169,1.9943234,0.031863872,1.117961,0.070287295
7618416,1.9822245,0.045232326,1.110165,0.07476512
7684663,1.9806687,0.041243967,1.1158153,0.07535192
7750910,1.9912685,0.05110696,1.1182337,0.08799899
7817157,1.9852527,0.050234497,1.111077,0.09494764
7883405,1.9942831,0.05298798,1.1066359,0.10039239
7949652,2.0090768,0.039698746,1.1113057,0.09768533
8015899,2.0197248,0.04450617,1.1041751,0.08866867
8082146,2.035308,0.05567872,1.1090909,0.09315631
8148393,2.0308883,0.062682964,1.0988485,0.09100377
8214640,2.031577,0.050168894,1.0762969,0.07775917
8280887,2.0370862,0.049611557,1.083334,0.06817891
8347134,2.0604885,0.045966357,1.0770005,0.07326988
8413381,2.0542176,0.043983847,1.0759672,0.043032706
8479629,2.0585735,0.052015364,1.0797038,0.046818923
8545876,2.0707161,0.07015077,1.0917335,0.055420853
8612123,2.072089,0.07306282,1.08456,0.06781443
8678370,2.067769,0.072658256,1.0767708,0.05743093
8744617,2.053881,0.0769339,1.0724269,0.06356411
8810864,2.0611594,0.07518948,1.0611843,0.07389272
8877111,2.0601547,0.047104936,1.0650659,0.07980838
8943358,2.055917,0.059909113,1.0672259,0.059662852
9009605,2.0547698,0.06541761,1.0738367,0.081402384
9075852,2.0561817,0.06910992,1.0597863,0.087917596
9142100,2.0547857,0.06750851,1.0818077,0.07972276
9208347,2.0524182,0.064300254,1.0749602,0.06491349
9274594,2.059621,0.07276646,1.0781308,0.05170225
9340841,2.0656588,0.0828619,1.0696511,0.07174171
9407088,2.0635374,0.07665166,1.0686861,0.07013596
9473335,2.0562947,0.09170639,1.0731508,0.07514443
9539582,2.0597763,0.080020174,1.0718356,0.052150566
9605829,2.0589097,0.08517941,1.0726522,0.054962683
