x,train_mean0,train_sd1,test_mean2,test_sd3
0,-0.6266666,0.09134795,-0.59666663,0.2948446
66247,-0.6141111,0.07777201,-0.601,0.23510848
132494,-0.59558886,0.068134815,-0.60756665,0.20044574
198741,-0.5823633,0.057493825,-0.61481,0.18517922
264988,-0.5795714,0.048131585,-0.62966233,0.1633678
331235,-0.56205875,0.045548517,-0.62869614,0.13947695
397482,-0.5501862,0.05053443,-0.6308265,0.1458433
463729,-0.5439454,0.038187113,-0.6230772,0.119837835
529976,-0.52710634,0.046166383,-0.6227694,0.13598828
596223,-0.5087291,0.05009634,-0.6174925,0.13323802
662471,-0.49030057,0.04076513,-0.60807663,0.14447516
728718,-0.463715,0.025925592,-0.6072689,0.12579328
794965,-0.4292324,0.023541713,-0.5922087,0.118519075
861212,-0.40408695,0.021989336,-0.57432115,0.117887124
927459,-0.37156713,0.0099505,-0.5788891,0.09275932
993706,-0.33274373,0.009916079,-0.57100016,0.08380084
1059953,-0.29324716,0.018055068,-0.55823344,0.085181504
1126200,-0.26081133,0.015624848,-0.56574345,0.08578874
1192447,-0.23250796,0.022045482,-0.5648358,0.08222709
1258694,-0.19314606,0.025894564,-0.5513522,0.08326305
1324942,-0.16460922,0.02428562,-0.542217,0.07339988
1391189,-0.13359275,0.023175418,-0.5469953,0.029082416
1457436,-0.105122365,0.020438103,-0.54196244,0.032300074
1523683,-0.08061013,0.027109053,-0.54243284,0.040623836
1589930,-0.051549118,0.026879689,-0.53452283,0.031611178
1656177,-0.022060871,0.03140604,-0.54140395,0.051567487
1722424,0.0077007725,0.028555369,-0.54559684,0.05642063
1788671,0.028152918,0.034333482,-0.54870385,0.069089025
1854918,0.0491154,0.027721805,-0.54050016,0.050838053
1921165,0.07175942,0.034131847,-0.53778344,0.055084705
1987413,0.09491681,0.037077002,-0.5440051,0.047250733
2053660,0.11498069,0.032177106,-0.5546046,0.033005368
2119907,0.13803817,0.025780702,-0.54047745,0.04971143
2186154,0.16056769,0.027314344,-0.5420964,0.04882089
2252401,0.1771776,0.028984219,-0.5525534,0.03145145
2318648,0.19623761,0.027618788,-0.5592981,0.029235203
2384895,0.21528052,0.025413815,-0.5597016,0.029415552
2451142,0.23353024,0.028313762,-0.5457315,0.019872086
2517389,0.24828832,0.031239618,-0.5378249,0.009074822
2583636,0.25823727,0.0251811,-0.53537583,0.006597491
2649884,0.27952465,0.025579792,-0.54983824,0.035140183
2716131,0.2946833,0.02382013,-0.5638544,0.01737397
2782378,0.31154832,0.029792415,-0.56513566,0.033879347
2848625,0.32606015,0.02886404,-0.58395535,0.058484834
2914872,0.3402319,0.034746576,-0.5788932,0.057567682
2981119,0.35554203,0.033410385,-0.6026706,0.0365388
3047366,0.3634323,0.022036318,-0.6037368,0.056403913
3113613,0.36653352,0.018310953,-0.6156965,0.05773325
3179860,0.37388015,0.02956219,-0.6051268,0.061371934
3246107,0.38471437,0.02667712,-0.61994743,0.058712613
3312355,0.39368737,0.016228842,-0.62028605,0.023921797
3378602,0.3989853,0.021454697,-0.6155908,0.012826593
3444849,0.41253123,0.021204028,-0.6216984,0.02793895
3511096,0.42861143,0.02696996,-0.63319516,0.032871805
3577343,0.44252804,0.01734977,-0.62520903,0.03173086
3643590,0.44683078,0.022467472,-0.62602144,0.044666827
3709837,0.45770326,0.025656432,-0.622086,0.032493256
3776084,0.46682182,0.030178213,-0.62387735,0.013196256
3842331,0.47780633,0.028151745,-0.62582296,0.017721731
3908578,0.48891458,0.032594834,-0.5982407,0.01073451
3974826,0.5014675,0.030332971,-0.61941665,0.028066363
4041073,0.50565416,0.035673033,-0.63280827,0.031254113
4107320,0.51442206,0.02161277,-0.63852745,0.034078762
4173567,0.5262021,0.018404964,-0.6186747,0.046990957
4239814,0.52858186,0.01671927,-0.6361406,0.06627912
4306061,0.5318348,0.016736506,-0.6291931,0.07970898
4372308,0.543318,0.012282894,-0.6212738,0.0706678
4438555,0.54531956,0.018065752,-0.6361465,0.06368037
4504802,0.5560098,0.018964218,-0.6441985,0.07106973
4571050,0.5624088,0.02039758,-0.6284453,0.063780375
4637297,0.57205683,0.014794909,-0.6426008,0.05239254
4703544,0.5812956,0.017822593,-0.65000737,0.048605077
4769791,0.59449935,0.010333289,-0.66433996,0.07166494
4836038,0.60471606,0.0063756593,-0.67557263,0.064417526
4902285,0.6116889,0.018418245,-0.68134874,0.060310774
4968532,0.6104089,0.018423041,-0.68254715,0.058762424
5034779,0.61359024,0.017255332,-0.68929243,0.027416775
5101026,0.6288979,0.019393468,-0.6816966,0.024093004
