x,train_mean0,train_sd1,test_mean2,test_sd3
0,1.8222222,0.35329142,1.9,0.34641013
66247,1.8033333,0.35563716,1.87,0.34641013
132494,1.783,0.34326583,1.8196667,0.35795718
198741,1.7758111,0.33058864,1.7810334,0.34540012
264988,1.7760078,0.3264244,1.7862633,0.33436424
331235,1.777296,0.31387135,1.7876371,0.28554145
397482,1.7695662,0.30041727,1.81554,0.2357424
463729,1.7803874,0.300608,1.8873192,0.21540007
529976,1.7923487,0.29518592,1.925254,0.19914839
596223,1.7964472,0.2949609,1.9393953,0.18205285
662471,1.8090247,0.2773232,1.9021225,0.17598785
728718,1.8359,0.26594916,1.8719102,0.1293745
794965,1.8367544,0.24684456,1.8180524,0.06691208
861212,1.8408569,0.24196644,1.7862473,0.04029766
927459,1.834549,0.24650708,1.7542892,0.018738056
993706,1.8199829,0.25966477,1.7555269,0.011092171
1059953,1.8146511,0.26650864,1.766641,0.02512982
1126200,1.792075,0.27251574,1.7499768,0.017874481
1192447,1.7562009,0.26178074,1.7316457,0.025582138
1258694,1.733914,0.2559307,1.7218145,0.043709923
1324942,1.7071892,0.23364526,1.7196331,0.05665924
1391189,1.6809149,0.19867834,1.7243365,0.07136144
1457436,1.6728233,0.1613909,1.7419028,0.06565976
1523683,1.675541,0.14727664,1.7443792,0.057487175
1589930,1.6746535,0.1362296,1.7332746,0.0715835
1656177,1.6705216,0.14726362,1.7466139,0.0923984
1722424,1.6690251,0.16013168,1.7586192,0.10000144
1788671,1.686567,0.16458136,1.7727572,0.09500421
1854918,1.6990213,0.16586089,1.7721481,0.07889759
1921165,1.7135636,0.15824725,1.7515999,0.05663429
1987413,1.7266517,0.1564087,1.7364401,0.043961152
2053660,1.7339865,0.13804504,1.7094626,0.04133228
2119907,1.7450323,0.12079351,1.6751832,0.04865321
2186154,1.7449735,0.101103835,1.6643314,0.055278715
2252401,1.7226986,0.066906475,1.6478982,0.028565858
2318648,1.7093176,0.055807758,1.6531085,0.048575055
2384895,1.681719,0.039502926,1.6477976,0.07735191
2451142,1.662436,0.020828174,1.6396846,0.090297505
2517389,1.6561924,0.034990843,1.6023827,0.068049245
2583636,1.6494621,0.052439332,1.5654778,0.059219334
2649884,1.6367382,0.074220635,1.5622634,0.07089912
2716131,1.620842,0.075599186,1.5627037,0.094322935
2782378,1.6009802,0.07282451,1.5497667,0.12274136
2848625,1.590882,0.068969026,1.5414566,0.12441039
2914872,1.5806828,0.05668645,1.5206443,0.13376597
2981119,1.5826145,0.043461338,1.4852467,0.13328508
3047366,1.5887976,0.04223093,1.4833885,0.12664314
3113613,1.5921401,0.056311235,1.4883829,0.13467377
3179860,1.594037,0.07286768,1.4728781,0.13431513
3246107,1.5913,0.09737428,1.4755902,0.11661644
3312355,1.5888367,0.1132145,1.4880313,0.101997584
3378602,1.5843974,0.12494561,1.4958948,0.08599505
3444849,1.5848465,0.13027684,1.5163053,0.06387697
3511096,1.5796953,0.1271124,1.5346748,0.047164064
3577343,1.5783924,0.13919567,1.5478739,0.034139115
3643590,1.599442,0.16050026,1.5730866,0.049419433
3709837,1.6139423,0.1794309,1.6091113,0.07116474
3776084,1.6436591,0.18889517,1.6148667,0.07334878
3842331,1.6737379,0.187771,1.6133801,0.09242084
3908578,1.6952528,0.17612731,1.6087087,0.09394741
3974826,1.7079498,0.16965798,1.5945047,0.10493868
4041073,1.7060436,0.17258713,1.5983874,0.1344868
4107320,1.6909949,0.17191188,1.5985488,0.16870686
4173567,1.6674509,0.19170706,1.602027,0.20316847
4239814,1.652928,0.19734804,1.6318245,0.2185124
4306061,1.653191,0.19857919,1.6519753,0.20360397
4372308,1.6645384,0.19985291,1.6534444,0.17936602
4438555,1.6858624,0.19290541,1.6614333,0.17016852
4504802,1.707276,0.18754959,1.6586233,0.1384526
4571050,1.7198819,0.18091407,1.652761,0.09315821
4637297,1.7267824,0.14975157,1.6541516,0.054578125
4703544,1.730771,0.13141525,1.6420698,0.04199925
4769791,1.7321383,0.12278724,1.631196,0.07497861
4836038,1.7267022,0.11146734,1.6147432,0.10329759
4902285,1.7284764,0.08800707,1.5966021,0.09213601
4968532,1.7356287,0.057396732,1.5902753,0.115112245
5034779,1.7376214,0.03129714,1.5979143,0.13510302
5101026,1.7294149,0.016660983,1.608123,0.17117323
5167273,1.7186956,0.031262793,1.6039773,0.2220998
