x,train_mean0,train_sd1,test_mean2,test_sd3
0,0.9888888,0.24570382,0.8,0.36055514
66247,1.0233334,0.24442673,0.84,0.3315117
132494,1.0632223,0.22994205,0.9126666,0.29920283
198741,1.0935667,0.18894054,0.98473334,0.2683234
264988,1.0964322,0.1475935,1.0195934,0.2315441
331235,1.0901223,0.13543253,1.0343007,0.21977384
397482,1.1066656,0.11547809,1.0342039,0.19240206
463729,1.1182214,0.093147784,1.0441169,0.18034981
529976,1.134177,0.084210016,1.0597053,0.17860028
596223,1.1507592,0.09011218,1.0537347,0.17886594
662471,1.17235,0.11884935,1.0616945,0.15711422
728718,1.2162261,0.13024281,1.0888585,0.14816716
794965,1.2446035,0.1375016,1.1033059,0.1383224
861212,1.2645875,0.1408394,1.1129752,0.1161622
927459,1.2870177,0.11581407,1.1183444,0.142376
993706,1.3049825,0.094389506,1.1298434,0.15928678
1059953,1.3244843,0.08557485,1.1801924,0.16951035
1126200,1.3298136,0.08913357,1.2255064,0.14449383
1192447,1.3446102,0.10722987,1.2529558,0.13919029
1258694,1.3623713,0.12165283,1.2809936,0.15140969
1324942,1.3861341,0.11229183,1.3228942,0.14418443
1391189,1.4152985,0.10500523,1.3472714,0.14338268
1457436,1.4604354,0.09248982,1.3625442,0.14636488
1523683,1.5088363,0.08464966,1.4096233,0.13540748
1589930,1.5401748,0.10642722,1.4486609,0.11596603
1656177,1.5606017,0.110607706,1.5104614,0.10293346
1722424,1.5700971,0.10422272,1.5827488,0.11069105
1788671,1.5786432,0.10228396,1.6544738,0.15520106
1854918,1.6018897,0.10859957,1.695693,0.16386054
1921165,1.632812,0.11609668,1.7061238,0.11285596
1987413,1.6706419,0.13976258,1.6955113,0.08788933
2053660,1.6935776,0.15756364,1.7092935,0.10995532
2119907,1.7097754,0.18586081,1.7250309,0.16992965
2186154,1.7276869,0.20390014,1.6958612,0.1935929
2252401,1.7593626,0.17981121,1.686275,0.18576014
2318648,1.7889819,0.1502813,1.6976475,0.191006
