x,train_mean0,train_sd1,test_mean2,test_sd3
0,1.2111111,0.18954135,1.3000001,0.43588987
66247,1.2155555,0.16800575,1.32,0.3726929
132494,1.2495556,0.151654,1.328,0.30928785
198741,1.2546,0.16634275,1.3285333,0.2407407
264988,1.28914,0.16207081,1.3590132,0.28395087
331235,1.2968926,0.12057799,1.3764453,0.23142089
397482,1.3172034,0.11760875,1.4121342,0.19235274
463729,1.3365941,0.111254014,1.4609207,0.18767965
529976,1.3496014,0.09442105,1.4614954,0.18352863
596223,1.3668634,0.08492519,1.488679,0.16372035
662471,1.3835106,0.07353423,1.4731445,0.11409141
728718,1.4040483,0.07290311,1.5091634,0.08194061
794965,1.4280878,0.078260876,1.4982471,0.11665712
861212,1.4297236,0.05012023,1.5284224,0.09624593
927459,1.4389734,0.05335677,1.5355802,0.09661963
993706,1.4506316,0.048844516,1.5520221,0.092506446
1059953,1.4377908,0.0734606,1.5534865,0.15111451
1126200,1.4551228,0.06455949,1.5814711,0.16984463
1192447,1.4873883,0.047056567,1.5833241,0.17163974
1258694,1.4830939,0.055649083,1.6049916,0.12970322
1324942,1.5181179,0.036630612,1.6311592,0.11634589
1391189,1.5229727,0.03559406,1.6580433,0.12224827
1457436,1.5217866,0.052044764,1.6589056,0.13126414
1523683,1.5229412,0.044528652,1.6696817,0.16718198
1589930,1.5273137,0.04644729,1.7227135,0.14975843
1656177,1.5145823,0.04140906,1.6871089,0.12870532
1722424,1.5120131,0.013988694,1.7017313,0.12574007
1788671,1.5108117,0.051693752,1.7015581,0.14702913
1854918,1.5263973,0.031749625,1.6680689,0.13198535
1921165,1.5537575,0.01224581,1.6679287,0.053077664
1987413,1.5439373,0.02823521,1.661136,0.025518049
2053660,1.5639881,0.037657775,1.631689,0.041065287
2119907,1.5675893,0.025768524,1.6351867,0.0018844614
2186154,1.5763859,0.007823131,1.6283346,0.02352937
2252401,1.5843029,0.018673584,1.6088346,0.014011398
2318648,1.581428,0.023476986,1.5779511,0.0026109323
2384895,1.5799519,0.016074598,1.5768226,0.026241118
2451142,1.5764012,0.0063815783,1.5758071,0.030343393
2517389,1.5865388,0.027424628,1.5615597,0.08247985
2583636,1.598996,0.038843714,1.5854038,0.09907037
2649884,1.5957632,0.055224348,1.56353,0.1140482
2716131,1.5961868,0.078760825,1.5605103,0.13296235
2782378,1.6099014,0.059075266,1.5677928,0.155114
2848625,1.6244669,0.07718214,1.5810133,0.122467525
2914872,1.6175758,0.089766234,1.5762454,0.121326596
2981119,1.6069293,0.047459092,1.5719541,0.13653344
3047366,1.611792,0.057646763,1.6014255,0.12231742
3113613,1.6295017,0.055060755,1.5912828,0.10612396
3179860,1.643218,0.07460469,1.5988213,0.15636197
3246107,1.6477852,0.06637843,1.5556059,0.12545705
3312355,1.66634,0.055019937,1.5467119,0.10175369
3378602,1.6430393,0.049633484,1.5120407,0.10504892
3444849,1.6454021,0.043205064,1.5008367,0.1012011
3511096,1.6397508,0.051736046,1.5240864,0.1184258
3577343,1.649109,0.03332733,1.5716776,0.13753577
3643590,1.6608648,0.022372242,1.5711765,0.170409
3709837,1.6692228,0.011012161,1.5573921,0.19480382
3776084,1.6689671,0.015874686,1.521653,0.21160053
3842331,1.6842927,0.02019135,1.5461544,0.21733132
3908578,1.6747522,0.043408915,1.561539,0.21312854
3974826,1.6783881,0.056028817,1.545385,0.15798296
4041073,1.6805493,0.046620794,1.5141798,0.12593013
4107320,1.6647167,0.043526337,1.5160952,0.07868885
4173567,1.6504673,0.0431305,1.5311524,0.060380444
4239814,1.6587538,0.040500272,1.5413704,0.01674409
4306061,1.6728784,0.06337601,1.5372334,0.03778025
4372308,1.6544794,0.05206595,1.5301768,0.0688986
4438555,1.6523649,0.057195764,1.5604924,0.056739174
4504802,1.6515728,0.052157093,1.5644431,0.044507485
4571050,1.64086,0.026646176,1.5913323,0.064833544
4637297,1.6389961,0.05588408,1.5888656,0.035811983
4703544,1.659541,0.04636121,1.5633124,0.05506528
4769791,1.6602535,0.03784231,1.5369811,0.019646903
4836038,1.6497837,0.06962647,1.5399498,0.039489567
4902285,1.6548055,0.05872529,1.5492882,0.04807358
4968532,1.6626582,0.03670055,1.5776926,0.044095453
5034779,1.6586146,0.042595178,1.6232567,0.09262989
5101026,1.6527532,0.055671472,1.5975976,0.10715119
5167273,1.658589,0.05233747,1.5845046,0.07582975
5233521,1.6571745,0.08513509,1.6193875,0.12633665
5299768,1.6714569,0.07167099,1.5841154,0.14151996
5366015,1.670978,0.059664823,1.5590372,0.16147657
5432262,1.671658,0.082356416,1.5564667,0.15605873
5498509,1.6922699,0.058766633,1.5408201,0.1045663
5564756,1.6774874,0.054194063,1.5600715,0.07548941
5631003,1.6641831,0.056440394,1.5440644,0.12812321
5697250,1.6677648,0.048986018,1.5596579,0.15881519
5763497,1.6576549,0.0735062,1.513692,0.15828863
5829744,1.6796671,0.060298923,1.5256562,0.15400352
5895992,1.6750339,0.069206715,1.5030905,0.17370766
5962239,1.6653084,0.0707323,1.4994482,0.111853994
6028486,1.6598886,0.032164764,1.5128368,0.07384978
6094733,1.6616774,0.03695372,1.4682198,0.05400875
6160980,1.6721764,0.052393008,1.4213978,0.065097675
6227227,1.6394032,0.06589657,1.4559246,0.108344436
6293474,1.6310183,0.09094307,1.4403323,0.058836706
6359721,1.6379166,0.10870669,1.426299,0.026495526
6425968,1.6407915,0.13308215,1.4103359,0.022411862
6492215,1.6411568,0.11628573,1.4259688,0.07394477
6558463,1.6248189,0.10776381,1.4333719,0.10836626
6624710,1.642337,0.11145737,1.473368,0.07084509
6690957,1.6325477,0.10560552,1.4960313,0.037216023
6757204,1.6581818,0.10098248,1.5097615,0.030926235
6823451,1.6701416,0.122649476,1.5021187,0.04343898
6889698,1.6686829,0.10127334,1.4919068,0.06397117
6955945,1.6795925,0.078768164,1.4927162,0.07630944
7022192,1.6416332,0.07515691,1.4801111,0.06881063
7088439,1.6352476,0.071603194,1.4521002,0.07084566
7154686,1.6261673,0.06280162,1.4735569,0.053953264
7220934,1.626884,0.07658609,1.4495344,0.075964965
7287181,1.6275288,0.05594479,1.4545809,0.046076637
7353428,1.6403316,0.05542264,1.4324561,0.026281083
7419675,1.642965,0.07184252,1.3825439,0.018682513
7485922,1.653113,0.06978391,1.3876228,0.048517987
7552169,1.6600238,0.05908319,1.3855273,0.042079378
7618416,1.6462437,0.063898094,1.4036412,0.026179332
7684663,1.618286,0.05477085,1.413277,0.03730645
7750910,1.6175685,0.06142572,1.4219494,0.071709566
7817157,1.6080338,0.03990144,1.4264212,0.08291887
7883405,1.6150082,0.032673027,1.4704456,0.03315772
7949652,1.627952,0.012815353,1.4800677,0.05054962
8015899,1.6518234,0.02355191,1.4587277,0.068846814
8082146,1.6510855,0.032272555,1.4561882,0.05118337
8148393,1.644866,0.040859047,1.4439026,0.08124346
8214640,1.648157,0.073232055,1.456179,0.082913145
8280887,1.6733413,0.09297414,1.4605613,0.03132849
8347134,1.6615628,0.07781972,1.4811717,0.04946356
8413381,1.6454064,0.071008794,1.4997212,0.059300203
8479629,1.641977,0.087940276,1.5030824,0.03899298
8545876,1.6288904,0.057926733,1.5127741,0.043756958
8612123,1.6482235,0.055370305,1.48483,0.028783945
8678370,1.653401,0.04135903,1.4763471,0.0020954183
8744617,1.6513945,0.047366653,1.4253792,0.019515632
8810864,1.6451439,0.051330227,1.3828411,0.008852387
8877111,1.6384072,0.031091316,1.3912235,0.012617021
8943358,1.6334554,0.028702343,1.3754348,0.012947799
9009605,1.6534432,0.015474626,1.3778912,0.075983144
9075852,1.6369877,0.030794473,1.3867688,0.0880856
9142100,1.6288446,0.039580252,1.3914251,0.07924426
9208347,1.6370713,0.03538424,1.4422827,0.026021583
9274594,1.6155863,0.04297985,1.4447211,0.021726858
9340841,1.6218053,0.038679425,1.4469156,0.045865685
9407088,1.5940694,0.048883367,1.4388908,0.07150403
9473335,1.5679957,0.0724429,1.458335,0.10233021
9539582,1.5611962,0.06650571,1.4625015,0.11428089
9605829,1.5339655,0.06506602,1.472918,0.0886902
9672076,1.5039023,0.058282398,1.4522929,0.13659163
9738323,1.5068454,0.07312952,1.4437304,0.13921398
9804571,1.5061609,0.08973852,1.4626907,0.10503058
9870818,1.497767,0.08502723,1.4797549,0.094173595
9937065,1.5091014,0.083581574,1.4617792,0.058363214
10003312,1.4981912,0.076305814,1.4889349,0.02901491
10069559,1.4983721,0.07192776,1.4467081,0.06884162
10135806,1.4974238,0.06035021,1.4153705,0.038470034
10202053,1.4754591,0.05732704,1.4138335,0.0030281625
10268300,1.4923577,0.046568938,1.3957834,0.03691434
10334547,1.4986776,0.048536744,1.3595384,0.05344033
10400794,1.4976987,0.047649417,1.3602513,0.030204788
10467042,1.5023732,0.03991401,1.3508929,0.035497576
10533289,1.4976915,0.03234559,1.3524703,0.022701886
10599536,1.4812555,0.048116766,1.3205565,0.010616216
10665783,1.4786855,0.05589944,1.3185009,0.02621527
10732030,1.489706,0.052405328,1.3266507,0.01507702
10798277,1.4929576,0.03764658,1.3306524,0.05449205
10864524,1.4869952,0.025774464,1.3642539,0.06534556
10930771,1.5038513,0.03757182,1.3711618,0.088023305
10997018,1.5079104,0.055017143,1.3907121,0.06937127
11063265,1.4904528,0.04387909,1.3983078,0.09600692
11129513,1.4902965,0.051672705,1.3884768,0.11938448
11195760,1.4934889,0.050897155,1.3896292,0.07883798
11262007,1.4719177,0.054000877,1.3739996,0.093100265
11328254,1.463615,0.052371547,1.3432664,0.053750254
11394501,1.4572535,0.058080684,1.3589396,0.056804795
11460748,1.4748615,0.04119058,1.3830458,0.052679066
11526995,1.4862642,0.028538259,1.4247411,0.0509794
11593242,1.4976377,0.035250302,1.4289337,0.05078375
11659489,1.5056518,0.039389547,1.4160404,0.04340383
11725736,1.5006422,0.03353325,1.4111029,0.07251805
11791984,1.4939113,0.031479694,1.3799928,0.08455075
11858231,1.4900757,0.03323092,1.3619933,0.07296566
11924478,1.4855126,0.04994743,1.4091274,0.053809684
11990725,1.4791836,0.054249335,1.4048814,0.06748923
12056972,1.4768206,0.058139734,1.4243932,0.045850206
12123219,1.4713608,0.03854236,1.4186205,0.0668798
12189466,1.4742247,0.050452303,1.4100919,0.06593739
12255713,1.4934689,0.07641513,1.412416,0.07351795
12321960,1.4963444,0.07857941,1.3911744,0.059301496
12388208,1.5011543,0.084528714,1.4387236,0.07240863
12454455,1.4943722,0.09019911,1.4748513,0.062597916
12520702,1.494935,0.08505373,1.4473661,0.08199689
12586949,1.4876637,0.081563644,1.4292961,0.09722586
12653196,1.5011196,0.10365174,1.4363666,0.0703508
12719443,1.4998965,0.08489419,1.3993965,0.07713499
12785690,1.4932402,0.08530032,1.3927903,0.08219349
12851937,1.492805,0.0812959,1.4301778,0.09446623
12918184,1.4957467,0.109738834,1.4271601,0.06613665
12984431,1.4828386,0.09822544,1.4411107,0.09925001
13050679,1.4801105,0.10289962,1.4669997,0.07103808
13116926,1.4732105,0.09154928,1.4502997,0.08941674
13183173,1.4970006,0.07545563,1.4552697,0.0889718
13249420,1.4884115,0.053960603,1.4197427,0.07299661
13315667,1.4806815,0.067254186,1.4344352,0.026781412
13381914,1.4881691,0.060181182,1.4309916,0.0295262
13448161,1.4804631,0.04682237,1.3978925,0.0210293
13514408,1.4990835,0.059313584,1.39477,0.02668722
13580655,1.5136195,0.067163,1.3852929,0.05013619
13646902,1.5311465,0.07511867,1.3867636,0.04696249
13713150,1.5313653,0.077561066,1.3580872,0.06787971
13779397,1.531562,0.08120146,1.3456119,0.0442807
13845644,1.5150725,0.10711803,1.3243841,0.009556396
13911891,1.5168986,0.079239674,1.3319455,0.021285797
13978138,1.5052086,0.07636519,1.288751,0.027891183
14044385,1.5091323,0.0955786,1.309876,0.051518887
14110632,1.5204414,0.104692936,1.3188883,0.046451062
14176879,1.5228416,0.091752335,1.3236662,0.06799511
14243126,1.5150019,0.102621704,1.3146329,0.055057723
14309373,1.5035018,0.10436015,1.3898363,0.04511284
14375621,1.4798182,0.119364254,1.3841859,0.025331134
14441868,1.468503,0.12322276,1.402434,0.07086665
14508115,1.4683194,0.104034096,1.3988572,0.09834066
14574362,1.4592652,0.12690628,1.3656383,0.13038705
14640609,1.4588943,0.13422656,1.3324078,0.13104162
14706856,1.455227,0.12915543,1.3258337,0.11387679
14773103,1.4552599,0.12001774,1.3265835,0.11979536
14839350,1.4541783,0.13258958,1.3172585,0.16446698
14905597,1.4487606,0.1458572,1.288866,0.13214067
14971844,1.4394401,0.14666419,1.2966461,0.13282661
15038092,1.4521627,0.120612636,1.2669815,0.12337765
15104339,1.4491687,0.1226283,1.24695,0.14115185
15170586,1.4331406,0.10946446,1.2422551,0.14696491
15236833,1.4287153,0.09747261,1.2380295,0.134742
15303080,1.4080662,0.06558812,1.2608932,0.15418628
15369327,1.3894819,0.06941994,1.2281373,0.17187992
15435574,1.3960892,0.07703185,1.2153236,0.17793182
15501821,1.395369,0.08229256,1.2137913,0.14165345
15568068,1.39361,0.0926764,1.222412,0.1327196
15634315,1.3864713,0.09021589,1.2001709,0.10943387
15700563,1.4022685,0.08768901,1.2068205,0.122291856
15766810,1.4175973,0.08307901,1.222805,0.1458493
15833057,1.4025043,0.09127527,1.253858,0.16895995
15899304,1.3978094,0.088302985,1.2718054,0.14226174
15965551,1.404695,0.09278735,1.3012916,0.18109402
16031798,1.4242254,0.10198056,1.3244958,0.1792069
16098045,1.4284697,0.07660511,1.3220462,0.12576161
16164292,1.4367338,0.07862299,1.3165082,0.116356425
16230539,1.4308382,0.07638459,1.3081907,0.1074983
16296787,1.434421,0.09203431,1.3473717,0.14083017
16363034,1.4376456,0.07772696,1.3359677,0.121421345
16429281,1.4283253,0.05787805,1.3457044,0.085296266
16495528,1.436604,0.06134777,1.3444673,0.071003854
16561775,1.4351659,0.06153384,1.3666872,0.061866276
16628022,1.4260937,0.06843078,1.3966852,0.021904262
16694269,1.4201511,0.08877993,1.42035,0.02093877
16760516,1.398136,0.09698594,1.4349817,0.040372707
16826763,1.3816557,0.087847434,1.4148169,0.06828446
16893010,1.3834901,0.10947366,1.4366684,0.06253429
16959258,1.3784746,0.11449184,1.4030017,0.08624919
17025505,1.3906269,0.13262701,1.4127015,0.07762424
17091752,1.3837866,0.1112112,1.3914313,0.040177714
17157999,1.3787413,0.10772025,1.3622881,0.08051578
17224246,1.3697559,0.1009978,1.3460593,0.12764283
17290493,1.3772248,0.09679795,1.3581201,0.11609218
17356740,1.4206133,0.106649525,1.3556414,0.09831689
17422987,1.3907744,0.10605333,1.3434106,0.09753692
17489234,1.4039191,0.09048879,1.352403,0.08921155
17555481,1.4090828,0.08096095,1.3504959,0.04875836
17621729,1.4215078,0.07363698,1.362113,0.08737251
17687976,1.4326905,0.10062172,1.3592349,0.096608736
