x,train_mean0,train_sd1,test_mean2,test_sd3
0,3.0555553,0.25458753,2.6000001,0.26457515
66247,3.0955555,0.24875988,2.6033335,0.2500667
132494,3.114889,0.23031598,2.6263335,0.18864077
198741,3.1567333,0.21483521,2.6936998,0.14431256
264988,3.1899488,0.18254317,2.7409966,0.110764064
331235,3.1998432,0.15288804,2.7602303,0.1109701
397482,3.1943028,0.12187086,2.7442074,0.108745694
463729,3.2137616,0.10949901,2.7964535,0.09478326
529976,3.240163,0.119185485,2.8501413,0.10428995
596223,3.2905912,0.100021385,2.881794,0.07773804
662471,3.3326435,0.122392,2.9102812,0.02389877
728718,3.3660457,0.14749414,2.9625862,0.0038468281
794965,3.3972187,0.1457547,2.989661,0.04203443
861212,3.419719,0.17044845,3.030695,0.13130352
927459,3.4299695,0.16733801,3.094292,0.12140303
993706,3.442528,0.14824164,3.098196,0.09954461
1059953,3.4604976,0.14289677,3.1250432,0.090977326
1126200,3.47667,0.14944649,3.185872,0.03260219
1192447,3.4834473,0.1367858,3.2106183,0.018984567
1258694,3.5139916,0.107646905,3.2028897,0.034032833
1324942,3.5492592,0.054871853,3.1992676,0.053482823
1391189,3.5687773,0.0336617,3.2293408,0.039188754
1457436,3.5663443,0.06230671,3.21974,0.0059355097
1523683,3.5874875,0.078051455,3.217766,0.045447476
1589930,3.618739,0.07092712,3.2459896,0.06159418
1656177,3.6179762,0.066056974,3.2580574,0.07071001
1722424,3.6117342,0.074111044,3.258918,0.09862421
1788671,3.6205606,0.0887983,3.3030262,0.114403136
1854918,3.6218379,0.08726989,3.34939,0.17504159
1921165,3.6129875,0.060914643,3.3644514,0.2428783
1987413,3.6139107,0.023819732,3.3580062,0.19962317
2053660,3.638075,0.011681079,3.355539,0.18807934
2119907,3.6698234,0.027518967,3.3599846,0.1435497
2186154,3.7083967,0.03507416,3.3673198,0.08850263
2252401,3.7397792,0.034285877,3.3639212,0.07522956
2318648,3.7702456,0.07354081,3.3708622,0.09667178
2384895,3.7776654,0.071432635,3.3571093,0.07843759
2451142,3.7876768,0.07937548,3.3380651,0.062292628
2517389,3.797798,0.057649367,3.3242586,0.08384299
2583636,3.7813513,0.060203493,3.331833,0.15187302
2649884,3.7665498,0.09053959,3.3386495,0.16279794
2716131,3.7665615,0.077180654,3.341451,0.14355096
2782378,3.7732384,0.054425817,3.373973,0.10842635
2848625,3.7914703,0.037317045,3.369909,0.10323126
2914872,3.820101,0.025182506,3.3595848,0.14879712
2981119,3.85698,0.014228509,3.3469594,0.2015735
3047366,3.8946152,0.03881,3.27893,0.3043335
3113613,3.9162648,0.053312376,3.2910373,0.31653878
3179860,3.9046383,0.09159975,3.3619335,0.29417163
3246107,3.8930633,0.1011596,3.382407,0.3017677
3312355,3.8970902,0.060162112,3.4141662,0.3149308
3378602,3.9073813,0.05975063,3.4427493,0.29250714
3444849,3.8866432,0.050394334,3.4351413,0.29382515
3511096,3.8613122,0.069006436,3.4049606,0.2701745
3577343,3.8807366,0.11149501,3.381131,0.24067363
3643590,3.8804407,0.13315248,3.399685,0.23967032
3709837,3.846841,0.14516945,3.4197161,0.23309396
3776084,3.8488235,0.15985975,3.4577444,0.20439616
3842331,3.843941,0.13104175,3.4653034,0.16752239
3908578,3.8184364,0.112723455,3.4421062,0.201604
3974826,3.7921479,0.108822465,3.4278958,0.17366527
4041073,3.7940445,0.07861362,3.3984394,0.073450975
4107320,3.8090842,0.0820529,3.4185956,0.11946374
4173567,3.7959538,0.088219754,3.416736,0.110665224
4239814,3.8119137,0.12119916,3.431729,0.06238574
4306061,3.8396113,0.13681452,3.4818895,0.07055209
4372308,3.8556502,0.11781751,3.5037005,0.08611635
4438555,3.848974,0.08930202,3.4833305,0.11205123
4504802,3.8451874,0.07544502,3.4616642,0.18505834
4571050,3.8473356,0.076527946,3.438831,0.23967089
4637297,3.8348243,0.11107551,3.4316146,0.23449723
4703544,3.8280087,0.12736814,3.4451199,0.19117546
4769791,3.8229854,0.12948558,3.4506075,0.13186818
4836038,3.8273537,0.1437892,3.4188805,0.10219099
4902285,3.8479517,0.15128271,3.3836591,0.094830975
4968532,3.848712,0.13231748,3.3786266,0.115881644
5034779,3.8649518,0.12974511,3.3807638,0.12979852
5101026,3.88179,0.14187008,3.3526876,0.14902161
5167273,3.9069443,0.11539355,3.3474188,0.14097288
5233521,3.904028,0.075118,3.33601,0.09208018
5299768,3.9080694,0.09185634,3.3224094,0.1228695
5366015,3.8917067,0.11159398,3.306835,0.15771942
5432262,3.8925362,0.10934882,3.3294847,0.12762809
5498509,3.8866158,0.108255066,3.3532028,0.12233424
5564756,3.9168432,0.09568107,3.381216,0.110378504
5631003,3.9384925,0.11517271,3.3697608,0.09873994
5697250,3.9590874,0.13045803,3.3361185,0.0778218
5763497,3.975401,0.15532956,3.3325064,0.036466565
5829744,3.957861,0.11557598,3.3425891,0.12340437
5895992,3.9398525,0.11035073,3.3483303,0.17116168
5962239,3.9403117,0.16302575,3.3068306,0.23297818
6028486,3.9451694,0.17312704,3.309481,0.20911808
6094733,3.9417636,0.16976008,3.3451993,0.19600211
6160980,3.9553652,0.12873961,3.3706796,0.2131873
6227227,3.9487174,0.09718729,3.3602781,0.25042236
6293474,3.9227345,0.079063475,3.3675835,0.25860775
6359721,3.92935,0.07572249,3.3808253,0.26245412
6425968,3.905304,0.081213,3.3827426,0.22883625
