x,train_mean0,train_sd1,test_mean2,test_sd3
0,1.2944444,0.19822358,1.4833332,0.13796136
66247,1.2972223,0.19230546,1.4783334,0.134942
132494,1.3006111,0.18382336,1.4565,0.13503616
198741,1.3051056,0.18197162,1.4371834,0.12979375
264988,1.3180394,0.18052877,1.4327983,0.11885056
331235,1.3325688,0.16672774,1.4341851,0.12420193
397482,1.3383118,0.15856595,1.4471,0.1253153
463729,1.3447031,0.15056792,1.46039,0.11377214
529976,1.352455,0.14370151,1.462351,0.11282008
596223,1.3618761,0.13576135,1.4541159,0.12410652
662471,1.3737997,0.13654655,1.4547043,0.13062756
728718,1.3859752,0.14358091,1.4589005,0.15060133
794965,1.3930444,0.14576015,1.4566771,0.17759342
861212,1.3921843,0.14795105,1.4540094,0.20970538
927459,1.3944103,0.15243569,1.4449419,0.21444134
993706,1.406525,0.14936392,1.4437809,0.20050943
1059953,1.4177613,0.14339772,1.4384028,0.17532846
1126200,1.4252075,0.13099225,1.4372292,0.15397258
1192447,1.4321312,0.124921754,1.4365063,0.13171127
1258694,1.4414735,0.12754408,1.4445224,0.11600881
1324942,1.455215,0.1301843,1.4620701,0.10454244
1391189,1.4684714,0.12182587,1.4888631,0.1060944
1457436,1.4826242,0.11286958,1.4993101,0.116270006
1523683,1.4960284,0.10350919,1.5053792,0.1126883
1589930,1.500759,0.10464414,1.5088412,0.09908875
1656177,1.5057942,0.0995316,1.508957,0.08311183
1722424,1.5125481,0.09695924,1.5093948,0.06974858
1788671,1.5166267,0.0933562,1.510122,0.058250856
1854918,1.5314083,0.077596,1.5021099,0.05357706
1921165,1.5472676,0.06811326,1.5065655,0.0434504
1987413,1.5493184,0.07041589,1.5055755,0.044431753
2053660,1.5561646,0.0698286,1.5036846,0.044035587
2119907,1.5703259,0.06702685,1.5043162,0.029413085
2186154,1.5898489,0.063413374,1.4958845,0.028872795
2252401,1.6085306,0.061123956,1.4939628,0.030075097
2318648,1.6232332,0.0592342,1.4942331,0.02385353
2384895,1.6394653,0.054722458,1.5058098,0.032985993
2451142,1.6521854,0.055627093,1.5212288,0.06305124
2517389,1.667078,0.0629533,1.5407728,0.088614345
2583636,1.6667036,0.065059036,1.5406955,0.10372812
2649884,1.6721443,0.0695647,1.5412925,0.11373858
2716131,1.6813742,0.07410134,1.5574965,0.12521859
2782378,1.6914592,0.07974486,1.5787469,0.13540344
2848625,1.7054243,0.09421768,1.5798723,0.124934986
2914872,1.7212152,0.10797014,1.5658851,0.12036306
