x,train_mean0,train_sd1,test_mean2,test_sd3
0,1.6333333,0.20816663,2.033333,0.49328822
66247,1.6111112,0.18721156,2.0266666,0.4346646
132494,1.6122222,0.18277931,2.0106666,0.3729468
198741,1.5932221,0.16574466,1.9862667,0.38058338
264988,1.5794555,0.1621464,1.9409733,0.35379666
331235,1.5659546,0.14931189,1.9635426,0.30719513
397482,1.5771366,0.13632177,2.0005217,0.29555267
463729,1.5827564,0.13348967,2.047136,0.26391065
529976,1.5889252,0.108852245,2.0457559,0.31301937
596223,1.633366,0.093476206,2.0511801,0.2676794
662471,1.6744738,0.13870893,2.0727289,0.20911138
728718,1.7248043,0.16512956,2.045456,0.14521575
794965,1.7801017,0.1846156,2.097577,0.17150438
861212,1.8343138,0.2074667,2.1611528,0.1770198
927459,1.8908824,0.23462129,2.2150376,0.16706884
993706,1.9351274,0.291303,2.266867,0.20011729
1059953,1.9882814,0.3025807,2.2635136,0.22725442
1126200,2.0438976,0.30885196,2.303829,0.26005465
1192447,2.0861745,0.30967274,2.383446,0.35104677
1258694,2.1342237,0.31441244,2.4117682,0.38044283
1324942,2.1641347,0.32160676,2.4272578,0.33472466
1391189,2.1888323,0.32686284,2.4645321,0.2604343
1457436,2.228838,0.31993815,2.478079,0.2639404
1523683,2.274843,0.2825055,2.5036044,0.28138253
1589930,2.330692,0.27033454,2.5199106,0.32073998
1656177,2.3865118,0.25651437,2.5212529,0.3265144
1722424,2.4345272,0.22090688,2.5691278,0.29234663
1788671,2.47663,0.20634605,2.5855482,0.24980491
1854918,2.5111892,0.19046345,2.59366,0.20422675
1921165,2.5534036,0.15747802,2.6409607,0.14891143
1987413,2.5669522,0.15480885,2.7101982,0.12342195
2053660,2.5669236,0.17712466,2.7458448,0.12175563
2119907,2.5802312,0.21838789,2.7512605,0.14280291
2186154,2.6044304,0.22565186,2.7594678,0.19270465
2252401,2.6039872,0.21427894,2.753521,0.22185405
2318648,2.6313665,0.21648255,2.7648354,0.23449536
2384895,2.6715631,0.20388907,2.8116853,0.2527415
2451142,2.714407,0.17199789,2.8471835,0.26187694
2517389,2.7474105,0.16880682,2.8724651,0.27113986
2583636,2.7537804,0.16176905,2.8785517,0.24368036
2649884,2.7672913,0.14836156,2.8873634,0.19565874
2716131,2.8005621,0.15669487,2.9119604,0.16465448
2782378,2.8327284,0.1923157,2.9607642,0.188366
2848625,2.8394554,0.2152306,2.9813545,0.22738086
2914872,2.8243988,0.21607506,2.9698858,0.25357437
2981119,2.8475144,0.20007583,2.979564,0.25766206
3047366,2.8616517,0.16685492,3.0182743,0.20717712
3113613,2.8710423,0.17077355,3.0531132,0.21138774
3179860,2.8561602,0.2105121,3.0678017,0.17450164
3246107,2.8527668,0.23221436,3.0743551,0.16143389
3312355,2.8541565,0.24281271,3.0535862,0.15333213
3378602,2.8487408,0.21371692,3.0182276,0.16732353
3444849,2.8416445,0.19828288,3.0230715,0.20450862
3511096,2.856369,0.19233678,3.0240977,0.17294602
3577343,2.8651764,0.2048443,3.0216882,0.17770813
3643590,2.877548,0.20273988,3.0061858,0.22284938
3709837,2.8953485,0.1910007,3.0089006,0.24988903
3776084,2.9180357,0.19900896,3.001344,0.221777
3842331,2.921788,0.20876062,3.0112095,0.23564965
3908578,2.9396088,0.23843606,3.0300887,0.2648266
3974826,2.9634259,0.2588285,3.0570796,0.23714277
4041073,2.9670832,0.25848567,3.0847054,0.2113493
4107320,2.9681528,0.24317507,3.0962346,0.17296982
4173567,2.9513376,0.23041071,3.0932777,0.10629381
4239814,2.939537,0.20783606,3.0639503,0.09415434
4306061,2.90225,0.18896241,3.0242217,0.105086274
4372308,2.899803,0.18239373,3.0417995,0.115919635
4438555,2.9242668,0.17578912,3.0876195,0.036708735
4504802,2.9251738,0.17680286,3.1321907,0.0581866
4571050,2.9459896,0.18173572,3.1589718,0.10227119
4637297,2.9658353,0.21703006,3.1697414,0.088905
4703544,2.9625847,0.23129049,3.1694338,0.08439174
4769791,2.9463263,0.22709551,3.155824,0.11099098
4836038,2.945027,0.19737226,3.1669083,0.1244154
4902285,2.93608,0.15818544,3.2335508,0.15807804
4968532,2.953583,0.16167155,3.2868621,0.17063859
5034779,2.9560025,0.14961272,3.2548428,0.16277468
5101026,2.9448469,0.13632746,3.2426918,0.1775768
5167273,2.9359176,0.1417242,3.2184227,0.1961224
5233521,2.9245481,0.15543403,3.2599137,0.17736459
5299768,2.9332044,0.16609178,3.2672558,0.18098478
5366015,2.938773,0.18601869,3.2471964,0.19194962
5432262,2.9160068,0.18265243,3.2024772,0.20491384
5498509,2.9055169,0.17886086,3.145563,0.22847748
5564756,2.9116318,0.18753242,3.1043396,0.22860463
5631003,2.9049132,0.20294191,3.083906,0.18378864
5697250,2.9033108,0.19892828,3.0855153,0.16365783
5763497,2.8985355,0.18141165,3.070297,0.16743939
5829744,2.8886821,0.14563715,3.0566006,0.18212008
5895992,2.8975914,0.096521884,3.0542738,0.20869094
5962239,2.9089432,0.065338686,3.0488465,0.21493322
6028486,2.9424934,0.064493194,3.0006285,0.2026475
6094733,2.946022,0.05002434,3.0038993,0.2526053
6160980,2.943642,0.04862254,2.9968424,0.2638674
6227227,2.960389,0.029561294,3.0104916,0.25081256
6293474,2.9543502,0.04088989,3.0127757,0.19553928
6359721,2.9511373,0.021534344,2.998165,0.15209462
6425968,2.96269,0.034185104,2.9683485,0.1358969
6492215,2.9908657,0.07564945,2.9515135,0.13008091
6558463,3.0362234,0.08198703,2.973029,0.12325093
6624710,3.0492678,0.07855268,2.9490592,0.15677817
6690957,3.075452,0.063826166,2.9274867,0.18708366
6757204,3.1056845,0.06211003,2.9447377,0.256961
6823451,3.124005,0.09729419,2.946931,0.27955595
6889698,3.1104934,0.11576474,2.9522378,0.27674448
6955945,3.0983331,0.13563244,2.9536808,0.30714262
7022192,3.1029441,0.13686933,2.971646,0.30526155
7088439,3.108205,0.1261381,3.0044813,0.25000364
7154686,3.1084957,0.12937321,3.0307,0.20235667
7220934,3.096535,0.108070485,3.00763,0.23433003
7287181,3.0891037,0.09012484,2.9668667,0.26445377
7353428,3.0935268,0.08892613,2.9601803,0.2339858
7419675,3.0775077,0.10669129,3.0074956,0.24819759
7485922,3.058646,0.12866545,3.0167458,0.26512358
7552169,3.0572255,0.12922293,3.0750713,0.29543278
7618416,3.0381699,0.09911785,3.0575645,0.31997585
7684663,3.0199082,0.08021154,3.0584745,0.39118937
7750910,3.0168064,0.118008174,3.0692937,0.37983957
7817157,3.0440147,0.10749922,3.079031,0.33371595
7883405,3.0540574,0.10727869,3.0744612,0.30174738
7949652,3.023096,0.12009641,3.0636816,0.30390736
8015899,3.0107868,0.14012495,3.09398,0.27148414
8082146,2.9952633,0.13943115,3.1079156,0.23777856
8148393,2.9979594,0.12474534,3.1037905,0.2390381
8214640,2.9981635,0.12892681,3.1000783,0.21017323
8280887,2.978347,0.15320683,3.1000702,0.19799659
8347134,2.9694014,0.16446443,3.0500634,0.1445638
8413381,2.9969056,0.14831766,3.0317237,0.10944683
8479629,3.0138817,0.13454352,3.0318844,0.13786395
8545876,3.0136044,0.111029886,3.0553627,0.15831748
8612123,2.9966888,0.088914625,3.05316,0.10827403
8678370,3.0114644,0.07464878,3.0278442,0.1366674
8744617,3.0358734,0.08998146,3.0483925,0.17947043
8810864,3.0511749,0.11468243,3.0968869,0.11340711
8877111,3.0560572,0.11539265,3.1171982,0.079978734
8943358,3.0771182,0.07281232,3.1188118,0.10576778
9009605,3.0871842,0.042334203,3.0835972,0.12257205
