x,train_mean0,train_sd1,test_mean2,test_sd3
0,3.3622224,0.14284153,3.043333,0.028867487
66247,3.3470001,0.14514628,3.081,0.067668304
132494,3.3423002,0.1406511,3.1182334,0.10277166
198741,3.3468478,0.13075718,3.1300766,0.0843354
264988,3.3486073,0.1428527,3.1177356,0.057458494
331235,3.3564136,0.14397258,3.1432953,0.05690806
397482,3.3776608,0.12195841,3.1586325,0.018434633
463729,3.3898947,0.11417925,3.1517694,0.03208149
529976,3.3832388,0.07766818,3.1565924,0.043187175
596223,3.394804,0.0887898,3.1632664,0.039518915
662471,3.4225457,0.10193988,3.1882732,0.01618402
728718,3.424513,0.09985816,3.1964457,0.031850472
794965,3.4103954,0.090366006,3.2018013,0.036620293
861212,3.411689,0.087170415,3.1802876,0.02252728
927459,3.413409,0.07955768,3.1522589,0.023322389
993706,3.4101794,0.089758866,3.1300333,0.014705215
1059953,3.3896058,0.084396064,3.1213634,0.0767966
1126200,3.374534,0.060433835,3.1135604,0.080173865
1192447,3.367303,0.046338264,3.1218708,0.08868044
1258694,3.3643506,0.051764306,3.1273506,0.092325054
1324942,3.3810265,0.05911399,3.1456153,0.084181204
1391189,3.3925905,0.077449284,3.1473873,0.062494222
1457436,3.4021091,0.101497866,3.1456482,0.07048997
1523683,3.4150095,0.13340658,3.1440837,0.08914615
1589930,3.4241753,0.1591278,3.1523418,0.12788218
1656177,3.4385357,0.17340519,3.1507742,0.15740946
1722424,3.4596817,0.19858526,3.1380303,0.14605431
1788671,3.476714,0.2210313,3.1212273,0.16231166
1854918,3.4912643,0.22424184,3.1204376,0.20246428
1921165,3.4944713,0.23487213,3.1190605,0.22062995
1987413,3.4989135,0.25072402,3.1321545,0.23066916
2053660,3.5157995,0.27081782,3.1469393,0.20386426
2119907,3.5289974,0.27485356,3.1629121,0.16379757
2186154,3.5333202,0.281636,3.1909542,0.14567858
2252401,3.5500991,0.27906504,3.2105253,0.122255124
2318648,3.5715334,0.24099554,3.2131395,0.07948691
2384895,3.5879357,0.2108944,3.250159,0.042839218
2451142,3.6073647,0.19029993,3.274143,0.022940058
2517389,3.6394055,0.1676039,3.3003953,0.031060677
2583636,3.6682427,0.16159523,3.3370225,0.03245931
2649884,3.6968632,0.15756097,3.3423202,0.010296191
2716131,3.7329547,0.15339765,3.364755,0.02892519
2782378,3.7801037,0.12281336,3.393946,0.023037327
2848625,3.8002043,0.092572175,3.3992183,0.025973465
2914872,3.811184,0.0797956,3.421963,0.06363208
2981119,3.8241768,0.09336268,3.4527667,0.066613
3047366,3.8335369,0.10025105,3.4621565,0.059590183
3113613,3.8469608,0.07671374,3.4462745,0.058252864
3179860,3.860487,0.07384708,3.4726467,0.07989983
3246107,3.8711052,0.06626585,3.4697154,0.084568106
3312355,3.8503277,0.060411785,3.488744,0.10824408
3378602,3.8446283,0.049581707,3.5048695,0.08417815
3444849,3.8483877,0.072648495,3.5153828,0.083911434
3511096,3.8622158,0.090870574,3.5148442,0.053132065
3577343,3.8813276,0.10886692,3.5266933,0.060866777
3643590,3.8998616,0.117574364,3.5396907,0.089243084
3709837,3.911431,0.10102581,3.5287216,0.10070813
3776084,3.925732,0.09573868,3.5238495,0.10867913
3842331,3.936381,0.08439321,3.5391312,0.11829875
3908578,3.954854,0.061135616,3.5475514,0.09161418
3974826,3.9672575,0.061471716,3.549463,0.07798192
4041073,3.9727542,0.059405386,3.5435169,0.08416633
4107320,3.9609232,0.051414646,3.5278318,0.086871736
4173567,3.9667199,0.04823874,3.5160484,0.09151078
4239814,3.9680479,0.07733639,3.526777,0.07442792
4306061,3.9587986,0.09413619,3.5284326,0.09986893
