x,train_mean0,train_sd1,test_mean2,test_sd3
0,1.3577777,0.060491797,1.2666667,0.4552289
66247,1.3610001,0.0581301,1.2646667,0.4046929
132494,1.3646778,0.06497437,1.2828666,0.36279222
198741,1.3834323,0.049387828,1.29758,0.30752894
264988,1.4013113,0.053585526,1.3374887,0.25148928
331235,1.4127356,0.044712536,1.3760732,0.21427746
397482,1.4250177,0.047836166,1.4114658,0.22391571
463729,1.4322935,0.054156147,1.4259859,0.17981975
529976,1.4481754,0.05427733,1.428054,0.1679565
596223,1.4553579,0.040870562,1.4489154,0.15962264
662471,1.4732665,0.026163453,1.469357,0.14017905
728718,1.4894954,0.019119512,1.4990882,0.14417207
794965,1.5025458,0.012276614,1.5111793,0.13124582
861212,1.5118469,0.013710984,1.5283947,0.10211891
927459,1.5252177,0.016265422,1.5305551,0.10717809
993706,1.5460292,0.0064577945,1.5541663,0.09944922
1059953,1.5693153,0.026235923,1.5547496,0.10247584
1126200,1.5873837,0.044286594,1.5732746,0.094236374
1192447,1.6182009,0.042455416,1.6226139,0.092194304
1258694,1.6272697,0.03892563,1.6463524,0.054697286
1324942,1.6413206,0.026642175,1.6707172,0.029877406
1391189,1.6621885,0.03391935,1.7036453,0.041389417
1457436,1.6903028,0.040956166,1.701281,0.019351788
1523683,1.7178282,0.03479512,1.7368196,0.047188405
1589930,1.7503787,0.03976185,1.7541376,0.037194986
1656177,1.7851186,0.07060553,1.7413906,0.043603834
1722424,1.8080511,0.057003696,1.7612514,0.050543305
1788671,1.839024,0.0609091,1.788793,0.052487034
1854918,1.862677,0.0518721,1.8099136,0.05990549
1921165,1.8996315,0.054738242,1.8332558,0.01044827
1987413,1.9410018,0.054781035,1.8462634,0.02162897
2053660,1.9929014,0.0383205,1.8673038,0.03449408
2119907,2.0256116,0.03157602,1.87524,0.078869715
2186154,2.0636058,0.037199534,1.8843827,0.07615305
2252401,2.0916896,0.04633437,1.8912777,0.08937824
2318648,2.1212986,0.040586155,1.9081501,0.083745725
